dominant_hand,num_close_friends
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,0
right,0
left,1
right,0
left,1
right,0
left,1
right,0
left,1
right,0
left,1
right,0
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,1
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,1
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,2
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,2
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,3
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,4
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,5
right,3
left,6
right,3
left,6
right,3
left,6
right,3
left,6
right,3
left,6
right,3
left,6
right,3
left,6
right,3
left,6
right,3
left,6
right,3
left,6
right,3
left,6
right,3
left,6
right,3
left,6
right,3
left,6
right,4
left,6
right,4
left,6
right,4
left,6
right,4
left,6
right,4
left,6
right,4
left,6
right,4
left,6
right,4
left,6
right,4
left,6
