pid,Attendance,Conscientiousness,Time,OnlineAccess,Year
1,9,High,3PM,Often,Y3
2,10,High,2PM,Often,Y3
3,0,Low,10AM,Rarely,Y2
4,8,Low,4PM,Often,Y4
5,6,High,4PM,Sometimes,Y1
6,6,High,9AM,Sometimes,Y1
7,9,Moderate,10AM,Often,MSc
8,14,High,3PM,Sometimes,Y1
9,5,Low,3PM,Rarely,Y1
10,10,Low,4PM,Often,Y3
11,9,High,10AM,Rarely,Y1
12,10,High,3PM,Sometimes,Y1
13,13,Low,3PM,Rarely,Y1
14,12,Low,11AM,Rarely,Y2
15,4,Low,4PM,Rarely,MSc
16,8,Moderate,9AM,Rarely,Y1
17,7,Low,10AM,Rarely,Y1
18,4,Low,9AM,Sometimes,Y3
19,5,Low,1PM,Sometimes,Y3
20,8,Low,11AM,Rarely,Y2
21,11,High,11AM,Often,Y4
22,3,Low,11AM,Sometimes,Y3
23,11,Moderate,3PM,Rarely,Y3
24,1,High,9AM,Sometimes,Y3
25,12,Low,9AM,Often,Y1
26,8,Low,12PM,Often,Y3
27,4,Low,4PM,Sometimes,Y2
28,7,Low,9AM,Rarely,Y1
29,10,Low,10AM,Often,Y2
30,14,Low,10AM,Sometimes,Y1
31,12,Low,4PM,Rarely,Y3
32,8,Low,4PM,Often,Y3
33,11,Low,2PM,Rarely,Y2
34,7,Low,11AM,Often,Y1
35,8,Low,10AM,Rarely,Y2
36,10,Low,4PM,Sometimes,Y2
37,11,Low,1PM,Often,Y2
38,6,Low,4PM,Rarely,Y4
39,11,Low,9AM,Rarely,MSc
40,8,Low,10AM,Often,Y3
41,13,Low,9AM,Rarely,Y1
42,12,Low,9AM,Sometimes,Y2
43,5,Low,12PM,Rarely,Y1
44,7,Low,4PM,Sometimes,Y3
45,14,Low,3PM,Often,Y4
46,14,Low,11AM,Rarely,Y1
47,13,Low,1PM,Sometimes,Y4
48,9,Low,4PM,Often,Y3
49,6,Low,12PM,Often,Y4
50,14,Moderate,1PM,Often,Y2
51,12,Low,2PM,Rarely,Y1
52,11,Low,12PM,Sometimes,Y4
53,10,Low,4PM,Rarely,Y1
54,9,Low,3PM,Rarely,Y3
55,5,Low,2PM,Rarely,Y1
56,11,Low,11AM,Often,Y1
57,12,Low,10AM,Rarely,Y4
58,11,Low,9AM,Often,Y4
59,4,Low,1PM,Rarely,Y2
60,3,Low,9AM,Sometimes,Y2
61,14,Moderate,1PM,Rarely,Y2
62,8,Low,1PM,Sometimes,MSc
63,10,Low,11AM,Sometimes,MSc
64,6,Low,9AM,Often,Y4
65,12,Low,12PM,Often,Y4
66,12,Low,2PM,Rarely,Y3
67,12,Low,10AM,Often,Y3
68,6,Low,4PM,Sometimes,Y2
69,12,Low,1PM,Often,Y4
70,12,Low,4PM,Rarely,Y3
71,5,Low,9AM,Sometimes,Y1
72,11,Moderate,4PM,Often,Y1
73,9,Moderate,10AM,Rarely,Y4
74,9,Moderate,11AM,Often,Y4
75,13,Moderate,4PM,Often,Y4
76,5,Moderate,4PM,Sometimes,Y2
77,14,Moderate,9AM,Rarely,Y1
78,14,Moderate,9AM,Sometimes,Y1
79,24,High,4PM,Often,Y1
80,16,Low,9AM,Often,Y2
81,15,Low,3PM,Often,PhD
82,19,High,10AM,Sometimes,Y1
83,20,Low,12PM,Sometimes,Y2
84,15,High,12PM,Rarely,Y2
85,20,Low,9AM,Sometimes,Y1
86,24,High,4PM,Often,Y2
87,19,Moderate,9AM,Often,MSc
88,18,High,9AM,Often,Y4
89,21,Low,9AM,Often,Y3
90,20,Low,12PM,Rarely,Y4
91,20,Low,1PM,Often,MSc
92,15,Low,11AM,Often,Y2
93,22,Moderate,9AM,Sometimes,Y4
94,19,Low,4PM,Rarely,Y1
95,16,Low,10AM,Often,Y3
96,22,Moderate,3PM,Sometimes,Y1
97,21,Low,2PM,Often,MSc
98,15,Low,10AM,Often,Y4
99,17,Low,10AM,Often,Y2
100,17,Low,10AM,Sometimes,Y4
101,16,Low,9AM,Rarely,Y4
102,18,Low,4PM,Often,Y4
103,16,Low,9AM,Rarely,Y2
104,20,Low,11AM,Often,MSc
105,15,Low,9AM,Sometimes,MSc
106,16,Low,9AM,Rarely,Y2
107,23,Low,3PM,Often,Y2
108,15,Low,11AM,Often,Y4
109,18,Low,4PM,Sometimes,Y4
110,16,Low,12PM,Often,Y3
111,16,Low,11AM,Often,MSc
112,19,Low,12PM,Often,MSc
113,19,Moderate,4PM,Often,Y2
114,18,Moderate,4PM,Often,Y2
115,19,Low,12PM,Often,Y3
116,20,Low,4PM,Sometimes,MSc
117,15,Moderate,1PM,Often,Y4
118,18,Low,3PM,Often,Y1
119,19,Moderate,9AM,Often,Y4
120,17,Low,11AM,Rarely,Y1
121,23,Moderate,3PM,Often,MSc
122,18,Low,4PM,Sometimes,MSc
123,16,Low,10AM,Sometimes,Y1
124,18,Low,12PM,Often,Y3
125,23,Low,4PM,Sometimes,Y4
126,23,Low,9AM,Sometimes,Y4
127,21,Moderate,2PM,Sometimes,Y1
128,18,Moderate,11AM,Often,Y4
129,18,Low,2PM,Rarely,Y2
130,19,Low,9AM,Sometimes,MSc
131,23,Low,4PM,Rarely,MSc
132,22,Low,11AM,Sometimes,Y1
133,15,Moderate,9AM,Often,MSc
134,24,Moderate,9AM,Often,Y1
135,16,Moderate,9AM,Rarely,MSc
136,23,Moderate,10AM,Sometimes,Y1
137,24,Moderate,9AM,Sometimes,Y1
138,22,Moderate,9AM,Rarely,Y2
139,22,Moderate,3PM,Often,PhD
140,16,Moderate,9AM,Often,Y2
141,23,Moderate,9AM,Often,Y1
142,20,Moderate,1PM,Often,Y3
143,22,Moderate,4PM,Often,Y1
144,23,Moderate,10AM,Often,Y1
145,24,Moderate,2PM,Sometimes,Y1
146,22,Moderate,9AM,Sometimes,Y2
147,19,Moderate,4PM,Often,Y1
148,24,Moderate,11AM,Rarely,PhD
149,19,Moderate,3PM,Rarely,Y2
150,15,Moderate,9AM,Sometimes,Y1
151,23,Moderate,10AM,Sometimes,Y2
152,21,Moderate,9AM,Rarely,Y2
153,16,Moderate,10AM,Often,Y4
154,16,Moderate,3PM,Sometimes,Y1
155,21,Moderate,12PM,Often,Y1
156,18,Moderate,11AM,Sometimes,Y1
157,18,Moderate,4PM,Often,Y1
158,21,Moderate,11AM,Rarely,Y3
159,22,High,9AM,Rarely,Y4
160,21,High,11AM,Often,Y1
161,19,High,11AM,Rarely,PhD
162,31,High,11AM,Sometimes,MSc
163,27,Low,2PM,Rarely,Y1
164,33,Low,10AM,Often,Y3
165,25,Moderate,1PM,Rarely,Y1
166,35,High,12PM,Sometimes,Y1
167,30,Moderate,4PM,Rarely,Y4
168,31,High,10AM,Often,Y2
169,28,Low,4PM,Rarely,Y3
170,33,Low,10AM,Sometimes,Y1
171,34,High,12PM,Sometimes,Y2
172,33,Moderate,2PM,Often,Y1
173,29,High,3PM,Rarely,Y2
174,35,Low,2PM,Sometimes,Y3
175,31,Moderate,3PM,Rarely,Y2
176,32,High,4PM,Rarely,PhD
177,32,High,11AM,Rarely,Y1
178,35,Low,10AM,Sometimes,Y4
179,35,High,4PM,Sometimes,Y4
180,29,Low,9AM,Rarely,Y1
181,25,Low,1PM,Sometimes,MSc
182,27,Low,12PM,Sometimes,Y2
183,26,Low,3PM,Sometimes,Y1
184,30,Moderate,3PM,Sometimes,Y4
185,25,Low,9AM,Sometimes,Y3
186,25,Low,3PM,Rarely,Y3
187,27,Moderate,12PM,Sometimes,Y3
188,33,Moderate,3PM,Often,Y2
189,25,Moderate,2PM,Rarely,Y2
190,29,Moderate,3PM,Rarely,Y2
191,26,Moderate,10AM,Sometimes,Y1
192,29,Moderate,3PM,Sometimes,Y2
193,26,Moderate,2PM,Often,Y2
194,32,Moderate,2PM,Often,Y2
195,30,Moderate,1PM,Sometimes,Y2
196,26,Moderate,9AM,Sometimes,MSc
197,35,Moderate,2PM,Rarely,PhD
198,29,Moderate,4PM,Often,Y2
199,29,Moderate,10AM,Sometimes,Y1
200,27,Moderate,10AM,Sometimes,Y2
201,33,Moderate,11AM,Sometimes,Y1
202,32,Moderate,3PM,Sometimes,Y2
203,32,Moderate,3PM,Sometimes,Y2
204,30,Moderate,12PM,Sometimes,Y3
205,28,Moderate,3PM,Sometimes,Y1
206,35,Moderate,10AM,Sometimes,Y2
207,30,Moderate,12PM,Sometimes,MSc
208,35,Moderate,11AM,Often,PhD
209,33,Moderate,12PM,Sometimes,Y2
210,28,Moderate,4PM,Sometimes,Y3
211,31,Moderate,12PM,Rarely,Y2
212,28,Moderate,3PM,Sometimes,Y4
213,32,Moderate,9AM,Rarely,Y1
214,25,Moderate,9AM,Rarely,MSc
215,33,Moderate,2PM,Sometimes,Y3
216,27,Moderate,11AM,Sometimes,Y4
217,30,Moderate,12PM,Sometimes,Y1
218,34,Moderate,12PM,Rarely,Y1
219,33,Moderate,11AM,Sometimes,Y4
220,25,Moderate,9AM,Sometimes,PhD
221,25,Moderate,1PM,Sometimes,MSc
222,30,Moderate,9AM,Rarely,Y3
223,28,Moderate,1PM,Sometimes,Y1
224,26,Moderate,10AM,Rarely,Y1
225,33,Moderate,10AM,Sometimes,Y2
226,25,Moderate,10AM,Rarely,Y3
227,27,Moderate,9AM,Sometimes,Y1
228,30,Moderate,9AM,Rarely,Y3
229,35,Moderate,2PM,Often,Y2
230,35,Moderate,10AM,Rarely,Y4
231,28,Moderate,9AM,Sometimes,Y2
232,33,Moderate,2PM,Rarely,Y4
233,34,High,2PM,Sometimes,Y3
234,32,High,9AM,Sometimes,Y2
235,30,High,4PM,Sometimes,Y4
236,29,Moderate,2PM,Sometimes,Y2
237,33,High,10AM,Rarely,Y3
238,33,High,12PM,Rarely,Y1
239,33,High,1PM,Sometimes,Y4
240,30,High,3PM,Rarely,Y3
241,35,High,2PM,Sometimes,MSc
242,31,High,12PM,Often,Y1
243,30,Moderate,10AM,Often,Y1
244,25,High,2PM,Rarely,Y2
245,26,High,12PM,Rarely,Y2
246,35,High,3PM,Sometimes,Y4
247,35,High,9AM,Rarely,Y2
248,33,Moderate,11AM,Sometimes,Y4
249,29,Moderate,12PM,Sometimes,Y3
250,29,High,9AM,Rarely,Y4
251,30,High,4PM,Rarely,Y2
252,41,High,2PM,Rarely,Y1
253,43,Low,1PM,Rarely,Y3
254,44,High,12PM,Sometimes,Y4
255,38,Low,2PM,Sometimes,MSc
256,39,High,4PM,Sometimes,Y4
257,36,Low,1PM,Sometimes,Y4
258,45,Low,1PM,Often,Y1
259,41,High,11AM,Sometimes,Y2
260,40,High,11AM,Sometimes,Y1
261,37,High,3PM,Rarely,Y3
262,44,Moderate,1PM,Sometimes,Y3
263,42,Low,11AM,Rarely,Y1
264,40,Moderate,2PM,Sometimes,MSc
265,41,Low,12PM,Sometimes,Y3
266,37,Moderate,1PM,Sometimes,Y4
267,40,Moderate,11AM,Rarely,PhD
268,38,High,9AM,Rarely,Y2
269,40,Low,11AM,Sometimes,Y3
270,45,Low,3PM,Sometimes,Y2
271,38,Low,12PM,Sometimes,Y4
