"Marks","Attendance"
25.1848040593757,10.5
25.8314358810662,11
25.423137080243,11.5
26.365225144402,12
27.4428517493745,12.5
29.0402924578404,13
29.0126274042848,13.5
31.1781567241532,14
26.6813258182094,14.5
35.3317631139228,15
32.6844530160976,15.5
25.0092936731999,16
28.9151591094069,16.5
29.0186182325561,17
38.4335937687006,17.5
36.9746307226846,18
34.8934415844022,18.5
35.8972070044351,19
33.4434877599043,19.5
44.5732203135501,20
33.8078492085447,20.5
31.2030640068003,21
33.4482599793995,21.5
40.8845420652508,22
43.3300752351319,22.5
43.8548565530967,23
43.8415476306127,23.5
31.6872329493641,24
47.0721531680048,24.5
31.5765712218945,25
42.2538476593999,25.5
41.6946381007354,26
48.8928521404701,26.5
36.7927744244743,27
44.3502579886128,27.5
41.859199148437,28
44.395843529589,28.5
40.2601493224683,29
39.1450194296128,29.5
51.9031620308944,30
45.1773240359388,30.5
54.7496638496045,31
40.7642215610225,31.5
48.7293778049388,32
43.0526676575753,32.5
50.0151621613227,33
40.8378478022845,33.5
46.0417052875452,34
49.8199362478416,34.5
54.4539789639353,35
47.8383346433783,35.5
48.5034637369997,36
50.9162076157705,36.5
46.1791490767024,37
48.2851576872404,37.5
63.7734394041365,38
47.7072754690795,38.5
52.4427393702473,39
49.2387034933559,39.5
49.7753130963069,40
52.0813655426838,40.5
54.1839536414882,41
50.6310762019864,41.5
47.5542001892472,42
48.9471249254205,42.5
69.1329892528141,43
49.6234774927018,43.5
64.4004716905,44
52.0603775345059,44.5
57.7052814744344,45
71.5537658093454,45.5
65.1357290230195,46
60.6098769549033,46.5
66.8791287532972,47
61.6656283183652,47.5
63.3442660066058,48
57.8952204512738,48.5
50.4507320915673,49
71.0746507472946,49.5
54.2700316185115,50
74.4884168670476,50.5
73.9921110087172,51
66.9391077055497,51.5
56.9422047665767,52
59.1147526745324,52.5
61.0028123655238,53
76.2996640392791,53.5
57.6726797788244,54
63.1405736594123,54.5
77.5682663015622,55
83.7678192219261,55.5
88.0440988934689,56
68.0759027344881,56.5
98.197135406797,57
88.0247566050699,57.5
77.1880991902843,58
69.2028735675917,58.5
67.7472003587919,59
62.6564926192693,59.5
92.7556250951133,60
25.8207026748789,10.5
26.8023483492693,11
27.7823715014272,11.5
27.0617773800971,12
25.6823829486171,12.5
28.7792552410789,13
28.0066926587914,13.5
28.9973337477154,14
31.7603137092911,14.5
27.6756033796046,15
27.0414588324371,15.5
30.9992057739602,16
32.5026671019062,16.5
31.5614709911629,17
34.2349182973952,17.5
33.5266745269527,18
35.1021248749619,18.5
27.0271527539888,19
33.6067776301556,19.5
26.1947164277838,20
40.4487905299839,20.5
40.9460166941323,21
39.6342223510014,21.5
37.7769865834511,22
28.9602245018773,22.5
38.3698392004972,23
33.2049976715441,23.5
38.8445767517504,24
39.7528835359337,24.5
36.1422763986855,25
42.3944299241355,25.5
46.0509062362866,26
38.6565870922348,26.5
37.5536127350731,27
45.1282074040594,27.5
41.5753556950701,28
36.6672848968228,28.5
48.5173214616092,29
40.1646662401079,29.5
49.9941325750091,30
38.4698229372594,30.5
53.6590961268293,31
45.5926305993048,31.5
44.0716942862622,32
51.0947610576747,32.5
56.8564828325857,33
43.952658023727,33.5
39.7309382075466,34
49.3805616228797,34.5
49.3805051037034,35
43.4017472263115,35.5
50.222747600283,36
54.0068920746135,36.5
46.6903981281805,37
54.0009382863791,37.5
49.3260776315971,38
61.6025674740846,38.5
41.7049980473104,39
59.9297603017879,39.5
44.0992283820181,40
54.3004379324928,40.5
52.6786545874627,41
62.8482523005035,41.5
56.2024387994631,42
68.2370290128648,42.5
71.0767923358916,43
49.5018503435733,43.5
55.5278046963632,44
45.8700970977092,44.5
61.810282098011,45
68.9955376518213,45.5
56.1463785183,46
47.4185385225729,46.5
59.5212018726012,47
56.1387123715461,47.5
55.8045584420123,48
49.7573299584275,48.5
62.141176044369,49
67.0380017405431,49.5
70.1502577717575,50
55.1607531567245,50.5
64.1720401023764,51
54.6162335551226,51.5
80.6225223080136,52
74.2176683588636,52.5
60.9978898520168,53
84.6314826783317,53.5
51.2330388349173,54
65.2896746608677,54.5
74.8282235156417,55
74.6538533112257,55.5
67.4689981343217,56
60.8683027521058,56.5
74.5421577568835,57
66.2186187580888,57.5
59.6143643524569,58
73.3025581212726,58.5
80.3248617815053,59
79.0022218419755,59.5
72.5649059680765,60
