ID,FOMO,Age,Gender,N,E,O,A,C
1,26,23,Male,16,21,46,39,33
2,17,16,Male,25,32,38,30,33
3,19,40,Male,23,15,43,27,31
4,25,28,Male,16,30,32,21,31
5,13,39,Male,15,34,46,38,29
6,31,23,Male,21,27,28,29,29
7,23,48,Male,13,37,40,30,23
8,29,25,Male,29,20,32,21,36
9,22,26,Male,25,28,41,26,24
10,21,50,Male,13,30,43,42,29
11,23,30,Male,21,28,41,28,28
12,27,16,Male,19,36,35,28,23
13,17,61,Male,21,34,28,31,36
14,26,23,Male,39,30,29,37,34
15,16,20,Male,21,23,40,27,30
16,25,54,Male,29,24,27,34,34
17,25,47,Male,13,26,41,32,31
18,26,32,Male,24,19,41,34,33
19,33,16,Male,26,32,33,34,35
20,34,27,Male,17,25,41,32,23
21,34,16,Male,33,15,36,35,30
22,14,38,Male,12,38,36,24,33
23,33,18,Male,22,18,33,23,23
24,24,44,Male,24,19,29,21,31
25,35,17,Male,26,33,43,34,28
26,29,25,Male,18,21,35,26,28
27,29,30,Male,29,25,33,32,37
28,14,37,Male,14,24,43,35,26
29,30,36,Male,28,30,29,32,31
30,32,39,Male,24,26,31,26,25
31,45,25,Male,19,22,44,28,17
32,32,23,Male,29,21,33,35,25
33,32,30,Male,28,27,30,19,31
34,32,33,Male,20,29,38,31,28
35,17,38,Male,27,22,43,27,33
36,22,34,Male,18,33,36,29,29
37,21,34,Male,19,28,41,37,24
38,28,23,Male,21,25,37,20,30
39,25,19,Male,26,24,46,25,32
40,18,42,Male,20,26,38,26,37
41,31,35,Male,19,29,36,31,35
42,26,22,Male,27,24,25,30,26
43,25,29,Male,16,29,49,34,24
44,22,37,Male,18,20,38,42,32
45,28,14,Male,35,28,43,34,42
46,23,43,Male,20,32,43,35,23
47,30,30,Male,35,23,30,31,36
48,21,41,Male,11,28,33,20,28
49,23,21,Male,17,30,35,22,34
50,14,51,Male,15,27,41,34,34
51,21,27,Male,12,28,42,32,25
52,32,26,Male,31,24,35,33,30
53,25,22,Male,22,18,34,20,32
54,16,43,Male,18,26,38,34,30
55,13,34,Male,26,38,36,28,34
56,33,29,Male,28,19,22,23,29
57,10,52,Male,9,24,43,30,33
58,25,32,Male,18,26,34,37,31
59,34,28,Male,26,26,42,32,35
60,35,18,Male,27,25,36,27,33
61,11,42,Male,20,33,39,31,30
62,27,20,Male,21,35,40,32,36
63,21,24,Male,24,27,39,29,31
64,15,35,Male,17,25,43,39,27
65,20,75,Male,13,36,38,34,28
66,36,23,Male,28,27,37,43,13
67,28,18,Male,27,40,36,33,32
68,30,20,Male,30,22,40,33,27
69,34,21,Male,27,27,37,43,34
70,15,40,Male,25,28,37,32,25
71,32,39,Male,18,20,28,27,26
72,18,27,Male,22,26,36,30,35
73,27,24,Male,12,23,41,31,19
74,13,44,Male,11,29,47,31,37
75,28,52,Male,20,25,26,25,31
76,23,27,Male,23,28,37,32,30
77,28,32,Male,20,23,42,30,25
78,23,32,Male,29,24,34,31,33
79,25,30,Male,10,18,38,28,26
80,26,35,Male,22,23,43,25,35
81,23,46,Male,29,25,27,26,37
82,16,43,Male,24,23,29,31,36
83,43,22,Male,22,29,33,24,22
84,19,33,Male,27,22,40,27,34
85,34,38,Male,25,24,29,30,28
86,18,57,Male,12,32,37,42,29
87,25,26,Male,15,34,44,28,21
88,19,30,Male,20,27,38,38,32
89,11,34,Male,12,33,43,28,30
90,24,44,Male,18,24,36,34,22
91,31,27,Male,21,25,40,26,21
92,17,38,Male,12,19,33,29,30
93,33,29,Male,28,19,34,19,23
94,37,38,Male,22,23,33,32,25
95,29,35,Male,14,24,35,32,28
96,12,54,Male,23,22,42,41,27
97,27,42,Male,16,25,37,23,34
98,14,47,Male,37,36,41,24,38
99,18,31,Male,25,24,40,41,33
100,18,57,Male,20,17,24,31,38
101,25,49,Male,19,24,32,27,33
102,19,33,Male,20,20,37,35,34
103,32,32,Male,12,25,43,35,31
104,30,17,Male,32,17,26,34,35
105,31,38,Male,23,36,42,31,34
106,27,36,Male,25,24,30,27,26
107,17,34,Male,19,33,41,29,32
108,24,42,Male,25,28,24,28,32
109,10,30,Male,12,24,34,30,29
110,41,43,Male,35,18,27,33,33
111,35,25,Male,27,17,37,27,29
112,34,37,Male,12,31,40,33,21
113,30,40,Male,17,29,39,30,19
114,23,37,Male,22,22,37,31,34
115,10,55,Male,23,24,34,31,45
116,31,18,Male,19,25,30,31,23
117,28,51,Male,18,27,30,34,38
118,14,53,Male,30,23,30,32,45
119,33,30,Male,35,16,38,41,28
120,21,32,Male,15,21,32,25,22
121,16,46,Male,16,38,40,42,34
122,12,40,Male,21,24,34,39,37
123,37,21,Male,20,23,47,35,32
124,23,14,Male,26,13,34,20,26
125,31,16,Male,20,31,43,28,31
126,27,42,Male,23,29,32,26,31
127,28,40,Male,30,12,29,29,33
128,33,13,Male,32,30,34,25,36
