"FOMO","Age","N","E","O","A","C","TotalFollowers"
28,38,26,30,32,27,38,98
26,30,23,27,33,32,30,192
23,33,14,30,36,27,24,177
18,44,26,21,37,28,34,119
19,43,32,21,41,35,40,278
24,43,22,25,31,30,24,184
28,25,20,24,40,35,29,297
24,44,31,31,26,27,32,372
42,20,23,24,47,17,25,225
27,25,25,19,39,32,25,237
38,15,29,31,42,31,30,317
32,14,34,20,40,30,38,264
23,32,26,30,49,36,27,329
28,17,22,14,31,29,33,218
35,21,25,37,28,40,21,359
36,51,21,24,29,31,26,195
21,33,31,27,36,34,40,284
19,24,17,32,35,35,34,216
20,34,25,18,30,28,37,263
35,26,38,31,41,23,32,263
26,47,25,28,42,32,29,268
31,46,19,17,32,31,19,132
14,42,19,26,37,36,24,128
23,14,31,28,36,30,36,367
28,33,20,24,47,38,24,140
36,23,23,29,38,38,23,316
13,22,23,25,36,34,32,212
25,22,23,32,44,32,36,226
20,39,17,39,33,31,31,238
25,41,17,31,36,42,32,129
24,47,22,21,39,38,29,82
31,26,28,34,32,18,42,103
26,24,21,27,34,23,27,112
23,33,20,23,37,33,35,1
30,35,16,24,42,25,29,58
29,31,18,24,34,24,21,155
24,31,27,29,50,40,41,122
28,54,23,27,38,29,36,117
27,36,24,30,45,27,36,205
27,35,12,31,39,42,21,138
26,27,21,35,42,35,29,225
28,36,23,15,42,28,26,167
19,26,26,28,48,35,32,179
33,33,18,25,35,24,22,322
32,25,36,29,33,22,32,389
18,28,24,21,36,31,37,207
25,18,23,29,36,34,35,375
20,49,26,22,34,34,38,177
27,17,26,20,43,28,32,254
23,43,19,26,33,33,35,101
34,30,28,24,34,35,27,231
30,35,16,27,42,38,33,445
31,18,18,25,37,29,31,255
30,35,29,21,39,31,30,197
26,32,26,26,41,26,38,117
25,36,30,31,44,30,26,324
16,47,21,20,30,31,26,63
32,20,14,24,38,28,30,167
26,18,29,11,30,26,22,298
20,31,29,22,34,38,30,419
34,37,27,27,32,29,35,203
25,28,18,25,38,32,33,121
26,12,22,29,37,25,31,232
18,34,25,20,34,27,39,112
29,28,28,21,32,32,23,221
21,33,29,28,42,34,33,215
26,38,27,34,42,26,29,165
23,18,17,18,31,38,28,290
34,27,24,28,31,36,33,292
28,49,29,23,34,33,33,145
33,38,28,34,48,30,25,255
14,28,18,19,36,32,30,21
31,37,28,28,34,27,30,43
12,55,21,25,36,31,27,25
26,35,26,32,35,30,32,215
21,26,18,31,42,25,30,163
18,23,10,22,30,35,31,113
21,31,20,24,39,32,30,234
12,36,23,19,42,36,33,136
24,17,18,35,41,37,37,382
13,31,12,37,45,27,22,15
19,47,28,27,46,24,26,265
23,29,28,31,37,36,26,319
25,32,30,18,37,30,33,182
18,38,24,15,36,33,42,71
30,23,29,25,27,29,34,246
32,21,25,30,29,38,20,288
29,36,30,25,39,37,32,214
22,39,25,14,32,32,33,163
19,37,30,27,40,29,42,204
28,23,18,20,36,24,31,263
24,22,21,18,28,29,28,29
20,40,18,27,39,33,31,202
19,28,13,23,43,37,25,170
18,39,22,23,41,25,36,156
36,32,24,19,42,35,34,259
32,23,35,14,31,18,30,86
35,45,27,23,39,40,29,156
29,36,26,21,40,30,30,235
24,29,15,39,36,27,26,155
20,36,18,28,35,39,32,205
17,46,17,27,50,34,33,144
33,35,29,18,50,30,43,382
19,37,24,25,25,32,42,243
26,13,23,23,43,30,30,64
20,22,34,25,36,31,44,315
27,39,17,14,28,24,32,292
30,36,25,23,43,28,34,155
43,27,30,34,39,24,24,407
34,24,26,39,47,21,28,180
