ID,ParticipantGender,ParticipantAge,CharacterGender,EnglishScore
s1,F,20,Male,51.1
s2,F,20,Female,54.2
s3,M,20,Female,52.9
s4,F,20,Female,68.7
s5,M,51,Female,54.8
s6,M,18,Male,60.5
s7,M,18,Female,65.2
s8,M,20,Male,54.3
s9,M,40,Female,59.9
s10,M,21,Male,62.9
s11,M,20,Male,55.8
s12,F,18,Male,56.4
s13,M,21,Male,59.8
s14,M,30,Female,41
s15,M,18,Male,59.4
s16,F,19,Female,62.4
s17,F,20,Male,58.8
s18,M,20,Female,65
s19,F,20,Female,57
s20,M,28,Female,51.5
s21,M,20,Male,54.2
s22,M,41,Male,51.9
s23,F,22,Male,53.4
s24,M,52,Male,49.2
s25,M,19,Male,56.5
s26,F,19,Male,59.8
s27,F,19,Female,48.2
s28,M,23,Female,54.8
s29,M,20,Male,58
s30,M,23,Female,59.6
s31,M,20,Female,58.5
s32,F,22,Female,57.7
s33,O,24,Female,61
s34,M,25,Male,56.2
s35,F,30,Female,56.3
s36,F,46,Female,56.2
s37,M,20,Male,56.6
s38,F,23,Female,59.3
s39,M,19,Male,55.4
s40,M,30,Male,51.4
s41,M,20,Male,54.1
s42,M,23,Female,53.6
s43,M,48,Male,49.1
s44,M,43,Male,46.9
s45,M,20,Male,55.7
s46,F,22,Female,69.2
s47,M,24,Male,54.8
s48,O,34,Male,55.8
s49,M,20,Male,54
s50,F,37,Female,60.2
s51,M,20,Male,51.9
s52,M,19,Male,59.6
s53,M,24,Male,55.3
s54,M,20,Male,60.6
s55,M,19,Male,55.8
s56,M,18,Male,55.6
s57,F,18,Female,64.6
s58,M,20,Male,67.5
s59,M,19,Male,57
s60,M,24,Male,55.8
s61,O,24,Female,48.2
s62,F,19,Female,71.2
s63,M,23,Male,55.4
s64,M,46,Male,57.6
s65,M,18,Female,63.1
s66,M,20,Female,63.2
s67,M,22,Male,56.5
s68,M,20,Male,52.3
s69,M,34,Male,50.7
s70,M,34,Female,59.8
s71,F,20,Male,61.9
s72,M,44,Female,60.4
s73,O,24,Male,59.6
s74,M,18,Female,71.5
s75,F,27,Male,55.2
s76,M,35,Male,55.3
s77,M,20,Male,57.7
s78,M,25,Male,59.5
s79,M,20,Male,57.6
s80,F,23,Female,63.5
s81,F,23,Female,58
s82,M,21,Female,61.1
s83,M,18,Male,53.4
s84,F,32,Female,59.1
s85,M,18,Male,54.9
s86,M,21,Male,54.5
s87,M,20,Male,56.7
s88,F,23,Female,78.3
s89,M,20,Male,59.2
s90,M,20,Male,54.4
s91,M,23,Male,56.9
s92,F,25,Male,52.3
s93,F,26,Female,54.5
s94,F,21,Male,53.4
s95,F,19,Female,74.5
s96,M,18,Male,54.8
s97,F,23,Female,47.4
s98,M,23,Male,53.3
s99,M,21,Female,58.3
s100,M,18,Male,63.1
s101,M,20,Male,56.9
s102,M,41,Male,53.3
s103,M,31,Male,52.4
s104,M,26,Female,45.9
s105,M,21,Female,66.4
s106,M,20,Male,54.6
s107,O,24,Female,49.2
s108,F,18,Female,69.1
s109,M,22,Male,55.2
s110,M,21,Male,57.1
