ID,IQ1,IQ2,IQ3,IQ4,IQ5
1,2,3,NA,NA,NA
2,2,6,2,0,0
3,9,11,2,0,4
4,10,14,4,4,5
5,21,21,11,6,NA
6,11,17,13,0,5
7,11,6,5,6,NA
8,8,2,NA,NA,NA
9,13,11,3,0,NA
10,5,6,3,7,NA
11,5,5,1,0,NA
12,6,0,5,3,6
13,11,10,0,1,6
14,28,24,23,0,6
15,6,8,2,0,6
16,6,14,9,0,NA
17,12,8,0,2,7
18,10,9,3,4,NA
19,24,20,18,0,NA
20,11,10,2,0,NA
21,16,17,10,7,NA
22,11,21,6,10,NA
23,15,11,2,5,7
24,12,11,9,11,7
25,7,9,7,0,7
26,8,13,9,7,7
27,8,13,7,1,7
28,2,5,1,0,8
29,13,16,2,19,8
30,4,3,NA,NA,NA
31,5,12,1,5,8
32,7,5,1,2,8
33,16,18,2,3,8
34,16,11,5,18,8
35,11,11,1,10,8
36,28,17,21,7,8
37,8,9,2,0,8
38,9,14,0,4,9
39,23,12,0,0,9
40,18,6,1,2,9
41,4,12,2,0,NA
42,7,13,0,1,9
43,35,23,12,7,9
44,9,10,1,0,9
45,13,10,9,5,9
46,8,12,3,1,9
47,5,10,0,0,9
48,20,18,22,3,9
49,10,5,1,0,9
50,9,6,2,3,9
51,17,17,18,6,9
52,10,8,0,7,9
53,18,16,0,4,9
54,16,10,10,3,9
55,10,9,2,3,9
56,30,31,18,1,9
57,16,18,6,0,9
58,9,13,6,1,10
59,16,22,1,0,10
60,5,11,5,1,10
61,13,11,3,14,10
62,4,4,0,0,10
63,17,15,2,1,10
64,12,18,10,4,10
65,9,6,0,1,10
66,10,6,0,3,10
67,9,9,5,0,10
68,6,6,1,0,10
69,15,12,4,1,10
70,11,4,0,8,10
71,10,5,0,0,10
72,21,14,3,2,10
73,16,8,9,1,10
74,12,13,0,9,10
75,8,20,2,23,10
76,10,13,8,9,11
77,11,10,3,0,11
78,18,14,14,0,11
79,17,22,19,3,11
80,5,4,0,0,11
81,13,24,16,19,11
82,3,7,0,2,11
83,22,20,3,19,11
84,6,10,1,0,11
85,9,8,7,4,11
86,16,16,8,1,11
87,13,21,3,28,11
88,30,29,6,14,11
89,11,15,3,2,11
90,11,12,0,5,12
91,5,10,1,1,12
92,22,26,6,15,12
93,16,14,1,1,12
94,23,16,6,1,12
95,11,12,4,12,12
96,6,16,6,1,12
97,10,11,12,2,12
98,12,16,6,24,12
99,12,10,0,5,12
100,22,11,6,1,12
101,16,14,2,2,12
102,7,8,5,0,12
103,7,6,3,13,12
104,6,6,2,6,12
105,24,22,6,6,12
106,11,9,7,6,12
107,18,14,18,15,12
108,6,15,1,8,12
109,5,7,0,0,12
110,5,4,8,0,12
111,19,19,8,5,12
112,14,12,3,7,12
113,8,5,2,0,12
114,10,9,6,7,12
115,26,31,9,11,12
116,11,9,3,1,12
117,16,9,1,1,13
118,20,13,5,5,13
119,15,13,9,0,13
120,29,29,4,10,13
121,5,8,2,0,13
122,16,21,22,18,13
123,16,10,6,4,13
124,3,18,4,6,13
125,17,13,16,6,13
126,13,7,4,1,13
127,9,6,0,7,13
128,14,10,2,1,13
129,20,21,6,9,13
130,20,16,20,21,13
131,22,24,7,14,13
132,10,10,10,0,13
133,14,14,4,8,13
134,14,19,4,3,13
135,7,8,0,0,13
136,12,22,4,14,13
137,14,10,23,0,13
138,11,11,6,14,13
139,21,34,15,9,13
140,10,5,1,1,13
141,11,10,2,7,13
142,17,19,3,3,13
143,10,9,6,5,13
144,15,18,2,2,14
145,28,29,7,10,14
146,24,27,6,5,14
147,35,12,11,7,14
148,9,16,16,25,14
149,11,18,11,6,14
150,9,10,3,5,14
151,4,5,0,1,14
152,13,15,8,4,14
153,10,7,2,1,14
154,16,31,18,3,14
155,16,7,7,0,14
156,25,28,0,2,14
157,10,8,21,0,14
158,10,19,1,10,14
159,8,12,2,1,14
160,14,8,3,0,14
161,14,10,1,7,14
162,18,10,16,2,14
163,15,12,6,3,14
164,6,10,0,5,14
165,14,10,24,9,14
166,3,8,1,0,14
167,17,15,1,8,14
168,19,37,14,2,14
169,14,33,17,17,15
170,5,11,0,0,15
171,20,12,20,7,15
172,12,6,6,6,15
173,15,14,4,7,15
174,20,20,14,10,15
