Student,Age,Wordlist,Distractor,Caffeine,Score
S157234,26,abstract,mathematics,19.42,21.02
S191723,22,abstract,mathematics,20.9,31.3
S176153,18,abstract,mathematics,19.83,37.66
S136896,22,abstract,mathematics,19.2,29.3
S144417,21,abstract,mathematics,20.1,32.94
S158019,27,abstract,mathematics,20.13,20.84
S165464,27,abstract,mathematics,19.51,19.45
S183797,26,abstract,mathematics,18.56,19.78
S146749,25,abstract,mathematics,19.68,24.18
S141075,22,abstract,mathematics,20.29,30.18
S158151,22,abstract,mathematics,19.97,30.1
S157907,23,abstract,mathematics,19.95,27.94
S155152,23,abstract,mathematics,20.28,28.02
S172140,19,abstract,mathematics,19.41,35.1
S145050,19,abstract,mathematics,20.55,36.97
S176655,25,abstract,mathematics,20,23.79
S139921,21,abstract,mathematics,20.35,31.69
S159800,27,abstract,mathematics,20.52,21.23
S175252,25,abstract,mathematics,20.11,24.11
S169090,22,abstract,mathematics,19.56,29.42
S184578,22,abstract,mathematics,20.58,31.5
S164122,25,abstract,mathematics,19,23.35
S178245,25,abstract,mathematics,19.73,23.34
S189287,24,abstract,mathematics,19.87,25.62
S148890,21,abstract,mathematics,19.92,31.79
S139365,21,abstract,mathematics,20.51,32.64
S166836,18,abstract,mathematics,20.07,37.66
S159509,27,abstract,mathematics,20.2,21.33
S152088,21,abstract,mathematics,19.97,31.37
S154630,26,abstract,mathematics,19.88,21.52
S149756,26,abstract,poetry,20.35,29.36
S183067,26,abstract,poetry,20.57,27.27
S190212,26,abstract,poetry,18.8,25.47
S187860,23,abstract,poetry,20.29,32.35
S154721,23,abstract,poetry,20.19,33.2
S191318,21,abstract,poetry,19.79,36.66
S158405,20,abstract,poetry,20.48,39.64
S179542,20,abstract,poetry,19.81,38.2
S154169,26,abstract,poetry,19.86,26.83
S146130,26,abstract,poetry,20.43,28.21
S140822,24,abstract,poetry,20.86,32.92
S142238,26,abstract,poetry,20.14,27.35
S136709,22,abstract,poetry,19.79,33.98
S190274,24,abstract,poetry,19.41,30.11
S185099,21,abstract,poetry,19.83,36.56
S159722,21,abstract,poetry,19.53,36.2
S172491,27,abstract,poetry,19.87,23.92
S155994,25,abstract,poetry,20.2,28.92
S146819,18,abstract,poetry,19.57,41.98
S164180,27,abstract,poetry,21.32,26.88
S172087,19,abstract,poetry,20.08,40.31
S180805,27,abstract,poetry,20.57,25.43
S161124,18,abstract,poetry,18.86,41.8
S133704,18,abstract,poetry,20.37,43.64
S139609,21,abstract,poetry,19.34,35.45
S174796,22,abstract,poetry,20.46,36.31
S165326,22,abstract,poetry,20.2,34.39
S144213,23,abstract,poetry,19.8,33.09
S162593,26,abstract,poetry,20.66,27.7
S146448,25,abstract,poetry,19.65,28.3
S171887,22,concrete,mathematics,19.71,44.44
S137897,18,concrete,mathematics,19.5,51.03
S174973,19,concrete,mathematics,19.67,50.59
S172043,18,concrete,mathematics,20.47,53.2
S167320,25,concrete,mathematics,20.22,39.72
S166115,22,concrete,mathematics,20.5,45.41
S172269,25,concrete,mathematics,19.8,38.28
S149766,27,concrete,mathematics,20.19,35.55
S162506,24,concrete,mathematics,20.12,42.02
S181782,24,concrete,mathematics,19.29,39.25
S189505,19,concrete,mathematics,20.89,52.57
S169361,26,concrete,mathematics,20.07,36
S162543,21,concrete,mathematics,20.38,47.75
S144700,19,concrete,mathematics,20.48,52.05
S137780,22,concrete,mathematics,19.97,44.43
S146786,19,concrete,mathematics,19.85,51.19
S191507,21,concrete,mathematics,20.45,47.8
S183964,20,concrete,mathematics,19.48,48.49
S159921,23,concrete,mathematics,20.99,44.14
S154833,26,concrete,mathematics,19.81,36.07
S154972,24,concrete,mathematics,20.83,42.05
S187937,22,concrete,mathematics,20.76,46.16
S158495,22,concrete,mathematics,20.04,43.96
S191530,18,concrete,mathematics,20.28,53.47
S181414,18,concrete,mathematics,19.49,51.34
S145381,27,concrete,mathematics,20.16,35.96
S165833,18,concrete,mathematics,20.52,52.88
S145245,20,concrete,mathematics,20.05,49.39
S180327,27,concrete,mathematics,19.77,33.86
S168737,24,concrete,mathematics,19.67,39.93
S158334,21,concrete,poetry,19.98,41.83
S171550,18,concrete,poetry,20.53,46.9
S187930,26,concrete,poetry,19.76,29.88
S184151,24,concrete,poetry,19.94,35.02
S147176,23,concrete,poetry,19.35,35.97
S150472,21,concrete,poetry,20.25,40.99
S166832,19,concrete,poetry,20.65,45.7
S141311,20,concrete,poetry,20.75,43.97
S179897,27,concrete,poetry,20.41,29.98
S139409,23,concrete,poetry,19.07,35.87
S153051,24,concrete,poetry,20.24,34.89
S155127,18,concrete,poetry,20.23,46.82
S143690,18,concrete,poetry,19.82,46.13
S166278,24,concrete,poetry,20.09,35.36
S166333,18,concrete,poetry,19.57,46.75
S135891,20,concrete,poetry,20.34,42.89
S188814,24,concrete,poetry,19.84,35.05
S141461,19,concrete,poetry,19.22,44.07
S174227,22,concrete,poetry,19.82,38.25
S178042,27,concrete,poetry,20.68,29.29
S169212,27,concrete,poetry,19.83,29.03
S162516,25,concrete,poetry,20.37,33.97
S170750,19,concrete,poetry,20.47,45.1
S142192,21,concrete,poetry,20,41.42
S146670,25,concrete,poetry,19.82,32.22
S141542,26,concrete,poetry,19.74,30.4
S172403,23,concrete,poetry,20.37,36.76
S139977,18,concrete,poetry,19.47,47.44
S165517,25,concrete,poetry,20.12,34.03
S153631,26,concrete,poetry,19.86,31.61
