Player,Position,Team,TotalMoney,YearlySalary
Sidney Jones,CB,Eagles,6.14,1.535
D.J. Montgomery,WR,Browns,1.758,0.586
Shaq Thompson,43OLB,Panthers,8.809,2.202
Jordan Willis,34OLB,Jets,3.617,0.904
Marlon Humphrey,CB,Ravens,11.847,2.962
Rock Ya-Sin,CB,Colts,7.916,1.979
James O'Shaughnessy,TE,Jaguars,2.225,1.113
Billy Winn,34DE,Broncos,1.825,0.913
Mike McGlinchey,RT,49ers,18.342,4.585
Ben Banogu,43DE,Colts,5.945,1.486
Kiko Alonso,43OLB,Saints,11.4,5.7
Kyle Rudolph,TE,Vikings,36.1,9.025
Kevin Strong,43DT,Lions,1.761,0.587
Zaire Franklin,43OLB,Colts,2.547,0.637
Buck Allen,RB,Giants,0.805,0.805
Brandon Marshall,LB,Raiders,0.805,0.805
Deadrin Senat,43DT,Falcons,3.423,0.856
Cortez Broughton,43DT,Chargers,2.598,0.65
Brandon Greene,RG,Panthers,0.505,0.505
Mike Remmers,RT,Giants,2.5,2.5
Tony Bergstrom,C,Redskins,0.895,0.895
Tyler Higbee,TE,Rams,29,7.25
Wes Martin,RG,Redskins,3.171,0.793
Vinny Curry,43DE,Eagles,2.25,2.25
DeForest Buckner,43DT,49ers,18.191,4.548
Eric Reid,S,Panthers,22.05,7.35
Chris Lammons,CB,Dolphins,1.08,0.54
Tramon Williams,CB,Packers,10,5
Billy Turner,LG,Packers,28,7
Tyler Lancaster,34DT,Packers,1.05,0.525
Bilal Powell,RB,Jets,1.02,1.02
Chris Wormley,34DE,Ravens,3.56,0.89
Frank Ragnow,LG,Lions,11.78,2.945
Greg Senat,LT,Chiefs,2.578,0.645
Dawuane Smoot,43DE,Jaguars,3.846,0.962
Jon Weeks,LS,Texans,3.9,0.975
Montravius Adams,34DE,Packers,3.262,0.815
Jordan Scarlett,RB,Panthers,2.831,0.708
Tom Brady,QB,Patriots,23,23
Sam Ficken,K,Jets,0.495,0.495
Christian Miller,43OLB,Panthers,3.257,0.814
LeSean McCoy,RB,Chiefs,3,3
Raekwon McMillan,ILB,Dolphins,4.698,1.174
Phillip Gaines,CB,Texans,0.805,0.805
Xavier Su'a-Filo,LG,Cowboys,1.645,0.823
Kenny Clark,34DT,Packers,9.362,2.34
Janoris Jenkins,CB,Giants,62.5,12.5
Jihad Ward,34DE,Ravens,0.72,0.72
Vontaze Burfict,ILB,Raiders,2,2
Hale Hentges,TE,Redskins,1.77,0.59
