PID,age,level,character,mode,P,N,M,NGV
ppt_1,47,level1,realistic,Screen,2,3,3,10.5
ppt_1,47,level9,cartoon,Screen,2,3,3,9.5
ppt_1,47,level4,cartoon,Screen,2,3,3,10
ppt_1,47,level1,cartoon,Screen,2,3,3,10
ppt_1,47,level4,realistic,Screen,2,3,3,10.5
ppt_1,47,level2,cartoon,Screen,2,3,3,11.5
ppt_1,47,level2,realistic,Screen,2,3,3,11.5
ppt_1,47,level6,realistic,Screen,2,3,3,12.5
ppt_1,47,level3,cartoon,Screen,2,3,3,14.5
ppt_1,47,level8,cartoon,Screen,2,3,3,15
ppt_1,47,level10,cartoon,Screen,2,3,3,12.5
ppt_1,47,level8,realistic,Screen,2,3,3,13.5
ppt_1,47,level5,realistic,Screen,2,3,3,13.5
ppt_1,47,level7,realistic,Screen,2,3,3,11
ppt_1,47,level7,cartoon,Screen,2,3,3,11
ppt_1,47,level10,realistic,Screen,2,3,3,9
ppt_1,47,level6,cartoon,Screen,2,3,3,8.5
ppt_1,47,level5,cartoon,Screen,2,3,3,10.5
ppt_1,47,level3,realistic,Screen,2,3,3,11.5
ppt_1,47,level9,realistic,Screen,2,3,3,13
ppt_10,46,level4,cartoon,Screen,3,3,2,15.5
ppt_10,46,level7,cartoon,Screen,3,3,2,14.5
ppt_10,46,level8,realistic,Screen,3,3,2,16
ppt_10,46,level6,realistic,Screen,3,3,2,12.5
ppt_10,46,level8,cartoon,Screen,3,3,2,13
ppt_10,46,level5,realistic,Screen,3,3,2,11.5
ppt_10,46,level7,realistic,Screen,3,3,2,16.5
ppt_10,46,level5,cartoon,Screen,3,3,2,16
ppt_10,46,level9,realistic,Screen,3,3,2,13.5
ppt_10,46,level3,cartoon,Screen,3,3,2,15.5
ppt_10,46,level10,cartoon,Screen,3,3,2,17.5
ppt_10,46,level10,realistic,Screen,3,3,2,13
ppt_10,46,level2,realistic,Screen,3,3,2,12
ppt_10,46,level6,cartoon,Screen,3,3,2,12
ppt_10,46,level9,cartoon,Screen,3,3,2,13
ppt_10,46,level2,cartoon,Screen,3,3,2,15.5
ppt_10,46,level4,realistic,Screen,3,3,2,12
ppt_10,46,level3,realistic,Screen,3,3,2,14
ppt_10,46,level1,cartoon,Screen,3,3,2,12.5
ppt_10,46,level1,realistic,Screen,3,3,2,13.5
ppt_11,21,level6,realistic,Screen,2,3,3,16.5
ppt_11,21,level5,cartoon,Screen,2,3,3,19
ppt_11,21,level8,cartoon,Screen,2,3,3,18
ppt_11,21,level7,cartoon,Screen,2,3,3,17.5
ppt_11,21,level4,cartoon,Screen,2,3,3,15
ppt_11,21,level2,cartoon,Screen,2,3,3,16
ppt_11,21,level1,realistic,Screen,2,3,3,17
ppt_11,21,level4,realistic,Screen,2,3,3,17.5
ppt_11,21,level5,realistic,Screen,2,3,3,15.5
ppt_11,21,level3,realistic,Screen,2,3,3,16
ppt_11,21,level3,cartoon,Screen,2,3,3,18
ppt_11,21,level6,cartoon,Screen,2,3,3,16.5
ppt_11,21,level8,realistic,Screen,2,3,3,15.5
ppt_11,21,level9,realistic,Screen,2,3,3,15
ppt_11,21,level7,realistic,Screen,2,3,3,16.5
ppt_11,21,level9,cartoon,Screen,2,3,3,15
ppt_11,21,level10,realistic,Screen,2,3,3,17
ppt_11,21,level2,realistic,Screen,2,3,3,18.5
ppt_11,21,level1,cartoon,Screen,2,3,3,16
ppt_11,21,level10,cartoon,Screen,2,3,3,19.5
ppt_12,37,level4,cartoon,Screen,3,2,3,14.5
ppt_12,37,level5,realistic,Screen,3,2,3,10.5
ppt_12,37,level8,cartoon,Screen,3,2,3,13
ppt_12,37,level5,cartoon,Screen,3,2,3,11
ppt_12,37,level7,realistic,Screen,3,2,3,12.5
ppt_12,37,level2,cartoon,Screen,3,2,3,15
ppt_12,37,level6,realistic,Screen,3,2,3,15.5
ppt_12,37,level9,cartoon,Screen,3,2,3,12.5
ppt_12,37,level7,cartoon,Screen,3,2,3,13.5
ppt_12,37,level4,realistic,Screen,3,2,3,11.5
ppt_12,37,level2,realistic,Screen,3,2,3,10
ppt_12,37,level10,cartoon,Screen,3,2,3,16.5
ppt_12,37,level1,realistic,Screen,3,2,3,13
ppt_12,37,level9,realistic,Screen,3,2,3,13.5
ppt_12,37,level6,cartoon,Screen,3,2,3,13.5
ppt_12,37,level10,realistic,Screen,3,2,3,14
ppt_12,37,level3,realistic,Screen,3,2,3,10
ppt_12,37,level8,realistic,Screen,3,2,3,12
ppt_12,37,level3,cartoon,Screen,3,2,3,16
ppt_12,37,level1,cartoon,Screen,3,2,3,10.5
ppt_13,41,level2,realistic,Screen,3,4,4,14.5
ppt_13,41,level8,realistic,Screen,3,4,4,19
ppt_13,41,level10,realistic,Screen,3,4,4,21
ppt_13,41,level8,cartoon,Screen,3,4,4,13
ppt_13,41,level5,realistic,Screen,3,4,4,19
ppt_13,41,level1,realistic,Screen,3,4,4,21.5
ppt_13,41,level3,realistic,Screen,3,4,4,18.5
ppt_13,41,level10,cartoon,Screen,3,4,4,18.5
ppt_13,41,level7,realistic,Screen,3,4,4,15.5
ppt_13,41,level5,cartoon,Screen,3,4,4,17
ppt_13,41,level7,cartoon,Screen,3,4,4,16
ppt_13,41,level2,cartoon,Screen,3,4,4,15.5
ppt_13,41,level1,cartoon,Screen,3,4,4,16.5
ppt_13,41,level4,cartoon,Screen,3,4,4,17.5
ppt_13,41,level9,cartoon,Screen,3,4,4,19
ppt_13,41,level4,realistic,Screen,3,4,4,17.5
ppt_13,41,level6,cartoon,Screen,3,4,4,17
ppt_13,41,level9,realistic,Screen,3,4,4,14.5
ppt_13,41,level3,cartoon,Screen,3,4,4,16.5
ppt_13,41,level6,realistic,Screen,3,4,4,18.5
ppt_14,48,level6,realistic,Screen,3,3,4,14
ppt_14,48,level2,cartoon,Screen,3,3,4,12.5
ppt_14,48,level6,cartoon,Screen,3,3,4,8.5
ppt_14,48,level7,realistic,Screen,3,3,4,11.5
ppt_14,48,level9,realistic,Screen,3,3,4,11.5
ppt_14,48,level8,cartoon,Screen,3,3,4,11.5
ppt_14,48,level1,cartoon,Screen,3,3,4,4.5
ppt_14,48,level1,realistic,Screen,3,3,4,7.5
ppt_14,48,level2,realistic,Screen,3,3,4,8.5
ppt_14,48,level7,cartoon,Screen,3,3,4,8
ppt_14,48,level9,cartoon,Screen,3,3,4,7
ppt_14,48,level8,realistic,Screen,3,3,4,10.5
ppt_14,48,level5,cartoon,Screen,3,3,4,9.5
ppt_14,48,level10,realistic,Screen,3,3,4,9
ppt_14,48,level5,realistic,Screen,3,3,4,11
ppt_14,48,level3,realistic,Screen,3,3,4,11.5
ppt_14,48,level4,cartoon,Screen,3,3,4,7
ppt_14,48,level10,cartoon,Screen,3,3,4,10
ppt_14,48,level4,realistic,Screen,3,3,4,11.5
ppt_14,48,level3,cartoon,Screen,3,3,4,9.5
ppt_15,26,level8,realistic,Screen,2,1,2,8.5
ppt_15,26,level1,cartoon,Screen,2,1,2,10.5
ppt_15,26,level7,realistic,Screen,2,1,2,7
ppt_15,26,level8,cartoon,Screen,2,1,2,8
ppt_15,26,level3,cartoon,Screen,2,1,2,11
ppt_15,26,level2,realistic,Screen,2,1,2,3.5
ppt_15,26,level4,realistic,Screen,2,1,2,10
ppt_15,26,level6,realistic,Screen,2,1,2,7
ppt_15,26,level4,cartoon,Screen,2,1,2,12.5
ppt_15,26,level7,cartoon,Screen,2,1,2,12.5
ppt_15,26,level5,cartoon,Screen,2,1,2,10
ppt_15,26,level2,cartoon,Screen,2,1,2,8.5
ppt_15,26,level10,cartoon,Screen,2,1,2,11.5
ppt_15,26,level9,realistic,Screen,2,1,2,9.5
ppt_15,26,level3,realistic,Screen,2,1,2,8
ppt_15,26,level9,cartoon,Screen,2,1,2,7.5
ppt_15,26,level1,realistic,Screen,2,1,2,9
ppt_15,26,level10,realistic,Screen,2,1,2,7.5
ppt_15,26,level6,cartoon,Screen,2,1,2,8
ppt_15,26,level5,realistic,Screen,2,1,2,10.5
ppt_16,47,level9,realistic,Screen,2,3,3,14
ppt_16,47,level8,cartoon,Screen,2,3,3,8.5
ppt_16,47,level1,realistic,Screen,2,3,3,12.5
ppt_16,47,level3,cartoon,Screen,2,3,3,16
ppt_16,47,level4,realistic,Screen,2,3,3,14.5
ppt_16,47,level6,cartoon,Screen,2,3,3,13.5
ppt_16,47,level6,realistic,Screen,2,3,3,16.5
ppt_16,47,level4,cartoon,Screen,2,3,3,13
ppt_16,47,level2,cartoon,Screen,2,3,3,13
ppt_16,47,level9,cartoon,Screen,2,3,3,9.5
ppt_16,47,level5,cartoon,Screen,2,3,3,10
ppt_16,47,level3,realistic,Screen,2,3,3,12
ppt_16,47,level10,realistic,Screen,2,3,3,14.5
ppt_16,47,level2,realistic,Screen,2,3,3,11
ppt_16,47,level5,realistic,Screen,2,3,3,12.5
ppt_16,47,level1,cartoon,Screen,2,3,3,12.5
ppt_16,47,level8,realistic,Screen,2,3,3,11.5
ppt_16,47,level7,realistic,Screen,2,3,3,14
ppt_16,47,level7,cartoon,Screen,2,3,3,12
ppt_16,47,level10,cartoon,Screen,2,3,3,12
ppt_17,18,level9,realistic,Screen,2,3,2,9.5
ppt_17,18,level2,cartoon,Screen,2,3,2,9
ppt_17,18,level1,realistic,Screen,2,3,2,10
ppt_17,18,level3,cartoon,Screen,2,3,2,8.5
ppt_17,18,level7,cartoon,Screen,2,3,2,10
ppt_17,18,level2,realistic,Screen,2,3,2,12
ppt_17,18,level4,realistic,Screen,2,3,2,9.5
ppt_17,18,level8,realistic,Screen,2,3,2,10
ppt_17,18,level4,cartoon,Screen,2,3,2,5
ppt_17,18,level7,realistic,Screen,2,3,2,14
ppt_17,18,level5,realistic,Screen,2,3,2,10.5
ppt_17,18,level5,cartoon,Screen,2,3,2,11
ppt_17,18,level6,realistic,Screen,2,3,2,8.5
ppt_17,18,level10,cartoon,Screen,2,3,2,8.5
ppt_17,18,level3,realistic,Screen,2,3,2,8.5
ppt_17,18,level8,cartoon,Screen,2,3,2,6
ppt_17,18,level1,cartoon,Screen,2,3,2,7.5
ppt_17,18,level10,realistic,Screen,2,3,2,11.5
ppt_17,18,level9,cartoon,Screen,2,3,2,7.5
ppt_17,18,level6,cartoon,Screen,2,3,2,7
ppt_18,36,level4,cartoon,Screen,2,2,1,8
ppt_18,36,level7,realistic,Screen,2,2,1,7.5
ppt_18,36,level5,cartoon,Screen,2,2,1,6.5
ppt_18,36,level1,cartoon,Screen,2,2,1,7.5
ppt_18,36,level10,realistic,Screen,2,2,1,9
ppt_18,36,level1,realistic,Screen,2,2,1,9
ppt_18,36,level10,cartoon,Screen,2,2,1,7.5
ppt_18,36,level7,cartoon,Screen,2,2,1,11
ppt_18,36,level3,cartoon,Screen,2,2,1,9
ppt_18,36,level5,realistic,Screen,2,2,1,9
ppt_18,36,level9,cartoon,Screen,2,2,1,10
ppt_18,36,level2,cartoon,Screen,2,2,1,12
ppt_18,36,level3,realistic,Screen,2,2,1,6.5
ppt_18,36,level8,cartoon,Screen,2,2,1,9
ppt_18,36,level9,realistic,Screen,2,2,1,7.5
ppt_18,36,level4,realistic,Screen,2,2,1,9
ppt_18,36,level6,cartoon,Screen,2,2,1,5.5
ppt_18,36,level8,realistic,Screen,2,2,1,7
ppt_18,36,level6,realistic,Screen,2,2,1,9.5
ppt_18,36,level2,realistic,Screen,2,2,1,8.5
ppt_19,36,level7,cartoon,Screen,2,3,3,13.5
ppt_19,36,level8,cartoon,Screen,2,3,3,8
ppt_19,36,level10,realistic,Screen,2,3,3,14.5
ppt_19,36,level6,cartoon,Screen,2,3,3,11
ppt_19,36,level2,cartoon,Screen,2,3,3,12.5
ppt_19,36,level6,realistic,Screen,2,3,3,10
ppt_19,36,level5,realistic,Screen,2,3,3,11.5
ppt_19,36,level4,cartoon,Screen,2,3,3,12.5
ppt_19,36,level7,realistic,Screen,2,3,3,17
ppt_19,36,level8,realistic,Screen,2,3,3,13
ppt_19,36,level1,cartoon,Screen,2,3,3,12
ppt_19,36,level5,cartoon,Screen,2,3,3,14.5
ppt_19,36,level3,cartoon,Screen,2,3,3,13
ppt_19,36,level3,realistic,Screen,2,3,3,12
ppt_19,36,level2,realistic,Screen,2,3,3,13
ppt_19,36,level1,realistic,Screen,2,3,3,13
ppt_19,36,level10,cartoon,Screen,2,3,3,12.5
ppt_19,36,level9,realistic,Screen,2,3,3,7
ppt_19,36,level4,realistic,Screen,2,3,3,12.5
ppt_19,36,level9,cartoon,Screen,2,3,3,12
ppt_2,22,level1,realistic,Screen,1,2,2,9.5
ppt_2,22,level8,realistic,Screen,1,2,2,8.5
ppt_2,22,level3,realistic,Screen,1,2,2,8.5
ppt_2,22,level8,cartoon,Screen,1,2,2,8.5
ppt_2,22,level2,realistic,Screen,1,2,2,9.5
ppt_2,22,level10,cartoon,Screen,1,2,2,8
ppt_2,22,level3,cartoon,Screen,1,2,2,8
ppt_2,22,level7,cartoon,Screen,1,2,2,11
ppt_2,22,level1,cartoon,Screen,1,2,2,7
ppt_2,22,level2,cartoon,Screen,1,2,2,8
ppt_2,22,level7,realistic,Screen,1,2,2,5
ppt_2,22,level4,cartoon,Screen,1,2,2,10
ppt_2,22,level5,realistic,Screen,1,2,2,5
ppt_2,22,level10,realistic,Screen,1,2,2,10
ppt_2,22,level9,realistic,Screen,1,2,2,7.5
ppt_2,22,level5,cartoon,Screen,1,2,2,11
ppt_2,22,level9,cartoon,Screen,1,2,2,11.5
ppt_2,22,level4,realistic,Screen,1,2,2,9
ppt_2,22,level6,cartoon,Screen,1,2,2,8
ppt_2,22,level6,realistic,Screen,1,2,2,7
ppt_20,44,level6,cartoon,Screen,2,3,2,13.5
ppt_20,44,level9,realistic,Screen,2,3,2,11
ppt_20,44,level5,cartoon,Screen,2,3,2,11
ppt_20,44,level10,cartoon,Screen,2,3,2,14.5
ppt_20,44,level3,realistic,Screen,2,3,2,13.5
ppt_20,44,level1,realistic,Screen,2,3,2,11.5
ppt_20,44,level3,cartoon,Screen,2,3,2,14.5
ppt_20,44,level1,cartoon,Screen,2,3,2,15
ppt_20,44,level9,cartoon,Screen,2,3,2,10.5
ppt_20,44,level8,cartoon,Screen,2,3,2,13
ppt_20,44,level6,realistic,Screen,2,3,2,13
ppt_20,44,level8,realistic,Screen,2,3,2,12.5
ppt_20,44,level2,realistic,Screen,2,3,2,12
ppt_20,44,level5,realistic,Screen,2,3,2,10.5
ppt_20,44,level2,cartoon,Screen,2,3,2,11.5
ppt_20,44,level4,realistic,Screen,2,3,2,10.5
ppt_20,44,level4,cartoon,Screen,2,3,2,8
ppt_20,44,level7,realistic,Screen,2,3,2,13
ppt_20,44,level7,cartoon,Screen,2,3,2,12.5
ppt_20,44,level10,realistic,Screen,2,3,2,12
ppt_22,39,level9,realistic,Screen,3,3,3,11
ppt_22,39,level3,realistic,Screen,3,3,3,12.5
ppt_22,39,level3,cartoon,Screen,3,3,3,13
ppt_22,39,level7,realistic,Screen,3,3,3,11.5
ppt_22,39,level6,cartoon,Screen,3,3,3,10
ppt_22,39,level10,cartoon,Screen,3,3,3,10.5
ppt_22,39,level8,realistic,Screen,3,3,3,15
ppt_22,39,level4,cartoon,Screen,3,3,3,13.5
ppt_22,39,level7,cartoon,Screen,3,3,3,14
ppt_22,39,level6,realistic,Screen,3,3,3,12
ppt_22,39,level2,cartoon,Screen,3,3,3,11
ppt_22,39,level8,cartoon,Screen,3,3,3,12
ppt_22,39,level5,cartoon,Screen,3,3,3,13
ppt_22,39,level10,realistic,Screen,3,3,3,10
ppt_22,39,level9,cartoon,Screen,3,3,3,11.5
ppt_22,39,level4,realistic,Screen,3,3,3,12
ppt_22,39,level5,realistic,Screen,3,3,3,12
ppt_22,39,level1,cartoon,Screen,3,3,3,12.5
ppt_22,39,level2,realistic,Screen,3,3,3,8.5
ppt_22,39,level1,realistic,Screen,3,3,3,13
ppt_23,43,level9,cartoon,Screen,1,2,1,9
ppt_23,43,level3,cartoon,Screen,1,2,1,7.5
ppt_23,43,level10,cartoon,Screen,1,2,1,8.5
ppt_23,43,level4,cartoon,Screen,1,2,1,9
ppt_23,43,level3,realistic,Screen,1,2,1,5
ppt_23,43,level8,cartoon,Screen,1,2,1,10
ppt_23,43,level7,realistic,Screen,1,2,1,5.5
ppt_23,43,level1,realistic,Screen,1,2,1,6
ppt_23,43,level4,realistic,Screen,1,2,1,2.5
ppt_23,43,level6,cartoon,Screen,1,2,1,4.5
ppt_23,43,level2,realistic,Screen,1,2,1,5
ppt_23,43,level1,cartoon,Screen,1,2,1,6.5
ppt_23,43,level10,realistic,Screen,1,2,1,4
ppt_23,43,level6,realistic,Screen,1,2,1,6
ppt_23,43,level7,cartoon,Screen,1,2,1,7
ppt_23,43,level5,cartoon,Screen,1,2,1,10
ppt_23,43,level2,cartoon,Screen,1,2,1,7.5
ppt_23,43,level9,realistic,Screen,1,2,1,3
ppt_23,43,level5,realistic,Screen,1,2,1,4.5
ppt_23,43,level8,realistic,Screen,1,2,1,4.5
ppt_24,28,level1,cartoon,Screen,2,2,3,12
ppt_24,28,level3,realistic,Screen,2,2,3,13
ppt_24,28,level10,realistic,Screen,2,2,3,11.5
ppt_24,28,level10,cartoon,Screen,2,2,3,8.5
ppt_24,28,level7,cartoon,Screen,2,2,3,8
ppt_24,28,level8,cartoon,Screen,2,2,3,10
ppt_24,28,level3,cartoon,Screen,2,2,3,10.5
ppt_24,28,level5,cartoon,Screen,2,2,3,12
ppt_24,28,level5,realistic,Screen,2,2,3,11.5
ppt_24,28,level1,realistic,Screen,2,2,3,12.5
ppt_24,28,level8,realistic,Screen,2,2,3,10
ppt_24,28,level6,realistic,Screen,2,2,3,9.5
ppt_24,28,level9,cartoon,Screen,2,2,3,10.5
ppt_24,28,level2,cartoon,Screen,2,2,3,8
ppt_24,28,level2,realistic,Screen,2,2,3,9
ppt_24,28,level7,realistic,Screen,2,2,3,11.5
ppt_24,28,level4,realistic,Screen,2,2,3,11
ppt_24,28,level4,cartoon,Screen,2,2,3,6.5
ppt_24,28,level6,cartoon,Screen,2,2,3,13.5
ppt_24,28,level9,realistic,Screen,2,2,3,12.5
ppt_25,43,level6,cartoon,Screen,2,3,4,10.5
ppt_25,43,level2,realistic,Screen,2,3,4,7.5
ppt_25,43,level3,cartoon,Screen,2,3,4,10
ppt_25,43,level4,cartoon,Screen,2,3,4,9
ppt_25,43,level3,realistic,Screen,2,3,4,10
ppt_25,43,level4,realistic,Screen,2,3,4,9.5
ppt_25,43,level5,cartoon,Screen,2,3,4,9.5
ppt_25,43,level2,cartoon,Screen,2,3,4,12
ppt_25,43,level1,cartoon,Screen,2,3,4,11
ppt_25,43,level1,realistic,Screen,2,3,4,13
ppt_25,43,level10,cartoon,Screen,2,3,4,11.5
ppt_25,43,level9,cartoon,Screen,2,3,4,10.5
ppt_25,43,level7,cartoon,Screen,2,3,4,9.5
ppt_25,43,level7,realistic,Screen,2,3,4,10
ppt_25,43,level6,realistic,Screen,2,3,4,9
ppt_25,43,level5,realistic,Screen,2,3,4,12.5
ppt_25,43,level10,realistic,Screen,2,3,4,10.5
ppt_25,43,level9,realistic,Screen,2,3,4,8.5
ppt_25,43,level8,cartoon,Screen,2,3,4,10.5
ppt_25,43,level8,realistic,Screen,2,3,4,11.5
ppt_26,38,level6,cartoon,Screen,2,4,3,9
ppt_26,38,level3,realistic,Screen,2,4,3,9.5
ppt_26,38,level8,cartoon,Screen,2,4,3,9.5
ppt_26,38,level8,realistic,Screen,2,4,3,8
ppt_26,38,level5,realistic,Screen,2,4,3,8
ppt_26,38,level6,realistic,Screen,2,4,3,6
ppt_26,38,level7,realistic,Screen,2,4,3,5.5
ppt_26,38,level10,realistic,Screen,2,4,3,10.5
ppt_26,38,level1,cartoon,Screen,2,4,3,9
ppt_26,38,level2,realistic,Screen,2,4,3,11
ppt_26,38,level5,cartoon,Screen,2,4,3,9.5
ppt_26,38,level3,cartoon,Screen,2,4,3,10
ppt_26,38,level10,cartoon,Screen,2,4,3,9
ppt_26,38,level2,cartoon,Screen,2,4,3,7.5
ppt_26,38,level9,realistic,Screen,2,4,3,7
ppt_26,38,level9,cartoon,Screen,2,4,3,9.5
ppt_26,38,level7,cartoon,Screen,2,4,3,9.5
ppt_26,38,level4,realistic,Screen,2,4,3,10
ppt_26,38,level1,realistic,Screen,2,4,3,11.5
ppt_26,38,level4,cartoon,Screen,2,4,3,11
ppt_27,21,level4,cartoon,Screen,3,3,4,18.5
ppt_27,21,level7,cartoon,Screen,3,3,4,18
ppt_27,21,level3,realistic,Screen,3,3,4,18.5
ppt_27,21,level4,realistic,Screen,3,3,4,18.5
ppt_27,21,level7,realistic,Screen,3,3,4,14.5
ppt_27,21,level6,cartoon,Screen,3,3,4,16
ppt_27,21,level1,cartoon,Screen,3,3,4,15
ppt_27,21,level2,cartoon,Screen,3,3,4,12
ppt_27,21,level9,realistic,Screen,3,3,4,15.5
ppt_27,21,level3,cartoon,Screen,3,3,4,18.5
ppt_27,21,level8,realistic,Screen,3,3,4,18
ppt_27,21,level5,cartoon,Screen,3,3,4,14.5
ppt_27,21,level1,realistic,Screen,3,3,4,16.5
ppt_27,21,level2,realistic,Screen,3,3,4,16.5
ppt_27,21,level10,cartoon,Screen,3,3,4,16.5
ppt_27,21,level5,realistic,Screen,3,3,4,19
ppt_27,21,level10,realistic,Screen,3,3,4,18
ppt_27,21,level6,realistic,Screen,3,3,4,18
ppt_27,21,level8,cartoon,Screen,3,3,4,18
ppt_27,21,level9,cartoon,Screen,3,3,4,17
ppt_29,44,level5,realistic,Screen,5,5,5,20
ppt_29,44,level7,realistic,Screen,5,5,5,29
ppt_29,44,level4,realistic,Screen,5,5,5,21
ppt_29,44,level4,cartoon,Screen,5,5,5,22
ppt_29,44,level2,cartoon,Screen,5,5,5,18
ppt_29,44,level9,cartoon,Screen,5,5,5,17
ppt_29,44,level3,realistic,Screen,5,5,5,23
ppt_29,44,level8,cartoon,Screen,5,5,5,20
ppt_29,44,level2,realistic,Screen,5,5,5,19
ppt_29,44,level7,cartoon,Screen,5,5,5,14
ppt_29,44,level10,realistic,Screen,5,5,5,29
ppt_29,44,level8,realistic,Screen,5,5,5,21
ppt_29,44,level9,realistic,Screen,5,5,5,16
ppt_29,44,level10,cartoon,Screen,5,5,5,16
ppt_29,44,level1,cartoon,Screen,5,5,5,22
ppt_29,44,level1,realistic,Screen,5,5,5,19
ppt_29,44,level5,cartoon,Screen,5,5,5,23
ppt_29,44,level3,cartoon,Screen,5,5,5,21
ppt_29,44,level6,cartoon,Screen,5,5,5,20
ppt_29,44,level6,realistic,Screen,5,5,5,22
ppt_30,28,level2,cartoon,Screen,2,4,3,6.5
ppt_30,28,level10,realistic,Screen,2,4,3,11.5
ppt_30,28,level7,cartoon,Screen,2,4,3,10.5
