id,type,amount
1,No Music,23.148905992456246
2,Pop Music,20.59491652709286
3,Pop Music,19.18172018283348
4,Pop Music,16.70237264449452
5,Classical Music,25.91040644084709
6,Pop Music,19.278883941605468
7,No Music,22.35501948233137
8,Classical Music,24.16197881170068
9,Classical Music,26.04052111282785
10,Classical Music,24.613960045341088
11,Pop Music,20.45636532777153
12,Classical Music,22.512672040532475
13,Classical Music,22.45945487986888
14,Pop Music,19.574998527137705
15,Classical Music,26.876135459261352
16,Classical Music,23.339794900763316
17,Pop Music,20.161920460474974
18,Classical Music,23.43363119725829
19,Pop Music,22.924215848531865
20,Classical Music,21.99238212677308
21,Classical Music,27.185286509580575
22,Classical Music,28.02280549004446
23,No Music,20.13309082549423
24,Pop Music,25.727626882260907
25,Pop Music,18.477986514404485
26,Pop Music,17.98153262694928
27,Pop Music,23.665703213521798
28,No Music,27.969220417997814
29,Pop Music,17.474656629847
30,Classical Music,25.514716158723008
31,Classical Music,24.19756800774146
32,Classical Music,22.670081236079703
33,No Music,14.505377795214695
34,Classical Music,24.5781774367058
35,Classical Music,25.343257242859156
36,Classical Music,26.492111739936448
37,Classical Music,20.392096933812354
38,No Music,27.106809795318046
39,No Music,20.435892789214247
40,Pop Music,24.307155339034303
41,Pop Music,17.986915308170953
42,Pop Music,18.517625333807313
43,Classical Music,24.729071915087587
44,Pop Music,17.622332810778648
45,No Music,23.58008275141637
46,Classical Music,23.766173559139645
47,No Music,22.820029658959704
48,Classical Music,24.911545797391803
49,Classical Music,21.58019730536322
50,No Music,20.578085209276843
51,No Music,23.751986340681896
52,Pop Music,19.48238837119213
53,No Music,26.714712329518612
54,Pop Music,22.876309776693862
55,No Music,26.074774088837586
56,Pop Music,20.779084870969797
57,No Music,15.55293786398779
58,Classical Music,22.46777402200146
59,Classical Music,25.80684989792376
60,Pop Music,24.76933898722048
61,No Music,22.840273963043085
62,Pop Music,22.286071747652052
63,Classical Music,26.18785546103497
64,Classical Music,23.190564933249846
65,Pop Music,25.703199527374448
66,Classical Music,21.90944271613111
67,No Music,19.91716979959006
68,No Music,22.34845153204937
69,No Music,19.86637403157315
70,Classical Music,26.49400235948806
71,No Music,17.146841040890916
72,Pop Music,26.334779302194256
73,Classical Music,20.23331749727315
74,No Music,26.77156646201009
75,Classical Music,23.439926628231305
76,Pop Music,20.62380178548177
77,Pop Music,22.63852915180493
78,Pop Music,21.392303656043584
79,No Music,24.242273647599493
80,Pop Music,19.60114795684113
