Bill,Tip,Credit,Guests,Day,Server,PctTip,HadCoffee
23.7,10,n,2,f,A,42.2,2
31.99,5.01,y,2,f,A,15.7,1
17.39,3.61,y,2,f,B,20.8,1
15.41,3,n,2,f,B,19.5,1
18.62,2.5,n,2,f,A,13.4,1
21.56,3.44,n,2,f,B,16,1
19.58,2.42,n,2,f,A,12.4,2
23.59,3,n,2,f,A,12.7,2
18.67,2,n,2,f,B,10.7,1
8.83,1.25,n,2,f,B,14.2,2
8.88,1.12,n,2,f,B,12.6,1
18.4,2.6,n,2,f,C,14.1,2
29.05,5.91,y,2,th,C,20.3,2
25.09,5,y,2,th,C,19.9,1
36.86,6.14,y,2,th,B,16.7,2
22.68,3.55,n,2,th,A,15.7,1
18.62,3.11,n,2,th,A,16.7,2
31.35,4.5,n,2,th,A,14.4,2
39.8,6.3,y,2,th,C,15.8,2
12.54,2,n,2,th,B,15.9,2
13.38,2,n,2,th,B,14.9,2
16.53,2.47,n,2,th,A,14.9,2
16.85,3,n,2,th,B,17.8,2
15.73,5,n,2,th,B,31.8,2
18.14,2.75,n,2,th,A,15.2,2
17.44,3.7,n,2,w,A,21.2,1
19.69,2.31,n,2,w,B,11.7,2
22.26,3.74,y,2,w,B,16.8,1
20.33,4,n,2,w,B,19.7,1
20.87,3.13,y,2,w,B,15,2
17.39,3.61,n,2,w,A,20.8,2
7.97,1.03,n,2,w,C,12.9,2
32.31,4.69,n,2,w,A,14.5,2
23.43,4,n,2,w,C,17.1,2
38.73,5.7,n,2,w,A,14.7,2
70.51,10.49,y,2,w,A,14.9,1
23.27,3.73,n,2,w,B,16,2
25.95,4.05,y,2,th,B,15.6,2
29.64,6,n,2,th,A,20.2,0
8.29,1,y,2,th,A,12.1,1
34.94,6.96,y,2,th,A,19.9,2
53.54,9,y,2,t,A,16.8,1
22.47,4,y,2,th,A,17.8,2
37.24,6.7,y,2,f,A,18,1
23.65,3.15,n,2,f,C,13.3,2
28.89,3.46,n,2,f,A,12,2
21.24,3.62,n,2,f,A,17,1
20.22,2,n,2,f,C,9.9,2
22.36,3,n,2,f,C,13.4,2
27.98,5.42,n,2,f,C,19.4,1
22.95,4.05,y,2,f,C,17.6,2
17.71,2.3,n,2,th,A,13,2
37.34,5.96,y,2,w,C,16,1
36.27,7,y,2,w,A,19.3,2
42.96,7.04,y,2,w,C,16.4,2
23.38,4,n,2,th,B,17.1,2
21.03,3,n,2,w,B,14.3,2
26.8,2.2,n,2,w,B,8.2,1
18.73,2.27,n,2,th,B,12.1,2
50.24,9.76,y,2,w,C,19.4,1
12.31,1.9,n,2,w,B,15.4,1
28.84,5.16,n,2,w,B,17.9,2
19.42,3,n,2,w,B,15.4,2
18.62,3.35,y,2,t,A,18,2
25.63,5,n,2,w,B,19.5,2
39.75,7.25,y,2,w,A,18.2,1
11.18,2,y,2,t,A,17.9,2
18.83,2.8,n,2,m,B,14.9,2
17.82,2.75,n,2,m,B,15.4,2
23.97,4,n,2,m,B,16.7,1
27.66,4.16,y,2,t,C,15,2
19.53,8,n,2,t,A,41,1
11.18,1.82,y,2,t,A,16.3,2
18.67,3.33,y,2,t,A,17.8,1
20.22,4.37,n,2,w,A,21.6,2
17.82,3.18,y,2,w,C,17.8,2
18.62,2.38,y,2,w,C,12.8,2
3.26,0.74,n,2,w,C,22.7,2
23.91,4,n,2,w,A,16.7,2
15.25,2.75,y,2,w,A,18,1
17.44,2,n,2,w,A,11.5,1
14.34,2,n,2,w,B,13.9,2
30.6,5,y,2,w,B,16.3,2
18.08,2,n,2,w,A,11.1,2
16.48,3,n,2,m,B,18.2,2
24.5,3.5,y,2,t,A,14.3,1
17.12,3.72,n,2,t,A,21.7,2
16.26,2.43,n,2,w,B,14.9,2
18.4,2.75,n,2,m,B,14.9,2
16.8,2.2,y,2,m,B,13.1,1
3.75,0.25,n,2,m,B,6.7,2
32.69,5,n,2,m,B,15.3,1
14.23,2.15,n,2,w,B,15.1,2
29.85,4.15,y,2,w,A,13.9,2
20.76,3,n,2,m,B,14.5,2
24.82,4.4,n,2,m,B,17.7,2
15.62,2.81,n,2,th,B,18,2
14.87,3.13,n,2,m,B,21,2
17.12,2.5,n,2,m,B,14.6,2
