schoolid,ppt,age,interv,ABS
Blue River High School,1,12,1,47.5373963626071
Blue River High School,1,13,1,47.4240975734221
Blue River High School,1,14,1,52.9888195454776
Blue River High School,1,15,1,70.7420768509318
Blue River High School,1,16,1,66.2720974722121
Blue River High School,1,17,1,NA
Blue River High School,1,18,1,NA
Blue River High School,1,19,1,NA
Blue River High School,2,12,1,49.9723487161517
Blue River High School,2,13,1,49.0396808218263
Blue River High School,2,14,1,52.3997699319099
Blue River High School,2,15,1,53.0277049826773
Blue River High School,2,16,1,50.7256806407357
Blue River High School,2,17,1,60.2761955502163
Blue River High School,2,18,1,NA
Blue River High School,2,19,1,NA
Blue River High School,3,12,1,45.9020445014411
Blue River High School,3,13,1,52.4147925427177
Blue River High School,3,14,1,56.2813446542756
Blue River High School,3,15,1,46.4667613873293
Blue River High School,3,16,1,64.065261528647
Blue River High School,3,17,1,NA
Blue River High School,3,18,1,NA
Blue River High School,3,19,1,NA
Blue River High School,4,12,1,43.4359071480578
Blue River High School,4,13,1,56.5313576042355
Blue River High School,4,14,1,55.6604244563353
Blue River High School,4,15,1,50.5623707747894
Blue River High School,4,16,1,52.4390611606381
Blue River High School,4,17,1,48.3621235239758
Blue River High School,4,18,1,NA
Blue River High School,4,19,1,NA
Blue River High School,5,12,1,51.3772805427472
Blue River High School,5,13,1,59.7526894658565
Blue River High School,5,14,1,59.1415153490353
Blue River High School,5,15,1,70.6294448165616
Blue River High School,5,16,1,61.6483872552673
Blue River High School,5,17,1,69.5008721759577
Blue River High School,5,18,1,NA
Blue River High School,5,19,1,NA
Blue River High School,6,12,1,49.9701152719264
Blue River High School,6,13,1,44.8861326770072
Blue River High School,6,14,1,57.3092254642018
Blue River High School,6,15,1,53.6950601617072
Blue River High School,6,16,1,NA
Blue River High School,6,17,1,NA
Blue River High School,6,18,1,NA
Blue River High School,6,19,1,NA
Blue River High School,7,12,1,59.9949682312829
Blue River High School,7,13,1,45.663867891276396
Blue River High School,7,14,1,55.9582844075828
Blue River High School,7,15,1,58.6711679989347
Blue River High School,7,16,1,NA
Blue River High School,7,17,1,NA
Blue River High School,7,18,1,NA
Blue River High School,7,19,1,NA
Blue River High School,8,12,1,66.8931410091065
Blue River High School,8,13,1,57.1554617053203
Blue River High School,8,14,1,64.0741775897865
Blue River High School,8,15,1,75.0455065239499
Blue River High School,8,16,1,71.9811218485211
Blue River High School,8,17,1,NA
Blue River High School,8,18,1,NA
Blue River High School,8,19,1,NA
Blue River High School,9,12,1,39.3981157609445
Blue River High School,9,13,1,44.9978034953337
Blue River High School,9,14,1,57.1476103273717
Blue River High School,9,15,1,53.9059238608502
Blue River High School,9,16,1,46.8529419323486
Blue River High School,9,17,1,29.8269190121136
Blue River High School,9,18,1,NA
Blue River High School,9,19,1,NA
Blue River High School,10,12,1,57.1287223552166
Blue River High School,10,13,1,49.3377423556659
Blue River High School,10,14,1,60.358284714523
Blue River High School,10,15,1,45.7257050124449
Blue River High School,10,16,1,NA
Blue River High School,10,17,1,NA
Blue River High School,10,18,1,NA
Blue River High School,10,19,1,NA
South Fork Conservatory,1,12,0,56.0047029921777
South Fork Conservatory,1,13,0,70.8231057466797
South Fork Conservatory,1,14,0,60.290364843141
South Fork Conservatory,1,15,0,51.7366206020916
South Fork Conservatory,1,16,0,74.7268808891553
South Fork Conservatory,1,17,0,NA
South Fork Conservatory,1,18,0,NA
South Fork Conservatory,1,19,0,NA
South Fork Conservatory,2,12,0,41.0829121472047
South Fork Conservatory,2,13,0,46.8956207723036
South Fork Conservatory,2,14,0,54.4571703776284
South Fork Conservatory,2,15,0,52.845216044188
South Fork Conservatory,2,16,0,NA
South Fork Conservatory,2,17,0,NA
South Fork Conservatory,2,18,0,NA
South Fork Conservatory,2,19,0,NA
South Fork Conservatory,3,12,0,41.4297874308937
South Fork Conservatory,3,13,0,40.9567346951078
South Fork Conservatory,3,14,0,47.9067743036927
South Fork Conservatory,3,15,0,43.0149141830416
South Fork Conservatory,3,16,0,50.8478449898366
South Fork Conservatory,3,17,0,NA
South Fork Conservatory,3,18,0,NA
South Fork Conservatory,3,19,0,NA
South Fork Conservatory,4,12,0,60.1096136066036
South Fork Conservatory,4,13,0,51.6495840815551
South Fork Conservatory,4,14,0,40.0229475768934
South Fork Conservatory,4,15,0,54.4488474273145
South Fork Conservatory,4,16,0,39.047375892513
South Fork Conservatory,4,17,0,43.086972037962
South Fork Conservatory,4,18,0,NA
