monkey,day,age,time,total
0,1,29,88,495
0,2,29,89,1003
88,1,29,120,2642
88,2,29,90,524
636,1,28,30,199
636,2,28,50,282
760,1,30,46,363
760,2,30,56,445
1257,1,27,43,96
1257,2,27,119,495
1607,1,27,94,833
1607,2,27,76,2049
1632,1,27,46,428
1632,2,27,45,399
1860,1,26,88,353
1860,2,26,80,215
1869,1,26,120,726
1869,2,26,99,1435
2191,1,26,107,832
2191,2,26,74,557
2637,1,25,27,188
2637,2,25,89,614
2747,1,25,117,2212
2747,2,25,118,1287
2833,1,25,43,266
2833,2,25,85,835
2912,1,25,93,403
2912,2,25,105,866
3536,1,24,57,389
3536,2,24,49,310
3545,1,24,31,65
3545,2,24,59,803
3696,1,24,3,0
3696,2,24,3,0
4009,1,23,47,148
4009,2,23,92,1801
4392,1,23,2,0
4392,2,23,105,209
4624,1,22,-1,0
4624,2,22,74,729
4686,1,22,43,392
4686,2,22,74,675
4776,1,22,101,390
4776,2,22,97,889
4795,1,22,94,469
4795,2,22,42,213
4886,1,22,59,90
4886,2,22,44,281
4964,1,22,92,507
4964,2,22,90,1092
5252,1,21,91,537
5252,2,21,120,1100
5332,1,21,-0,0
5332,2,21,64,370
5388,1,21,74,718
5388,2,21,95,690
5413,1,21,115,897
5413,2,21,120,579
5453,1,21,60,671
5453,2,21,76,1221
5498,1,21,1,0
5498,2,21,58,198
5604,1,21,-1,0
5604,2,21,72,205
5607,1,21,57,617
5607,2,21,31,164
5646,1,21,31,66
5646,2,21,45,303
5774,1,21,48,187
5774,2,21,96,928
5895,1,20,74,168
5895,2,20,68,207
5967,1,20,33,131
5967,2,20,28,65
5990,1,20,28,32
5990,2,20,93,400
6008,1,20,44,107
6008,2,20,11,92
6098,1,20,46,143
6098,2,20,75,281
6159,1,20,60,237
6159,2,20,106,485
6258,1,20,89,676
6258,2,20,62,304
6264,1,20,74,565
6264,2,20,76,426
6287,1,20,33,405
6287,2,20,46,454
6505,1,19,44,117
6505,2,19,78,1317
6512,1,19,48,108
6512,2,19,120,722
6516,1,19,106,1132
6516,2,19,43,318
6807,1,19,49,384
6807,2,19,73,362
6877,1,19,67,471
6877,2,19,35,116
6930,1,19,14,87
6930,2,19,57,754
7261,1,18,13,36
7261,2,18,46,316
7289,1,18,89,796
7289,2,18,119,1766
7307,1,18,87,1027
7307,2,18,105,777
7321,1,18,88,213
7321,2,18,40,42
7333,1,18,74,363
7333,2,18,93,1160
7451,1,18,73,324
7451,2,18,32,120
7588,1,20,10,179
7588,2,20,45,758
7598,1,19,62,256
7598,2,19,1,0
7600,1,19,0,0
7600,2,19,-2,0
7623,1,18,72,435
7623,2,18,42,225
7707,1,18,30,174
7707,2,18,42,68
7721,1,18,29,453
7721,2,18,59,240
7828,1,18,6,0
7828,2,18,88,1422
7942,1,19,76,600
7942,2,19,105,893
7992,1,17,57,498
7992,2,17,120,1677
8053,1,17,79,509
8053,2,17,91,497
8094,1,17,30,180
8094,2,17,74,3171
8103,1,17,24,92
8103,2,17,63,143
8179,1,17,56,437
8179,2,17,92,930
8183,1,17,6,0
8183,2,17,11,16
8338,1,17,47,213
8338,2,17,29,70
8340,1,17,85,704
8340,2,17,70,554
8343,1,17,100,752
8343,2,17,43,370
8371,1,17,86,949
8371,2,17,107,1118
8544,1,17,51,130
8544,2,17,56,563
8611,1,17,17,59
8611,2,17,107,1077
8729,1,18,61,635
8729,2,18,72,385
8834,1,16,45,417
8834,2,16,29,532
8873,1,16,107,1083
8873,2,16,89,1569
8956,1,16,93,454
8956,2,16,59,502
8963,1,16,93,377
8963,2,16,42,635
9009,1,16,71,1295
9009,2,16,25,333
9014,1,16,59,307
9014,2,16,46,560
9023,1,16,32,32
9023,2,16,44,103
9117,1,16,17,36
9117,2,16,31,87
9344,1,16,89,647
