"stakes","condition","hrv","hr_abv","sub","throw","trial_no","success_rate"
13,"money",5.46789419892734,1,"1",1,1,1
17,"money",6.68847553522064,1,"1",1,2,1
7,"money",2.71693599782552,1,"1",1,3,1
1,"money",4.95458846582197,1,"1",1,4,1
2,"money",5.9561606466137,1,"1",1,5,1
8,"money",4.93122901464778,1,"1",1,6,1
20,"money",4.62363006948239,1,"1",1,7,1
5,"money",4.70312388889984,1,"1",1,8,1
14,"money",5.78315540209734,1,"1",1,9,1
4,"money",3.06596377650625,1,"1",1,10,1
16,"money",5.45452596483167,1,"1",0,11,0.909090909090909
3,"money",3.62178520556739,1,"1",0,12,0.833333333333333
18,"money",5.32113301786811,1,"1",1,13,0.846153846153846
12,"money",4.15644262233817,1,"1",0,14,0.785714285714286
11,"money",5.8208382066059,1,"1",1,15,0.8
10,"money",4.28117434225999,1,"1",1,16,0.8125
15,"money",5.42015374325816,1,"1",1,17,0.823529411764706
6,"money",5.03029345279062,1,"1",1,18,0.833333333333333
19,"money",4.95671132378512,1,"1",0,19,0.789473684210526
9,"money",5.91951466232984,1,"1",1,20,0.8
15,"money",4.60385195498707,1,"2",1,1,1
20,"money",6.46486903279166,1,"2",1,2,1
2,"money",3.76977438798604,1,"2",0,3,0.666666666666667
7,"money",4.79620262078,1,"2",1,4,0.75
12,"money",6.33131437370664,1,"2",1,5,0.8
13,"money",5.15330480123069,1,"2",1,6,0.833333333333333
10,"money",5.04432331774566,1,"2",1,7,0.857142857142857
4,"money",5.70478455749268,1,"2",1,8,0.875
1,"money",4.65543893378357,1,"2",0,9,0.777777777777778
18,"money",6.47619811314015,1,"2",1,10,0.8
6,"money",4.58606780862225,1,"2",1,11,0.818181818181818
16,"money",6.21499514716554,1,"2",0,12,0.75
5,"money",7.4282032898534,1,"2",1,13,0.769230769230769
3,"money",5.38937065599749,1,"2",1,14,0.785714285714286
14,"money",5.52777257321725,1,"2",1,15,0.8
8,"money",5.01922241482554,1,"2",1,16,0.8125
11,"money",4.24538669296132,1,"2",1,17,0.823529411764706
9,"money",5.29959738419213,1,"2",1,18,0.833333333333333
17,"money",5.37062403252353,1,"2",1,19,0.842105263157895
19,"money",5.13027698511828,1,"2",1,20,0.85
2,"money",5.14498388643789,1,"3",1,1,1
11,"money",5.98109565166768,1,"3",1,2,1
5,"money",4.30499366120635,1,"3",1,3,1
8,"money",4.4023598588508,1,"3",1,4,1
9,"money",4.97240782795993,1,"3",1,5,1
19,"money",5.16043763795842,1,"3",1,6,1
1,"money",4.70976482300921,1,"3",1,7,1
14,"money",4.60182578375653,1,"3",1,8,1
6,"money",5.9433348140021,1,"3",1,9,1
18,"money",5.16466307492878,1,"3",1,10,1
7,"money",5.31581872837553,1,"3",1,11,1
16,"money",5.92173089833811,1,"3",1,12,1
4,"money",5.23659694900096,1,"3",1,13,1
20,"money",6.17081879058378,1,"3",0,14,0.928571428571429
12,"money",5.26263832658263,1,"3",1,15,0.933333333333333
13,"money",6.24960540435833,1,"3",1,16,0.9375
10,"money",7.65459634053781,1,"3",1,17,0.941176470588235
3,"money",5.45545543080494,1,"3",1,18,0.944444444444444
17,"money",4.79857465182668,1,"3",1,19,0.947368421052632
15,"money",5.45554449687181,1,"3",1,20,0.95
20,"money",5.85086503480066,1,"4",1,1,1
1,"money",3.73895484281648,1,"4",1,2,1
14,"money",3.3964408424601,1,"4",0,3,0.666666666666667
2,"money",4.96702155081417,1,"4",1,4,0.75
