sub,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20
1,5.467894199,6.688475535,2.716935998,4.954588466,5.956160647,4.931229015,4.623630069,4.703123889,5.783155402,3.065963777,5.454525965,3.621785206,5.321133018,4.156442622,5.820838207,4.281174342,5.420153743,5.030293453,4.956711324,5.919514662
2,4.603851955,6.464869033,3.769774388,4.796202621,6.331314374,5.153304801,5.044323318,5.704784557,4.655438934,6.476198113,4.586067809,6.214995147,7.42820329,5.389370656,5.527772573,5.019222415,4.245386693,5.299597384,5.370624033,5.130276985
3,5.144983886,5.981095652,4.304993661,4.402359859,4.972407828,5.160437638,4.709764823,4.601825784,5.943334814,5.164663075,5.315818728,5.921730898,5.236596949,6.170818791,5.262638327,6.249605404,7.654596341,5.455455431,4.798574652,5.455544497
4,5.850865035,3.738954843,3.396440842,4.967021551,6.456235501,3.870501153,5.135287549,6.261732803,3.596993804,6.626920123,5.648758444,4.739702754,6.535760819,5.6808925,5.338194509,5.031819392,5.04240909,5.712040861,4.511128932,5.091188445
5,7.460419799,5.834101935,4.830152994,6.264977222,3.52201265,5.917762536,4.239480148,4.389247605,5.747842313,1.776957172,8.901514297,2.575453494,4.004172843,6.367665903,1.330552712,4.146957829,6.616030214,1.65904481,4.755355067,8.311139524
6,3.530514739,2.887363719,2.072878267,2.199604366,3.923588962,4.452099316,3.193964032,5.204450244,3.810410604,2.663201053,2.718209753,3.401801305,3.148947923,3.415616424,3.712867814,2.092658116,2.14109173,3.92139739,4.237446515,2.561917785
7,4.762405204,4.570995192,3.373284844,5.770649563,3.086568363,4.971954205,3.897506381,4.227046444,5.306490361,4.911722607,3.814497798,4.116345895,2.54649153,4.988006483,3.843094784,4.46034235,4.728249433,4.483649935,3.672163001,4.231218999
8,4.792290885,2.644447203,4.496001772,4.649233612,4.431447476,4.283882092,3.260710511,3.808407844,4.913905576,5.224330629,3.910063386,4.218503396,6.111325829,4.956572786,3.729301968,6.205745081,4.824288338,2.839927784,4.423834289,1.423830086
9,2.736362923,3.850523706,5.327288417,4.350973616,3.262420329,4.006367306,5.882001928,4.687183306,1.58610595,4.353332267,1.490568565,5.325411224,3.783640699,5.047935928,3.3408936,3.395835216,5.878336576,4.76035347,5.708759682,3.257060688
10,3.488183351,3.492363291,5.889131613,3.93635851,6.090063569,4.564036432,3.88014744,3.9066555,4.310694181,5.559470486,2.530962011,3.900003415,3.515224213,5.215698908,3.303113251,4.080177279,3.46122517,3.911630238,4.035292496,3.566959906
