"pond","tyoe","self_esteem","fish_weight"
"pond_1",1,2.78,41
"pond_1",1,3.15,48
"pond_1",1,2.53,32
"pond_1",1,2.94,44
"pond_1",1,2.8,42
"pond_1",1,2.49,35
"pond_1",1,1.83,24
"pond_1",1,2.76,41
"pond_1",1,2.55,35
"pond_1",1,2.61,36
"pond_1",1,2.68,38
"pond_1",1,3.18,49
"pond_1",1,1.68,22
"pond_1",1,2.66,38
"pond_1",1,3.52,56
"pond_2",4,3.56,38
"pond_2",4,3.05,25
"pond_2",4,3.43,40
"pond_2",4,3.2,30
"pond_2",4,3.35,37
"pond_2",4,3.09,23
"pond_2",4,3.38,36
"pond_2",4,3.25,28
"pond_2",4,3.61,47
"pond_2",4,3.1,19
"pond_2",4,3.47,35
"pond_3",3,2.22,21
"pond_3",3,2.35,27
"pond_3",3,3.16,40
"pond_3",3,4,53
"pond_3",3,2.61,32
"pond_3",3,3.82,52
"pond_3",3,3.53,48
"pond_3",3,3.32,43
"pond_3",3,3.9,53
"pond_3",3,2.29,26
"pond_3",3,2.18,23
"pond_4",1,2.93,32
"pond_4",1,3.34,39
"pond_4",1,2.85,33
"pond_4",1,2.97,35
"pond_4",1,2.44,22
"pond_4",1,2.57,26
"pond_4",1,2.8,30
"pond_4",1,2.55,26
"pond_4",1,2.63,22
"pond_4",1,2.68,27
"pond_4",1,2.77,30
"pond_4",1,2.89,33
"pond_4",1,3.25,38
"pond_4",1,3.35,42
"pond_4",1,2.2,19
"pond_4",1,3.26,38
"pond_4",1,2.95,33
"pond_5",3,3.66,29
"pond_5",3,2.97,9
"pond_5",3,3.16,10
"pond_5",3,3.61,31
"pond_5",3,2.95,10
"pond_5",3,2.94,6
"pond_5",3,4.26,48
"pond_5",3,3.48,22
"pond_5",3,3.45,26
"pond_5",3,3.65,30
"pond_5",3,3.64,28
"pond_5",3,3.28,18
"pond_5",3,3.21,18
"pond_5",3,3.5,21
"pond_5",3,3.45,23
"pond_5",3,3.61,26
"pond_5",3,3.62,30
"pond_5",3,3.53,27
"pond_6",3,3.59,20
"pond_6",3,3.21,12
"pond_6",3,4.32,33
"pond_6",3,3.66,20
"pond_6",3,4.32,34
"pond_6",3,3.45,17
"pond_6",3,3.1,9
"pond_6",3,3.81,24
"pond_6",3,3.64,21
"pond_6",3,3.92,27
"pond_6",3,4.09,32
"pond_6",3,3.06,8
"pond_6",3,3.87,23
"pond_6",3,3.06,11
"pond_6",3,3.78,24
"pond_6",3,4.23,32
"pond_6",3,3.78,23
"pond_6",3,3.63,20
"pond_7",4,2.06,37
"pond_7",4,1.51,29
"pond_7",4,2.22,41
"pond_7",4,1.92,36
"pond_7",4,2.47,47
"pond_7",4,1.82,34
"pond_7",4,1.42,29
"pond_7",4,2.37,45
"pond_7",4,1.99,36
"pond_7",4,2.55,49
"pond_7",4,2.48,46
"pond_7",4,2.45,48
"pond_7",4,1.39,26
"pond_7",4,3.23,63
"pond_7",4,2.43,48
"pond_7",4,2.45,48
"pond_7",4,2.34,44
"pond_7",4,2.04,40
"pond_7",4,2.28,42
"pond_8",4,3.13,21
"pond_8",4,2.46,5
"pond_8",4,2.91,17
"pond_8",4,3.21,28
"pond_8",4,3.65,39
"pond_8",4,2.9,19
"pond_8",4,3.04,20
"pond_8",4,3.22,28
"pond_8",4,3.16,24
"pond_8",4,2.78,14
"pond_8",4,3.59,34
"pond_8",4,2.82,19
"pond_8",4,3.81,42
"pond_8",4,3.74,41
"pond_8",4,3.09,23
"pond_8",4,3.22,28
"pond_8",4,3.28,32
"pond_8",4,3.06,19
"pond_9",3,3.25,24
"pond_9",3,3.39,26
"pond_9",3,3.61,28
"pond_9",3,3.14,24
"pond_9",3,3.64,28
"pond_9",3,3,21
"pond_9",3,3,20
"pond_9",3,2.95,21
"pond_9",3,3.6,29
"pond_9",3,3.39,26
"pond_9",3,3.95,34
"pond_10",4,2.65,45
"pond_10",4,2.62,45
"pond_10",4,2.38,21
"pond_10",4,2.58,38
"pond_10",4,2.43,30
"pond_10",4,2.52,28
"pond_10",4,2.52,31
"pond_10",4,2.41,23
"pond_10",4,2.54,34
"pond_10",4,2.45,40
"pond_10",4,2.54,31
"pond_10",4,2.74,45
"pond_10",4,2.47,36
"pond_10",4,2.61,41
"pond_10",4,2.57,37
"pond_10",4,2.49,34
"pond_10",4,2.73,50
"pond_10",4,2.37,24
