t1_q1,t1_q2,t1_q3,t1_q4,t1_q5,t1_q6,task,t2_q1,t2_q2,t2_q3,t2_q4,t2_q5,t2_q6
Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Strongly Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,nothing,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree
Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,Agree,nothing,Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,nothing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree
Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree,nothing,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree
Agree,Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree
Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,Disagree,nothing,Neither Disagree nor Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree
Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,nothing,Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree
