"wpm","condition"
109.43,"control"
113.83,"control"
113.22,"control"
110.46,"control"
116.23,"control"
113.12,"control"
111.2,"control"
110.82,"control"
111.43,"control"
111.72,"control"
116.24,"coffee"
117.16,"coffee"
115.55,"coffee"
115.18,"coffee"
112.07,"coffee"
115.76,"coffee"
112.36,"coffee"
112.59,"coffee"
113.01,"coffee"
114.89,"coffee"
117.15,"red_bull"
116.03,"red_bull"
115.66,"red_bull"
118.02,"red_bull"
118.94,"red_bull"
115.62,"red_bull"
113,"red_bull"
120.24,"red_bull"
117.46,"red_bull"
114.4,"red_bull"
111.21,"mint_tea"
109.93,"mint_tea"
112.56,"mint_tea"
107.94,"mint_tea"
115.82,"mint_tea"
111.45,"mint_tea"
110.04,"mint_tea"
110.67,"mint_tea"
109.37,"mint_tea"
111.92,"mint_tea"
