chimp,age,enclosure,aggression
chimp-a,21,S,6.775327515838576
chimp-b,14,S,9.314909169596566
chimp-c,26,L,8.366106917553928
chimp-d,13,S,9.61271377784151
chimp-e,23,L,8.07392287334533
chimp-f,19,S,7.344254518055969
chimp-g,16,S,9.127760294263627
chimp-h,19,S,8.020007714391465
chimp-i,26,L,7.242946865827095
chimp-j,26,L,8.35865188027863
chimp-k,17,S,8.726893931499873
chimp-l,26,L,8.358059550638059
chimp-m,25,L,7.437372151010342
chimp-n,24,L,9.682421595201792
chimp-o,20,S,8.31225013004746
chimp-p,16,S,8.332894986520555
chimp-q,17,S,6.126608067084801
chimp-r,28,L,6.873566118042578
chimp-s,17,S,7.717508933106011
chimp-t,27,L,6.212347043344289
chimp-u,26,L,7.806866621036159
chimp-v,25,L,7.633483092262418
chimp-w,19,S,5.729415995151701
chimp-x,27,L,6.354255291459372
chimp-y,22,S,6.384780486896036
chimp-z,15,S,10.474674479705847
