age,payment,attended,class
27,monthly,0,circuits (short)
24,monthly,0,circuits (short)
15,monthly,0,circuits (short)
21,monthly,1,circuits (short)
28,monthly,1,circuits (short)
33,monthly,0,circuits (short)
26,monthly,0,circuits (short)
17,single,1,circuits (short)
33,monthly,0,circuits (short)
25,monthly,1,circuits (short)
19,single,1,boxing
21,single,1,boxing
27,monthly,1,boxing
29,monthly,0,boxing
30,single,1,boxing
27,monthly,1,boxing
32,monthly,0,boxing
24,monthly,1,boxing
23,monthly,1,boxing
13,monthly,0,boxing
22,monthly,1,flow yoga
31,single,1,flow yoga
23,monthly,0,flow yoga
29,monthly,1,flow yoga
27,single,1,flow yoga
22,monthly,0,flow yoga
24,single,1,flow yoga
20,monthly,1,flow yoga
25,monthly,1,flow yoga
31,monthly,0,flow yoga
24,monthly,0,kickboxing
30,single,0,kickboxing
27,monthly,0,kickboxing
31,single,1,kickboxing
32,single,0,kickboxing
25,monthly,0,kickboxing
30,single,1,kickboxing
34,single,0,kickboxing
30,monthly,0,kickboxing
23,single,0,kickboxing
17,monthly,1,stretching for cyclists
33,monthly,0,stretching for cyclists
18,monthly,0,stretching for cyclists
24,single,0,stretching for cyclists
23,single,1,stretching for cyclists
22,monthly,0,stretching for cyclists
23,monthly,0,stretching for cyclists
25,monthly,0,stretching for cyclists
20,single,0,stretching for cyclists
24,monthly,0,stretching for cyclists
20,monthly,1,capoeira
24,single,0,capoeira
20,single,1,capoeira
24,monthly,0,capoeira
29,monthly,1,capoeira
15,monthly,0,capoeira
24,single,0,capoeira
29,monthly,0,capoeira
26,monthly,0,capoeira
31,monthly,0,capoeira
28,monthly,0,aerobics
28,monthly,1,aerobics
27,monthly,0,aerobics
20,monthly,1,aerobics
19,single,1,aerobics
28,monthly,0,aerobics
32,single,0,aerobics
21,single,1,aerobics
21,monthly,1,aerobics
23,single,1,aerobics
28,monthly,0,yoga
27,monthly,1,yoga
24,monthly,1,yoga
19,monthly,0,yoga
33,single,0,yoga
23,monthly,0,yoga
29,single,0,yoga
33,monthly,1,yoga
21,monthly,0,yoga
30,monthly,1,yoga
25,single,0,circuits with eric
33,single,0,circuits with eric
32,single,0,circuits with eric
27,single,1,circuits with eric
22,monthly,0,circuits with eric
26,monthly,0,circuits with eric
26,single,0,circuits with eric
24,single,0,circuits with eric
22,monthly,0,circuits with eric
18,single,0,circuits with eric
28,monthly,0,water aerobics
28,monthly,0,water aerobics
25,monthly,1,water aerobics
20,single,1,water aerobics
33,monthly,0,water aerobics
31,single,1,water aerobics
22,monthly,0,water aerobics
28,monthly,1,water aerobics
23,monthly,0,water aerobics
26,monthly,1,water aerobics
29,monthly,1,pilates
30,single,1,pilates
28,monthly,1,pilates
23,monthly,1,pilates
21,monthly,0,pilates
19,single,0,pilates
35,monthly,1,pilates
29,single,1,pilates
28,monthly,1,pilates
24,monthly,0,pilates
30,monthly,0,yoga with eric
23,monthly,1,yoga with eric
25,single,0,yoga with eric
23,single,1,yoga with eric
20,monthly,0,yoga with eric
23,monthly,0,yoga with eric
35,monthly,0,yoga with eric
27,monthly,0,yoga with eric
29,monthly,0,yoga with eric
31,single,1,yoga with eric
25,monthly,0,hulahooping
29,monthly,0,hulahooping
32,monthly,0,hulahooping
19,monthly,1,hulahooping
31,monthly,0,hulahooping
23,monthly,0,hulahooping
26,monthly,0,hulahooping
22,single,1,hulahooping
28,single,0,hulahooping
34,monthly,1,hulahooping
27,monthly,1,crossfit (short)
22,monthly,0,crossfit (short)
37,monthly,1,crossfit (short)
26,monthly,0,crossfit (short)
27,single,0,crossfit (short)
25,monthly,0,crossfit (short)
26,monthly,0,crossfit (short)
18,single,0,crossfit (short)
21,single,1,crossfit (short)
29,monthly,1,crossfit (short)
18,monthly,1,olympic lifting
33,monthly,1,olympic lifting
27,monthly,0,olympic lifting
25,monthly,0,olympic lifting
28,monthly,0,olympic lifting
29,monthly,1,olympic lifting
19,single,0,olympic lifting
23,monthly,0,olympic lifting
26,monthly,0,olympic lifting
24,single,0,olympic lifting
26,monthly,0,zumba
27,monthly,1,zumba
26,monthly,1,zumba
31,monthly,0,zumba
24,single,0,zumba
31,monthly,1,zumba
24,monthly,1,zumba
20,monthly,1,zumba
21,monthly,1,zumba
28,monthly,1,zumba
33,monthly,0,muay thai
25,single,0,muay thai
29,monthly,1,muay thai
23,monthly,1,muay thai
23,single,1,muay thai
26,monthly,1,muay thai
29,monthly,0,muay thai
22,monthly,0,muay thai
26,single,0,muay thai
31,monthly,0,muay thai
22,monthly,0,gymnastics
20,monthly,0,gymnastics
25,single,1,gymnastics
25,single,0,gymnastics
27,single,1,gymnastics
27,monthly,0,gymnastics
30,monthly,0,gymnastics
27,monthly,1,gymnastics
20,single,0,gymnastics
23,monthly,1,gymnastics
20,monthly,1,power yoga
19,single,0,power yoga
