ID,Acad,Teach_r,Non_agg,Agg
1,83.2,23,18,14
2,57.7,24,19,18
3,59,18,17,18
4,67.8,19,16,16
5,56.3,28,18,14
6,75.5,35,8,10
7,58.3,23,16,16
8,61.2,22,20,15
9,66,23,16,15
10,71,35,14,12
11,80.4,25,17,16
12,31.8,19,17,20
13,58.3,22,14,16
14,51.7,25,15,14
15,56.5,24,18,16
16,56.2,20,16,15
17,40.3,20,17,17
18,76.9,25,16,15
19,48.7,20,12,15
20,71.5,27,14,10
21,60,19,18,18
22,68.3,24,14,14
23,44.6,21,16,20
24,57.2,29,11,11
25,51.4,25,14,16
26,75.4,28,16,15
27,68.2,28,14,12
28,58.9,25,13,13
29,69.6,15,16,17
30,67.1,22,16,17
31,36.8,24,19,13
32,66.5,26,17,11
33,58.4,18,17,20
34,66.2,25,15,14
35,82,24,13,12
36,50.6,15,17,18
37,55.6,19,20,16
38,80.6,29,17,15
39,46.2,24,14,15
40,49.3,22,15,14
41,70.5,26,13,16
42,59.3,29,15,16
43,54.8,20,18,15
44,40.3,20,18,18
45,49.8,22,12,10
46,61.8,24,18,20
47,73.5,22,18,17
48,55.3,26,14,14
49,20.1,24,16,16
50,36.3,24,16,14
51,48.4,25,15,14
52,52.5,23,14,14
53,61.4,20,17,17
54,31.4,25,20,13
55,57.6,27,11,13
56,62.8,32,13,12
57,54.2,20,19,18
58,49.5,21,18,18
59,38.5,20,18,18
60,62.9,32,11,10
61,56.2,24,19,18
62,71.7,23,15,18
63,60.8,26,13,14
64,45,25,15,15
65,46,15,22,21
66,59.3,22,19,16
67,52.5,27,16,15
68,52.7,17,18,22
69,80.3,32,9,9
70,35,16,21,22
71,49.7,23,16,18
72,68.5,29,15,13
73,66.3,25,14,18
74,64.1,27,11,12
75,56.2,21,20,16
76,56,24,10,15
77,50.1,18,17,18
78,54.8,28,14,17
79,54.8,24,18,17
80,50.2,16,18,18
81,60.7,26,18,17
82,70.9,26,14,11
83,49.7,13,22,21
84,63,31,14,15
85,59.8,26,15,14
86,71.3,31,13,12
87,29.5,14,19,21
88,65.7,25,12,9
89,47.8,19,15,16
90,57.3,24,16,11
91,59.4,24,16,14
92,34.6,19,19,20
93,58.4,25,16,17
94,58.1,24,14,15
95,33.9,16,23,18
96,59.8,26,16,11
97,52.1,31,13,15
98,60.6,17,18,17
99,59.8,23,16,14
100,24.4,18,18,18
101,49.5,25,15,13
102,50.9,23,15,16
103,58.8,21,17,15
104,64,21,12,15
105,70.1,19,18,17
106,77.7,26,11,10
107,49.9,17,16,20
108,63.6,20,19,13
109,48,21,14,15
110,44,23,18,20
111,28.1,13,20,19
112,67,27,15,12
113,54.1,14,17,20
114,51.5,21,16,15
115,67.4,22,16,15
116,61.8,20,18,19
117,70.6,26,13,16
118,59.3,37,8,8
119,61,18,18,18
120,64.8,28,17,12
121,76.5,26,15,14
122,21.1,16,20,18
123,63.4,25,16,15
124,42.2,25,18,17
125,72.7,28,13,14
126,34.2,27,17,14
127,57,27,15,12
128,58.7,21,18,17
129,79.7,21,16,15
130,41.3,25,16,17
131,51.6,18,16,14
132,55.4,25,17,14
133,63.5,27,17,13
134,57.4,25,15,14
135,77.3,18,14,15
136,45,13,20,21
137,67.2,21,17,15
138,44.6,21,20,22
139,64.4,24,18,17
140,60.3,25,14,12
141,54.4,20,17,15
142,41.7,13,21,20
143,64.3,16,19,17
144,43.2,16,20,17
145,87.6,21,20,19
146,55.6,22,14,13
147,62.1,21,18,13
148,47.8,32,13,11
149,46.5,25,17,16
150,72.7,28,11,13
151,72.4,25,12,11
152,27.4,27,13,16
153,46.9,14,17,24
154,64.9,26,15,10
155,71.7,29,13,13
156,75.4,20,17,14
157,68.1,19,16,16
158,44.4,29,14,13
159,73.6,25,16,12
160,49.1,15,21,20
161,49,21,18,17
162,51.9,32,11,11
163,40.8,18,15,14
164,41.1,15,20,20
165,56.9,15,18,20
166,29.6,23,19,18
167,48.4,21,18,18
168,63.4,19,15,11
169,64.6,25,14,17
170,57.6,23,14,16
171,65.2,24,12,14
172,54.8,22,17,17
173,59.3,19,16,19
174,71.9,19,18,19
175,58,22,21,16
176,58.9,25,15,16
177,87.1,20,17,18
178,51.3,24,18,16
179,54.8,24,16,17
180,86.3,25,15,14
181,48,21,16,20
182,50.6,25,14,12
183,63.8,25,14,12
184,51.9,26,17,14
185,58,19,17,16
186,46.6,15,21,23
187,54.3,26,16,13
188,57.2,23,16,13
189,30,19,17,21
190,75.1,21,17,14
191,32.1,8,25,22
192,36.2,15,24,18
193,46.9,19,16,17
194,42.3,25,11,12
195,50.4,27,14,14
196,39.8,21,15,19
197,53.3,33,13,10
198,23.2,21,19,15
199,52.1,19,19,18
200,58.4,23,14,13
201,49.8,19,20,18
202,50.3,25,17,16
203,56.4,24,16,12
204,68.7,27,12,14
205,46.4,26,12,16
206,55.9,35,10,10
207,42.7,18,10,16
208,63.7,31,11,6
209,62.3,31,11,13
210,47.3,22,13,14
211,66,21,16,14
212,83.7,23,16,16
213,73.6,19,16,16
214,24.3,23,18,14
215,31.4,16,22,23
216,68.1,25,13,12
217,54.8,24,18,16
218,86.3,26,11,12
219,62.9,19,18,20
220,72.9,25,12,12
221,69.4,27,16,17
222,37.7,22,16,14
223,64.4,17,19,20
224,50.7,23,17,18
225,67.2,20,16,17
226,78.6,23,11,14
227,25.5,12,20,19
228,38.8,22,13,15
229,62.4,23,17,18
230,67.2,30,17,12
231,58.2,21,18,19
232,58.1,32,9,11
233,54,21,18,18
234,73.4,19,18,17
235,58.8,13,20,21
236,60.4,17,18,17
237,71.4,31,8,10
238,52.5,20,15,18
239,38.4,15,22,22
240,64.6,23,17,17
241,39.8,31,11,9
242,43.3,20,18,16
243,56.7,31,16,14
244,39.5,26,16,19
245,52.5,19,18,19
246,91.6,32,10,10
247,31.9,16,17,21
248,39.6,15,19,20
249,50.3,16,16,22
250,77.6,18,16,16
251,57.6,25,15,13
252,59,26,12,13
253,65.5,26,11,12
254,57.9,26,11,16
255,79,36,15,9
256,25.6,18,17,18
257,82.4,17,19,22
258,45,23,14,15
259,55.4,20,18,20
260,52.3,20,21,17
261,69.4,27,16,15
262,64.4,22,15,17
263,68.9,29,9,9
264,46,14,19,19
265,56.6,25,15,13
266,46.5,18,17,18
267,66.2,25,13,14
268,55.4,20,17,19
269,66.1,29,10,15
270,51.2,18,13,15
271,86,32,6,10
272,35.2,13,19,18
273,60.7,27,12,15
274,75.4,18,22,19
275,40.5,14,24,25
276,64.7,24,19,17
277,29.7,17,21,19
278,69.8,27,15,17
279,53,11,17,21
280,75.6,26,13,17
281,36.2,21,16,13
282,76.5,22,18,13
283,72.7,24,12,10
284,52.7,16,17,15
285,55.3,23,19,16
286,57.2,25,12,14
287,55.4,15,20,19
288,38.7,24,17,15
289,43.9,17,21,18
290,39,16,16,18
291,53.1,22,14,15
292,68,24,12,14
293,56.8,20,18,19
294,62.2,29,12,13
295,59.3,23,18,18
296,28.1,14,18,19
297,50.7,17,20,19
298,61.8,24,12,16
299,85.2,26,13,14
300,68.6,30,11,11
301,40.1,18,18,16
302,60.8,23,16,17
303,84.5,28,15,13
304,43.2,19,16,16
305,50.4,20,17,20
306,51.1,20,16,18
307,77.2,27,14,11
308,55.9,28,9,10
309,61.3,25,15,17
310,54.2,21,16,17
311,47.4,20,15,17
312,49.5,24,17,18
313,62.3,14,22,20
314,42.2,14,21,19
315,41.8,16,17,20
316,56.5,17,18,17
317,57.6,20,15,16
318,74.8,22,19,18
319,53.9,25,16,16
320,62,24,12,17
321,64.1,26,15,13
322,68.6,21,15,14
323,58.8,23,16,13
324,48.7,25,8,15
325,76.9,27,15,17
326,69.1,27,18,17
327,30.5,19,17,18
328,45.1,24,16,16
329,55.4,22,12,9
330,56.9,24,17,16
331,58.7,19,13,15
332,63.6,23,19,19
333,41,18,16,20
334,75.1,34,10,10
335,40.4,16,18,19
336,72.3,24,16,13
337,72.3,26,15,13
338,58.6,26,14,14
339,45.6,29,13,16
340,43.8,17,17,15
341,58.6,24,17,15
342,70.2,28,15,15
343,52.8,21,19,17
344,49.4,13,21,19
345,44.2,19,20,18
346,35.5,18,17,16
347,57.4,19,16,19
348,64.4,23,16,13
349,46.1,23,14,14
350,67.2,21,15,15
351,40.2,16,16,19
352,60.8,24,17,13
353,56.7,22,11,14
354,72.5,30,15,12
355,73.8,21,12,11
356,45.9,16,19,19
357,41.9,18,16,19
358,64.7,27,17,18
359,59.2,24,14,14
360,67.8,16,19,17
361,44.7,19,20,17
362,48.4,20,17,20
363,47,20,19,17
364,63.2,27,11,13
365,54.9,20,16,15
366,63.9,22,20,17
367,55.3,13,21,22
368,41.3,19,16,17
369,66.4,20,18,16
370,86,27,18,15
371,64.7,22,14,14
372,40.1,24,16,12
373,64.5,23,17,16
374,48.4,17,16,18
375,62,22,12,14
376,56.7,25,14,13
377,52.8,28,14,13
378,65.9,32,14,10
379,54.2,26,14,14
380,63.1,25,16,16
381,68.8,24,15,18
382,54.4,17,17,15
383,60.2,24,14,15
384,46.8,16,20,19
385,45.5,16,20,22
