pptID,age,accountability,selfmot,health,happiness,season,city,week_stopped
ID1,55,15,18,45,51,summer,Edinburgh,9
ID2,37,23,14,64,58,spring,Edinburgh,4
ID3,57,18,13,40,0,summer,Edinburgh,9
ID4,57,27,14,51,7,spring,Edinburgh,1
ID5,34,15,13,72,0,spring,Edinburgh,2
ID6,54,14,18,47,39,spring,Glasgow,9
ID7,51,15,11,52,27,summer,Glasgow,12
ID8,33,21,12,55,16,winter,Glasgow,9
ID9,49,20,21,43,54,spring,Edinburgh,7
ID10,24,17,18,54,51,autumn,Glasgow,9
ID11,46,19,14,50,48,spring,Edinburgh,1
ID12,33,18,23,80,54,winter,Glasgow,9
ID13,25,6,13,60,32,spring,Edinburgh,9
ID14,44,22,15,59,67,spring,Edinburgh,3
ID15,21,13,13,57,40,spring,Glasgow,2
ID16,21,17,17,60,55,summer,Edinburgh,9
ID17,21,15,17,60,1,spring,Edinburgh,2
ID18,39,14,15,50,36,spring,Glasgow,3
ID19,33,13,14,56,93,summer,Edinburgh,9
ID20,22,22,18,66,86,spring,Glasgow,3
ID21,44,19,15,60,56,spring,Glasgow,9
ID22,55,25,15,36,20,autunm,Edinburgh,9
ID23,36,16,13,44,5,spring,Glasgow,4
ID24,55,24,16,44,70,summer,Edinburgh,9
ID25,36,23,11,56,81,spring,Edinburgh,4
ID26,40,27,19,48,68,spring,Edinburgh,9
ID27,30,20,12,67,30,spring,Edinburgh,9
ID28,54,20,14,57,44,summer,Glasgow,8
ID29,29,10,13,70,7,spring,Glasgow,1
ID30,43,19,16,56,100,summer,Edinburgh,9
ID31,35,25,10,69,19,autumn,Edinburgh,9
ID32,36,22,19,71,85,spring,Edinburgh,9
ID33,24,16,17,66,86,summer,Glasgow,9
ID34,57,17,18,48,100,spring,Edinburgh,7
ID35,54,20,17,46,17,autumn,Edinburgh,9
ID36,47,28,14,58,63,summer,Glasgow,9
ID37,39,18,18,56,56,summer,Edinburgh,9
ID38,42,20,11,57,61,spring,Edinburgh,1
ID39,47,29,18,49,91,autumn,Edinburgh,9
ID40,32,22,12,67,15,spring,Edinburgh,4
ID41,55,22,15,55,28,spring,Edinburgh,7
ID42,51,25,14,56,2,winter,Edinburgh,9
ID43,35,24,15,64,100,summer,Edinburgh,9
ID44,46,16,14,35,93,spring,Edinburgh,3
ID45,34,22,12,47,0,spring,Edinburgh,9
ID46,22,17,18,70,42,spring,Edinburgh,2
ID47,35,28,17,56,36,spring,Edinburgh,1
ID48,43,12,18,53,92,spring,Edinburgh,2
ID49,28,24,16,56,19,autumn,Edinburgh,9
ID50,48,18,12,50,1,spring,Edinburgh,4
ID51,50,19,14,39,44,winter,Edinburgh,9
ID52,50,23,15,52,30,summer,Glasgow,9
ID53,18,17,15,81,100,summer,Edinburgh,9
ID54,43,25,13,52,47,summer,Edinburgh,9
ID55,53,18,9,47,33,spring,Edinburgh,2
ID56,42,12,17,48,99,spring,Edinburgh,4
ID57,38,13,14,56,65,spring,Edinburgh,1
ID58,23,20,11,64,9,summer,Edinburgh,9
ID59,20,20,15,55,18,spring,Glasgow,4
