Country,Reaction,Days,Subject,Age,Caff
Portugal,174.08625281320084,0,uepi308,29,0
Portugal,194.18082044004157,1,uepi308,29,0
Portugal,242.55478189147092,2,uepi308,29,0
Portugal,220.69502434309274,3,uepi308,29,0
Portugal,250.12773179575063,4,uepi308,29,0
Portugal,255.37184621041476,5,uepi308,29,0
Portugal,255.76439853678085,6,uepi308,29,0
Portugal,211.0245467021886,7,uepi308,29,0
Portugal,270.7202484320871,8,uepi308,29,0
Portugal,272.8698320105132,9,uepi308,29,0
Portugal,196.06941964350167,0,uepi309,41,1
Portugal,202.65834701812923,1,uepi309,41,1
Portugal,225.5955129115419,2,uepi309,41,1
Portugal,219.19112595086793,3,uepi309,41,1
Portugal,278.43980051240493,4,uepi309,41,1
Portugal,262.20785075159745,5,uepi309,41,1
Portugal,251.13654772198237,6,uepi309,41,1
Portugal,270.0569505596074,7,uepi309,41,1
Portugal,279.86091370163024,8,uepi309,41,1
Portugal,259.5191029027144,9,uepi309,41,1
Portugal,248.9569173847159,0,uepi310,29,1
Portugal,218.43836264841502,1,uepi310,29,1
Portugal,283.1812519492235,2,uepi310,29,1
Portugal,281.2134457902461,3,uepi310,29,1
Portugal,288.13582999508765,4,uepi310,29,1
Portugal,257.23072454324404,5,uepi310,29,1
Portugal,315.1557118267307,6,uepi310,29,1
Portugal,265.2747590936071,7,uepi310,29,1
Portugal,302.97773919613456,8,uepi310,29,1
Portugal,303.8906464963297,9,uepi310,29,1
Portugal,202.00059229211303,0,uepi330,30,1
Portugal,218.86906141876003,1,uepi330,30,1
Portugal,202.8360590395704,2,uepi330,30,1
Portugal,250.39232901799198,3,uepi330,30,1
Portugal,210.4256406363513,4,uepi330,30,1
Portugal,246.27947364739416,5,uepi330,30,1
Portugal,196.2644811539826,6,uepi330,30,1
Portugal,236.89220475117838,7,uepi330,30,1
Portugal,188.52987817999508,8,uepi330,30,1
Portugal,249.81304653200374,9,uepi330,30,1
Portugal,245.92619804761983,0,uepi331,50,1
Portugal,209.92807891299032,1,uepi331,50,1
Portugal,236.6791401401691,2,uepi331,50,1
Portugal,138.92632990868526,3,uepi331,50,1
Portugal,235.8391136989457,4,uepi331,50,1
Portugal,267.11255908453444,5,uepi331,50,1
Portugal,190.9243842019466,6,uepi331,50,1
Portugal,236.90845501133492,7,uepi331,50,1
Portugal,162.28993114597444,8,uepi331,50,1
Portugal,203.19398818666684,9,uepi331,50,1
Portugal,285.12827376957836,0,uepi332,58,1
Portugal,268.4719826646788,1,uepi332,58,1
Portugal,224.7364442212343,2,uepi332,58,1
Portugal,241.6494265562593,3,uepi332,58,1
Portugal,318.9578120390402,4,uepi332,58,1
Portugal,286.8284196586017,5,uepi332,58,1
Portugal,299.79137252194494,6,uepi332,58,1
Portugal,295.5454608522179,7,uepi332,58,1
Portugal,257.24000528339656,8,uepi332,58,1
Portugal,251.25218451864026,9,uepi332,58,1
Portugal,263.8717804877327,0,uepi333,50,1
Portugal,271.7580837936016,1,uepi333,50,1
Portugal,272.0041838112562,2,uepi333,50,1
Portugal,271.91530728789604,3,uepi333,50,1
Portugal,285.85346592384275,4,uepi333,50,1
Portugal,340.80547233698155,5,uepi333,50,1
Portugal,297.74919008134214,6,uepi333,50,1
Portugal,275.72848176477487,7,uepi333,50,1
Portugal,284.9680204268682,8,uepi333,50,1
Portugal,332.9224384233459,9,uepi333,50,1
Portugal,282.3402635214023,0,uepi334,51,1
Portugal,333.03560335740923,1,uepi334,51,1
Portugal,293.77161966293187,2,uepi334,51,1
Portugal,303.09640505248143,3,uepi334,51,1
Portugal,291.143037797356,4,uepi334,51,1
Portugal,326.98241159813205,5,uepi334,51,1
Portugal,283.6780188666986,6,uepi334,51,1
Portugal,332.21531909044563,7,uepi334,51,1
Portugal,315.5152352491441,8,uepi334,51,1
Portugal,311.95111436990027,9,uepi334,51,1
Portugal,245.49722102019535,0,uepi335,32,1
Portugal,249.82873579811778,1,uepi335,32,1
Portugal,262.8745800113761,2,uepi335,32,1
Portugal,264.31091692219144,3,uepi335,32,1
Portugal,223.52752575075752,4,uepi335,32,1
Portugal,295.33130944978535,5,uepi335,32,1
Portugal,305.88157448586185,6,uepi335,32,1
Portugal,298.86771519462724,7,uepi335,32,1
Portugal,298.85843216612744,8,uepi335,32,1
Portugal,341.07761354829836,9,uepi335,32,1
Portugal,150.76282921071237,0,uepi337,33,1
Portugal,184.41324260371027,1,uepi337,33,1
Portugal,197.77974644866842,2,uepi337,33,1
Portugal,168.20645800182967,3,uepi337,33,1
Portugal,252.14391768985243,4,uepi337,33,1
Portugal,272.2656593919499,5,uepi337,33,1
Portugal,247.38987362623584,6,uepi337,33,1
Portugal,266.03237088995957,7,uepi337,33,1
Portugal,308.62107029577555,8,uepi337,33,1
Portugal,312.66860253210456,9,uepi337,33,1
Portugal,283.1633516035076,0,uepi349,56,1
Portugal,267.1592569250737,1,uepi349,56,1
Portugal,225.85002553359627,2,uepi349,56,1
Portugal,242.8310968064011,3,uepi349,56,1
Portugal,254.779087079704,4,uepi349,56,1
Portugal,238.48264157702482,5,uepi349,56,1
Portugal,238.35783839489676,6,uepi349,56,1
Portugal,249.68840740195813,7,uepi349,56,1
Portugal,238.0000852351199,8,uepi349,56,1
Portugal,220.77695595296808,9,uepi349,56,1
Portugal,150.63716883654504,0,uepi350,41,0
