"emot_dysreg","crq","int","schoolid","sleep","age","detention"
4.12,1.92,"Treatment","school1","<8hr",14,0
3.22,1.65,"Treatment","school1","<8hr",11,0
4.86,3.56,"Treatment","school1","<8hr",16,0
4.79,1.45,"Treatment","school1","8hr+",16,0
3.58,0.81,"Treatment","school1","<8hr",12,0
4.41,2.71,"Treatment","school1","<8hr",15,0
4.23,3.01,"Treatment","school1","<8hr",14,1
3.66,1.61,"Treatment","school1","<8hr",12,0
4.22,2.17,"Treatment","school1","<8hr",14,1
4.42,2.28,"Treatment","school2","8hr+",14,1
3.84,2.67,"Treatment","school2","8hr+",11,0
4.02,1.98,"Treatment","school2","8hr+",13,1
3.91,2.66,"Treatment","school2","<8hr",12,1
4.41,1.33,"Treatment","school2","<8hr",15,0
4.03,3.53,"Treatment","school2","<8hr",13,1
3.53,2.71,"Treatment","school2","<8hr",12,0
3.7,2.71,"Treatment","school2","<8hr",12,0
4.42,3.48,"Control","school3","<8hr",13,1
4.46,4.17,"Control","school3","<8hr",14,1
4.88,2.32,"Control","school3","<8hr",15,1
4.57,1.88,"Control","school3","8hr+",14,1
4.61,1.7,"Control","school3","<8hr",13,1
4.34,3.37,"Control","school3","8hr+",13,0
3.7,3.45,"Control","school3","8hr+",11,1
4.1,3.2,"Control","school3","<8hr",12,0
4.54,2.61,"Control","school3","8hr+",13,1
3.99,0.98,"Control","school3","<8hr",11,0
4.15,3.51,"Control","school4","<8hr",14,0
3.88,1.91,"Control","school4","<8hr",12,0
4.4,2.37,"Control","school4","<8hr",15,0
4.09,4.75,"Control","school4","<8hr",16,0
4.69,1.47,"Control","school4","<8hr",15,0
4.51,2.44,"Control","school4","<8hr",15,0
4.89,2.47,"Control","school4","<8hr",16,1
4.54,5.19,"Control","school4","8hr+",16,0
3.73,1.57,"Control","school4","8hr+",12,1
4.97,0.82,"Treatment","school5","<8hr",13,1
5.52,2.11,"Treatment","school5","<8hr",16,1
5.38,4.01,"Treatment","school5","<8hr",16,1
5.33,3.34,"Treatment","school5","<8hr",16,1
3.71,2.95,"Treatment","school5","<8hr",11,1
4.71,2.96,"Treatment","school5","<8hr",14,0
3.92,2.09,"Treatment","school5","<8hr",11,1
4.19,4.21,"Treatment","school5","<8hr",12,0
4.92,2.96,"Treatment","school5","<8hr",15,1
3.4,4.28,"Control","school6","<8hr",12,1
4.95,1.84,"Control","school6","8hr+",16,0
3.56,3.6,"Control","school6","8hr+",13,0
3.88,2.7,"Control","school6","<8hr",13,0
5.43,2.18,"Control","school6","<8hr",16,0
4.59,1.61,"Control","school6","<8hr",15,1
4.5,2.62,"Control","school6","<8hr",15,0
3.31,4.44,"Control","school6","<8hr",12,0
3.54,3.05,"Control","school6","<8hr",12,1
4.86,2.74,"Control","school6","<8hr",15,1
3.55,3.4,"Treatment","school7","<8hr",12,1
3.48,1.49,"Treatment","school7","<8hr",12,1
4.07,4.46,"Treatment","school7","8hr+",15,0
4.43,2.49,"Treatment","school7","<8hr",16,0
3.51,1.42,"Treatment","school7","<8hr",11,0
4.25,4.17,"Treatment","school7","<8hr",16,0
3.06,4.24,"Treatment","school7","<8hr",11,0
3.23,1.25,"Treatment","school7","<8hr",11,0
3.31,1.96,"Treatment","school7","<8hr",11,0
5.1,3.48,"Control","school8","<8hr",14,1
5.68,1.92,"Control","school8","<8hr",16,0
5.17,2.43,"Control","school8","<8hr",15,1
4.47,0.59,"Control","school8","<8hr",11,1
5.14,2.6,"Control","school8","<8hr",14,1
4.99,3.02,"Control","school8","<8hr",15,1
4.88,1.89,"Control","school8","<8hr",13,0
5.18,2.94,"Control","school8","8hr+",15,0
4.49,1.53,"Control","school8","<8hr",11,1
5.49,3.82,"Control","school8","<8hr",16,1
4.55,2.87,"Treatment","school9","8hr+",14,1
4.63,4.05,"Treatment","school9","8hr+",15,1
3.75,2.76,"Treatment","school9","8hr+",12,1
4.52,3.17,"Treatment","school9","<8hr",15,0
3.95,3.34,"Treatment","school9","8hr+",13,1
4.7,1.84,"Treatment","school9","<8hr",16,1
4.25,2.41,"Treatment","school9","<8hr",14,1
5,3.62,"Treatment","school9","<8hr",16,0
3.78,3,"Treatment","school9","<8hr",11,1
4.12,1.9,"Treatment","school9","<8hr",13,1
5.23,1.93,"Control","school10","8hr+",16,1
4.26,4,"Control","school10","<8hr",14,0
5.15,2.22,"Control","school10","<8hr",16,0
3.75,2.81,"Control","school10","<8hr",11,1
4.58,2.57,"Control","school10","<8hr",14,1
3.85,2.01,"Control","school10","<8hr",11,1
5.49,2.85,"Control","school11","<8hr",16,0
5.52,1.57,"Control","school11","<8hr",15,1
4.31,2.79,"Control","school11","<8hr",12,1
4.15,2.14,"Control","school11","8hr+",11,1
4.96,1.12,"Control","school11","<8hr",13,1
3.73,3.19,"Control","school11","<8hr",11,1
4.5,3.71,"Control","school11","8hr+",13,1
4.38,2.89,"Control","school11","<8hr",13,1
5.13,2.88,"Control","school11","<8hr",16,0
4.55,2.37,"Treatment","school12","<8hr",14,1
4.6,3.26,"Treatment","school12","<8hr",14,1
3.57,3.25,"Treatment","school12","<8hr",11,1
4.94,2.33,"Treatment","school12","<8hr",16,1
3.71,1.5,"Treatment","school12","<8hr",11,1
3.81,2.52,"Treatment","school12","<8hr",11,1
4.36,3.36,"Treatment","school12","8hr+",13,1
4.74,3.91,"Treatment","school12","<8hr",15,1
5.26,0.51,"Treatment","school12","<8hr",16,1
3.8,2.31,"Treatment","school12","<8hr",11,1
4.01,1.93,"Control","school13","<8hr",13,0
3.55,3.13,"Control","school13","<8hr",11,0
4.08,3.84,"Control","school13","<8hr",13,0
4.07,3.65,"Control","school13","<8hr",13,0
4.07,2.36,"Control","school13","8hr+",13,0
4.5,4.77,"Control","school13","<8hr",15,1
4,2.23,"Control","school13","<8hr",12,1
4.01,1.68,"Control","school13","<8hr",12,0
4.03,1.13,"Treatment","school14","8hr+",13,1
4.86,4.19,"Treatment","school14","<8hr",16,0
4.45,2.38,"Treatment","school14","<8hr",15,0
4.4,1.95,"Treatment","school14","8hr+",14,0
3.84,2.35,"Treatment","school14","<8hr",12,0
4.82,2.01,"Treatment","school14","<8hr",16,0
5.09,2.67,"Treatment","school14","<8hr",16,1
5.02,2.45,"Treatment","school14","8hr+",16,1
4.12,2.9,"Treatment","school14","<8hr",13,1
3.66,2.73,"Treatment","school14","<8hr",11,0
4.82,1.63,"Treatment","school15","8hr+",16,0
3.96,2.1,"Treatment","school15","<8hr",13,0
3.91,3.5,"Treatment","school15","<8hr",13,0
4.5,3.49,"Treatment","school15","8hr+",15,1
4.14,1.2,"Treatment","school15","<8hr",11,1
4.41,0.48,"Treatment","school15","8hr+",14,1
4.18,1.76,"Treatment","school15","<8hr",13,0
5.31,2.62,"Treatment","school16","<8hr",16,0
4.91,2.68,"Treatment","school16","<8hr",14,1
5.1,3.16,"Treatment","school16","<8hr",15,1
5.15,2.33,"Treatment","school16","<8hr",15,1
4.97,2.94,"Treatment","school16","<8hr",15,1
4.45,1.07,"Treatment","school16","<8hr",12,1
3.88,3.74,"Treatment","school16","<8hr",11,0
3.98,4.1,"Treatment","school16","<8hr",12,1
4.24,1.9,"Control","school17","8hr+",14,0
3.56,3.9,"Control","school17","<8hr",13,1
3.91,1.18,"Control","school17","8hr+",14,0
4.16,2.12,"Control","school17","<8hr",13,0
4.08,3.17,"Control","school17","<8hr",14,0
4.59,1.78,"Control","school17","<8hr",15,0
4.91,3.61,"Control","school17","<8hr",16,0
3.43,4.95,"Control","school17","<8hr",11,0
3.38,3.44,"Control","school17","<8hr",11,0
3.29,1.42,"Treatment","school18","8hr+",12,0
3.94,1.94,"Treatment","school18","<8hr",14,0
4.05,3.41,"Treatment","school18","8hr+",14,1
3.38,2.73,"Treatment","school18","<8hr",12,0
4.83,1.94,"Treatment","school19","8hr+",16,1
5.01,1.69,"Treatment","school19","<8hr",16,0
4.03,2.65,"Treatment","school19","<8hr",12,0
4.33,3.03,"Treatment","school19","<8hr",14,1
3.74,2.04,"Treatment","school19","8hr+",11,0
4.09,3.48,"Treatment","school19","<8hr",14,1
3.44,4.78,"Treatment","school19","<8hr",12,0
4.59,1.18,"Treatment","school19","<8hr",14,1
3.81,1.96,"Treatment","school19","<8hr",12,1
3.75,1.19,"Treatment","school19","8hr+",12,1
4.52,2.98,"Control","school20","8hr+",15,0
4.5,3.01,"Control","school20","<8hr",14,0
3.43,5.33,"Control","school20","8hr+",12,0
4.8,2.98,"Control","school20","<8hr",15,0
3.55,1.81,"Control","school20","<8hr",11,1
4.79,1.81,"Control","school20","8hr+",14,1
4.11,3.27,"Control","school20","<8hr",14,1
3.55,1.36,"Control","school20","<8hr",11,1
4.49,3.05,"Control","school20","8hr+",14,0
