schoolid,EDS,CRQ,schooltype
school1,4.12,1.92,State
school1,3.22,1.65,State
school1,4.86,3.56,State
school1,4.79,1.45,State
school1,3.58,0.81,State
school1,4.41,2.71,State
school1,4.23,3.01,State
school1,3.66,1.61,State
school1,4.22,2.17,State
school2,4.42,2.28,State
school2,3.84,2.67,State
school2,4.02,1.98,State
school2,3.91,2.66,State
school2,4.41,1.33,State
school2,4.03,3.53,State
school2,3.53,2.71,State
school2,3.7,2.71,State
school3,4.42,3.48,Private
school3,4.46,4.17,Private
school3,4.88,2.32,Private
school3,4.57,1.88,Private
school3,4.61,1.7,Private
school3,4.34,3.37,Private
school3,3.7,3.45,Private
school3,4.1,3.2,Private
school3,4.54,2.61,Private
school3,3.99,0.98,Private
school4,4.15,3.51,Private
school4,3.88,1.91,Private
school4,4.4,2.37,Private
school4,4.09,4.75,Private
school4,4.69,1.47,Private
school4,4.51,2.44,Private
school4,4.89,2.47,Private
school4,4.54,5.19,Private
school4,3.73,1.57,Private
school5,4.97,0.82,State
school5,5.52,2.11,State
school5,5.38,4.01,State
school5,5.33,3.34,State
school5,3.71,2.95,State
school5,4.71,2.96,State
school5,3.92,2.09,State
school5,4.19,4.21,State
school5,4.92,2.96,State
school6,3.4,4.28,Private
school6,4.95,1.84,Private
school6,3.56,3.6,Private
school6,3.88,2.7,Private
school6,5.43,2.18,Private
school6,4.59,1.61,Private
school6,4.5,2.62,Private
school6,3.31,4.44,Private
school6,3.54,3.05,Private
school6,4.86,2.74,Private
school7,3.55,3.4,State
school7,3.48,1.49,State
school7,4.07,4.46,State
school7,4.43,2.49,State
school7,3.51,1.42,State
school7,4.25,4.17,State
school7,3.06,4.24,State
school7,3.23,1.25,State
school7,3.31,1.96,State
school8,5.1,3.48,Private
school8,5.68,1.92,Private
school8,5.17,2.43,Private
school8,4.47,0.59,Private
school8,5.14,2.6,Private
school8,4.99,3.02,Private
school8,4.88,1.89,Private
school8,5.18,2.94,Private
school8,4.49,1.53,Private
school8,5.49,3.82,Private
school9,4.55,2.87,State
school9,4.63,4.05,State
school9,3.75,2.76,State
school9,4.52,3.17,State
school9,3.95,3.34,State
school9,4.7,1.84,State
school9,4.25,2.41,State
school9,5,3.62,State
school9,3.78,3,State
school9,4.12,1.9,State
school10,5.23,1.93,Private
school10,4.26,4,Private
school10,5.15,2.22,Private
school10,3.75,2.81,Private
school10,4.58,2.57,Private
school10,3.85,2.01,Private
school11,5.49,2.85,Private
school11,5.52,1.57,Private
school11,4.31,2.79,Private
school11,4.15,2.14,Private
school11,4.96,1.12,Private
school11,3.73,3.19,Private
school11,4.5,3.71,Private
school11,4.38,2.89,Private
school11,5.13,2.88,Private
school12,4.55,2.37,State
school12,4.6,3.26,State
school12,3.57,3.25,State
school12,4.94,2.33,State
school12,3.71,1.5,State
school12,3.81,2.52,State
school12,4.36,3.36,State
school12,4.74,3.91,State
school12,5.26,0.51,State
school12,3.8,2.31,State
school13,4.01,1.93,Private
school13,3.55,3.13,Private
school13,4.08,3.84,Private
school13,4.07,3.65,Private
school13,4.07,2.36,Private
school13,4.5,4.77,Private
school13,4,2.23,Private
school13,4.01,1.68,Private
school14,4.03,1.13,State
school14,4.86,4.19,State
school14,4.45,2.38,State
school14,4.4,1.95,State
school14,3.84,2.35,State
school14,4.82,2.01,State
school14,5.09,2.67,State
school14,5.02,2.45,State
school14,4.12,2.9,State
school14,3.66,2.73,State
school15,4.82,1.63,State
school15,3.96,2.1,State
school15,3.91,3.5,State
school15,4.5,3.49,State
school15,4.14,1.2,State
school15,4.41,0.48,State
school15,4.18,1.76,State
school16,5.31,2.62,State
school16,4.91,2.68,State
school16,5.1,3.16,State
school16,5.15,2.33,State
school16,4.97,2.94,State
school16,4.45,1.07,State
school16,3.88,3.74,State
school16,3.98,4.1,State
school17,4.24,1.9,Private
school17,3.56,3.9,Private
school17,3.91,1.18,Private
school17,4.16,2.12,Private
school17,4.08,3.17,Private
school17,4.59,1.78,Private
school17,4.91,3.61,Private
school17,3.43,4.95,Private
school17,3.38,3.44,Private
school18,3.29,1.42,State
school18,3.94,1.94,State
school18,4.05,3.41,State
school18,3.38,2.73,State
school19,4.83,1.94,State
school19,5.01,1.69,State
school19,4.03,2.65,State
school19,4.33,3.03,State
school19,3.74,2.04,State
school19,4.09,3.48,State
school19,3.44,4.78,State
school19,4.59,1.18,State
school19,3.81,1.96,State
school19,3.75,1.19,State
school20,4.52,2.98,Private
school20,4.5,3.01,Private
school20,3.43,5.33,Private
school20,4.8,2.98,Private
school20,3.55,1.81,Private
school20,4.79,1.81,Private
school20,4.11,3.27,Private
school20,3.55,1.36,Private
school20,4.49,3.05,Private
