name,age,species,obj_type,obj_colour,obj_size,exptime
Jimmie Walker,17,tamarin,soft,red,30,8.6
Maxene Andrews,15,capuchin,soft,red,28,13.4
Ellen Johnson Sirleaf,15,macaque,soft,red,56,11
Sandra Bullock,4,macaque,soft,red,27,12.7
Maureen McCormick,10,macaque,soft,red,19,7.1
Harry Shearer,21,capuchin,soft,red,32,18.4
Mary Tyler Moore,7,capuchin,soft,red,25,11.8
Chris Brown,17,capuchin,soft,red,37,22
Sarah Michelle Gellar,16,capuchin,soft,red,11,17
John Lithgow,8,capuchin,soft,red,20,10.9
Eric Szmanda,13,capuchin,soft,red,30,11.6
Patricia Heaton,20,capuchin,soft,red,38,11.6
Donna Karan,25,tamarin,soft,red,46,11.2
Charlize Theron,15,tamarin,soft,red,45,12.6
Frankie Valli,18,macaque,soft,red,60,11.3
Jill Hennessy,1,macaque,soft,red,46,12.9
Bud Cort,5,capuchin,soft,red,45,18.4
George Jones,24,tamarin,soft,red,62,4.2
Jay Silverheels,23,tamarin,soft,red,42,4.8
Bryan Adams,15,macaque,soft,red,61,11.3
Freddie Mercury,8,macaque,soft,red,50,11.6
Gloria Swanson,18,capuchin,soft,red,64,18.2
Suzy Bogguss,7,macaque,soft,red,57,9.6
Bill Clinton,13,tamarin,soft,red,44,10.9
French Stewart,9,macaque,soft,red,63,14.5
David Geffen,21,tamarin,soft,red,70,19
Lea Michele,25,tamarin,soft,red,68,8.4
Judge Judy Sheindlin,15,macaque,soft,red,73,6
Ice T,11,tamarin,soft,red,86,14.6
Brian Boitano,9,tamarin,soft,red,67,12.4
Lucille Ball,1,capuchin,soft,red,60,20.9
Earl Anthony,20,tamarin,soft,red,94,8
Jim Belushi,19,macaque,soft,red,66,11
Kajol,16,tamarin,soft,red,65,8.7
Emmylou Harris,18,macaque,soft,red,65,5.6
Dr. Drew,16,macaque,soft,red,59,13.6
Matt Damon,20,capuchin,soft,green,50,13.9
Bob Wian,16,tamarin,soft,green,31,7.8
Cuba Gooding,7,macaque,soft,green,23,12
Kherington Payne,20,capuchin,soft,green,49,12.9
Sam Elliot,8,capuchin,soft,green,33,11.9
Agnetha Fältskog,10,macaque,soft,green,36,9.6
Jean Luc Ponty,10,capuchin,soft,green,42,18.8
Chevy Chase,2,capuchin,soft,green,13,13.8
J.P. Big Bopper Richardson,14,capuchin,soft,green,15,13.7
Colette,18,tamarin,soft,green,27,14.5
Michael Jackson,19,tamarin,soft,green,23,11
Harriet Nelson,13,macaque,soft,green,48,12.9
Nick Jonas,2,macaque,soft,green,50,12.9
Kat Von-D,18,tamarin,soft,green,49,10.4
Quincy Jones,9,macaque,soft,green,29,13.7
Picabo Street,17,tamarin,soft,green,47,15.8
Nancy Grace,15,macaque,soft,green,36,4.5
Dr. Seuss,3,capuchin,soft,green,37,13.2
Elmore Leonard,20,capuchin,soft,green,45,16
Obi Wan-Kenobi,10,tamarin,soft,green,59,9.4
Martina Hingis,10,tamarin,soft,green,58,19.9
Richard Dawson,15,macaque,soft,green,37,10.8
Dr. Laura Schlessinger,12,tamarin,soft,green,51,12
Billie Holiday,18,capuchin,soft,green,47,18.9
Drew Barymore,18,tamarin,soft,green,60,5.7
George Noory,14,tamarin,soft,green,92,9.6
Osama Bin-Laden,18,macaque,soft,green,67,4.6
Antonio Vivaldi,8,tamarin,soft,green,72,11.4
