"month","day","hour","cyclists"
"Jan",1,0,4
"Jan",1,1,7
"Jan",1,2,6
"Jan",1,3,9
"Jan",1,4,1
"Jan",1,5,1
"Jan",1,6,8
"Jan",1,7,2
"Jan",1,8,4
"Jan",1,9,11
"Jan",1,10,12
"Jan",1,11,14
"Jan",1,12,27
"Jan",1,13,33
"Jan",1,14,37
"Jan",1,15,19
"Jan",1,16,27
"Jan",1,17,10
"Jan",1,18,14
"Jan",1,19,11
"Jan",1,20,11
"Jan",1,21,8
"Jan",1,22,5
"Jan",1,23,3
"Jan",2,0,1
"Jan",2,1,2
"Jan",2,2,0
"Jan",2,3,1
"Jan",2,4,0
"Jan",2,5,2
"Jan",2,6,4
"Jan",2,7,7
"Jan",2,8,8
"Jan",2,9,12
"Jan",2,10,22
"Jan",2,11,13
"Jan",2,12,22
"Jan",2,13,41
"Jan",2,14,39
"Jan",2,15,34
"Jan",2,16,21
"Jan",2,17,34
"Jan",2,18,5
"Jan",2,19,12
"Jan",2,20,9
"Jan",2,21,12
"Jan",2,22,5
"Jan",2,23,7
"Jan",3,0,4
"Jan",3,1,2
"Jan",3,2,0
"Jan",3,3,0
"Jan",3,4,3
"Jan",3,5,1
"Jan",3,6,7
"Jan",3,7,8
"Jan",3,8,17
"Jan",3,9,13
"Jan",3,10,7
"Jan",3,11,6
"Jan",3,12,12
"Jan",3,13,17
"Jan",3,14,8
"Jan",3,15,11
"Jan",3,16,18
"Jan",3,17,22
"Jan",3,18,33
"Jan",3,19,11
"Jan",3,20,6
"Jan",3,21,3
"Jan",3,22,8
"Jan",3,23,5
"Jan",4,0,2
"Jan",4,1,2
"Jan",4,2,2
"Jan",4,3,0
"Jan",4,4,0
"Jan",4,5,2
"Jan",4,6,9
"Jan",4,7,25
"Jan",4,8,92
"Jan",4,9,61
"Jan",4,10,32
"Jan",4,11,36
"Jan",4,12,25
"Jan",4,13,27
"Jan",4,14,22
"Jan",4,15,20
"Jan",4,16,46
"Jan",4,17,79
"Jan",4,18,69
"Jan",4,19,29
"Jan",4,20,11
"Jan",4,21,8
"Jan",4,22,3
"Jan",4,23,6
"Jan",5,0,0
"Jan",5,1,3
"Jan",5,2,0
"Jan",5,3,0
"Jan",5,4,0
"Jan",5,5,3
"Jan",5,6,10
"Jan",5,7,21
"Jan",5,8,130
"Jan",5,9,69
"Jan",5,10,29
"Jan",5,11,29
"Jan",5,12,48
"Jan",5,13,46
"Jan",5,14,53
"Jan",5,15,48
"Jan",5,16,59
"Jan",5,17,101
"Jan",5,18,82
"Jan",5,19,44
"Jan",5,20,22
"Jan",5,21,16
"Jan",5,22,11
"Jan",5,23,12
"Jan",6,0,5
"Jan",6,1,3
"Jan",6,2,0
"Jan",6,3,0
"Jan",6,4,0
"Jan",6,5,1
"Jan",6,6,9
"Jan",6,7,31
"Jan",6,8,134
"Jan",6,9,80
"Jan",6,10,34
"Jan",6,11,31
"Jan",6,12,48
"Jan",6,13,51
"Jan",6,14,38
"Jan",6,15,62
"Jan",6,16,70
"Jan",6,17,107
"Jan",6,18,71
"Jan",6,19,32
"Jan",6,20,16
"Jan",6,21,18
"Jan",6,22,20
"Jan",6,23,5
"Jan",7,0,12
"Jan",7,1,6
"Jan",7,2,1
"Jan",7,3,0
"Jan",7,4,1
"Jan",7,5,0
"Jan",7,6,5
"Jan",7,7,5
"Jan",7,8,23
"Jan",7,9,18
"Jan",7,10,34
"Jan",7,11,49
"Jan",7,12,62
"Jan",7,13,53
"Jan",7,14,56
"Jan",7,15,58
"Jan",7,16,47
"Jan",7,17,40
"Jan",7,18,32
"Jan",7,19,14
"Jan",7,20,12
"Jan",7,21,6
"Jan",7,22,4
"Jan",7,23,16
"Jan",8,0,7
"Jan",8,1,6
"Jan",8,2,6
"Jan",8,3,5
"Jan",8,4,1
"Jan",8,5,0
"Jan",8,6,3
"Jan",8,7,6
"Jan",8,8,10
"Jan",8,9,41
"Jan",8,10,42
"Jan",8,11,32
"Jan",8,12,50
"Jan",8,13,58
"Jan",8,14,31
"Jan",8,15,40
"Jan",8,16,49
"Jan",8,17,39
"Jan",8,18,25
"Jan",8,19,19
"Jan",8,20,15
"Jan",8,21,8
"Jan",8,22,10
"Jan",8,23,4
"Jan",9,0,6
"Jan",9,1,2
"Jan",9,2,1
"Jan",9,3,2
"Jan",9,4,1
"Jan",9,5,4
"Jan",9,6,16
"Jan",9,7,57
"Jan",9,8,203
"Jan",9,9,126
"Jan",9,10,52
"Jan",9,11,41
"Jan",9,12,58
"Jan",9,13,66
"Jan",9,14,61
"Jan",9,15,74
"Jan",9,16,66
"Jan",9,17,163
"Jan",9,18,142
"Jan",9,19,78
"Jan",9,20,33
"Jan",9,21,23
"Jan",9,22,8
"Jan",9,23,8
"Jan",10,0,5
"Jan",10,1,1
"Jan",10,2,3
"Jan",10,3,1
"Jan",10,4,0
"Jan",10,5,10
"Jan",10,6,13
"Jan",10,7,60
"Jan",10,8,218
"Jan",10,9,121
"Jan",10,10,67
"Jan",10,11,46
"Jan",10,12,40
"Jan",10,13,53
"Jan",10,14,60
"Jan",10,15,56
"Jan",10,16,88
