"year","month","cyclists","rainfall_mm"
2014,"Jan",5444,88.4
2014,"Feb",4735,59.6
2014,"Mar",4288,50.8
2014,"Apr",5100,57
2014,"May",4519,68.6
2014,"Jun",3277,67.4
2014,"Jul",4313,35.2
2014,"Aug",2635,90
2014,"Sep",4289,20.6
2014,"Oct",3749,92.4
2014,"Nov",7378,9.8
2014,"Dec",4625,51.4
2015,"Jan",5290,50.2
2015,"Feb",2693,27.2
2015,"Mar",1231,51.2
2015,"Apr",5358,28.8
2015,"May",6393,47.4
2015,"Jun",7618,0
2015,"Jul",4092,96.6
2015,"Aug",5794,8.8
2015,"Sep",7177,4
2015,"Oct",5060,23.2
2015,"Nov",3813,152
2015,"Dec",3475,121
2016,"Jan",3569,73.6
2016,"Feb",3722,0
2016,"Mar",4353,0
2016,"Apr",5346,43
2016,"May",5816,13.8
2016,"Jun",2786,12
