"participant","area"
"respondent_1","Differential"
"respondent_2","Social"
"respondent_3","Differential"
"respondent_4","Social"
"respondent_5","Differential"
"respondent_6","Differential"
"respondent_7","Language"
"respondent_8","Language"
"respondent_9","Cognitive Neuroscience"
"respondent_10","Language"
"respondent_11","Language"
"respondent_12","Cognitive Neuroscience"
"respondent_13","Cognitive Neuroscience"
"respondent_14","Cognitive Neuroscience"
"respondent_15","Social"
"respondent_16","Developmental"
"respondent_17","Language"
"respondent_18","Language"
"respondent_19","Cognitive Neuroscience"
"respondent_20","Language"
"respondent_21","Differential"
"respondent_22","Social"
"respondent_23","Developmental"
"respondent_24","Differential"
"respondent_25","Cognitive Neuroscience"
"respondent_26","Cognitive Neuroscience"
"respondent_27","Social"
"respondent_28","Cognitive Neuroscience"
"respondent_29","Differential"
"respondent_30","Differential"
"respondent_31","Cognitive Neuroscience"
"respondent_32","Cognitive Neuroscience"
"respondent_33","Cognitive Neuroscience"
"respondent_34","Cognitive Neuroscience"
"respondent_35","Cognitive Neuroscience"
"respondent_36","Language"
"respondent_37","Cognitive Neuroscience"
"respondent_38","Differential"
"respondent_39","Differential"
"respondent_40","Developmental"
"respondent_41","Differential"
"respondent_42","Language"
"respondent_43","Differential"
"respondent_44","Social"
"respondent_45","Social"
"respondent_46","Cognitive Neuroscience"
"respondent_47","Cognitive Neuroscience"
"respondent_48","Social"
"respondent_49","Developmental"
"respondent_50","Differential"
"respondent_51","Cognitive Neuroscience"
"respondent_52","Social"
"respondent_53","Social"
"respondent_54","Developmental"
"respondent_55","Developmental"
"respondent_56","Differential"
"respondent_57","Differential"
"respondent_58","Cognitive Neuroscience"
"respondent_59","Cognitive Neuroscience"
"respondent_60","Developmental"
"respondent_61","Cognitive Neuroscience"
"respondent_62","Cognitive Neuroscience"
"respondent_63","Differential"
"respondent_64","Developmental"
"respondent_65","Cognitive Neuroscience"
"respondent_66","Differential"
"respondent_67","Cognitive Neuroscience"
"respondent_68","Differential"
"respondent_69","Social"
"respondent_70","Cognitive Neuroscience"
"respondent_71","Differential"
"respondent_72","Developmental"
"respondent_73","Differential"
"respondent_74","Developmental"
