pseudonym,birthmonth,n_sibling,spicy,spicy_num,eye_colour,distance_born,outlook,ampm,sleepqual,procrast,multitask,fav_color,catdog,threewords
NA,february,1,medium,3,brown,4659.946240166172,21,8.9,88,35,82,green,both,NA
NA,september,1,medium,3,brown,2224.442101332145,-11,9.4,76,35,45,yellow,both,NA
allscratch,july,1,medium,3,brown,6327.2,20,10,80,20,15,yellow,both,quiet particular artist
NA,november,1,medium,3,brown,836.1310337568934,45,9.5,49,34,40,green,both,NA
NA,march,0,anti-spice,1,brown,467.2932597720067,4,9,63,25,67,yellow,dog,NA
NA,march,0,anti-spice,1,brown,2048.990478982166,18,7.8,50,24,41,yellow,dog,NA
NA,october,2,anti-spice,1,brown,1876.1145746329,33,8.2,81,25,57,yellow,dog,NA
NA,january,0,medium,3,brown,820.1917100573884,-19,8.9,39,25,63,green,both,NA
NA,september,1,medium,3,blue,499.8868166545682,13,8.7,57,32,40,green,both,NA
NA,september,1,medium,3,green,316.2975165123614,-11,8,73,33,68,yellow,both,NA
NA,january,1,medium,3,blue,1342.8532156215529,-20,8.9,86,18,62,green,both,NA
NA,march,0,anti-spice,1,brown,1108.3301854514339,37,8,63,10,44,yellow,dog,NA
NA,january,2,medium,3,blue,1229.6212203847376,11,7.7,69,36,62,green,both,NA
NA,march,1,medium,3,blue,129.57243175545742,7,7.9,73,33,82,green,both,NA
NA,february,4,anti-spice,1,green,549.6400008383788,11,8.7,78,27,41,yellow,dog,NA
NA,august,1,anti-spice,1,blue,1580.6485162921003,0,7.6,80,27,71,yellow,dog,NA
NA,september,2,medium,3,blue,640.5592461088173,39,8.8,72,30,35,green,both,NA
NA,july,1,medium,3,hazel,1084.0825555038036,-8,8.5,98,38,15,green,both,NA
NA,december,1,medium,3,amber,413.6264977005218,8,7.9,18,27,76,yellow,both,NA
NA,october,0,anti-spice,1,brown,1768.1723864764042,-47,8.7,44,37,38,yellow,dog,NA
NA,may,1,anti-spice,1,green,855.4232000884987,26,9.3,70,25,72,yellow,dog,NA
NA,july,1,medium,3,brown,1153.870708799878,3,8,67,32,39,green,both,NA
NA,november,1,anti-spice,1,hazel,1137.7171902907683,29,8,88,31,39,yellow,dog,NA
NA,september,2,medium,3,blue,1510.839418638639,82,8.3,73,43,18,yellow,both,NA
NA,december,1,anti-spice,1,brown,1275.3943779518736,-9,8.1,49,43,58,yellow,dog,NA
NA,december,1,medium,3,brown,1446.693477756433,-28,7.9,55,42,16,green,both,NA
NA,january,0,medium,3,brown,486.31981630663165,3,7.9,58,32,56,yellow,both,NA
NA,march,1,anti-spice,1,brown,1153.0608238081802,53,8.6,63,23,36,yellow,dog,NA
NA,july,0,anti-spice,1,brown,259.81077220272,-14,9.8,58,33,25,yellow,dog,NA
NA,july,1,medium,3,brown,2443.616657446926,40,8.4,84,30,48,yellow,both,NA
dougal,january,2,medium,3,blue,189.9,-16,9.3,54,30,54,green,both,NA
NA,february,2,medium,3,blue,1959.5077947086654,-6,7.9,93,41,39,green,both,NA
noodle_horse,january,2,medium,3,blue,189.9,-16,9.4,45,29,54,green,both,"gouda, roquefort, epoisses"
NA,july,1,medium,3,blue,1060.02156813396,-5,7.9,61,20,38,green,both,NA
rufus,february,4,anti-spice,1,brown,50,74,8.6,69,33,17,yellow,dog,NA
NA,june,1,medium,3,hazel,1700.0745827722662,4,9.1,80,17,27,green,both,NA
NA,february,1,medium,3,brown,1481.9713083801225,-13,9.3,74,30,11,yellow,both,NA
NA,may,0,medium,3,brown,2556.940960176146,15,8.7,76,18,53,green,both,NA
NA,january,1,anti-spice,1,brown,1796.3475574463848,1,8.5,79,28,-3,yellow,dog,NA
NA,may,0,medium,3,brown,3603.1413104631506,3,8.7,62,23,67,yellow,both,NA
NA,september,0,medium,3,blue,1585.6525642101062,28,7.5,90,38,80,green,both,NA
