ppt,location,time_holidays,time_term
1,Rural,115,122
2,Rural,118,125
3,Rural,139,164
4,Rural,130,129
5,Rural,161,123
6,Rural,138,101
7,Rural,125,127
8,Rural,181,128
9,Rural,135,129
10,Rural,161,131
11,Rural,176,138
12,Rural,151,125
13,Rural,188,124
14,Rural,140,114
15,Rural,124,113
16,Rural,159,92
17,Rural,181,77
18,Rural,158,126
19,Rural,145,131
20,Rural,151,124
21,Urban,100,118
22,Urban,83,86
23,Urban,96,142
24,Urban,53,110
25,Urban,130,134
26,Urban,154,63
27,Urban,84,22
28,Urban,88,95
29,Urban,129,83
30,Urban,94,133
31,Urban,179,172
32,Urban,132,115
33,Urban,81,114
34,Urban,73,112
35,Urban,97,9
36,Urban,46,67
37,Urban,82,96
38,Urban,109,66
39,Urban,112,130
40,Urban,127,59
