id,age,sex,handedness,lab_session,participation_order,first_condition,visualcue_attempt1,visualcue_attempt2,visualcue_attempt3,visualcue_attempt4,visualcue_attempt5,auditorycue_attempt1,auditorycue_attempt2,auditorycue_attempt3,auditorycue_attempt4,auditorycue_attempt5
1,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,10,3,14,11,17,12,,9,12,
2,18,female,right,Wednesday: 10am-12pm,partner_first,auditory_first,10,20,13,11,11,3,20,20,1,12
3,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,15,,4,8,8,8,17,19,,22
4,18,female,left,Wednesday: 10am-12pm,myself_first,visual_first,15,19,13,9,2,10,25,11,22,11
5,18,female,right,Wednesday: 10am-12pm,partner_first,visual_first,26,7,14,12,15,19,,8,24,10
6,18,female,right,Wednesday: 10am-12pm,partner_first,visual_first,21,24,,27,24,,,,,
7,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,29,15,6,8,8,28,12,18,,16
8,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,12,20,12,15,10,2,12,16,5,30
9,24,female,right,Wednesday: 10am-12pm,partner_first,visual_first,15,11,13,10,16,,30,,,
10,25,male,right,Wednesday: 10am-12pm,myself_first,visual_first,19,23,12,6,9,15,30,13,3,25
11,19,female,right,Wednesday: 10am-12pm,myself_first,visual_first,20,13,20,15,15,8,30,30,14,30
12,20,female,left,Wednesday: 10am-12pm,partner_first,visual_first,22,17,11,19,27,,17,,,10
13,20,female,right,Wednesday: 10am-12pm,partner_first,visual_first,16,8,,12,11,6,,25,18,21
14,19,female,right,Wednesday: 10am-12pm,myself_first,visual_first,17,16,18,17,13,,27,13,25,
15,17,female,right,Wednesday: 10am-12pm,partner_first,visual_first,13,28,7,11,18,15,,8,,5
16,18,male,right,Wednesday: 10am-12pm,myself_first,visual_first,16,19,19,20,16,22,,16,26,17
17,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,24,13,10,21,13,19,,,,9
18,18,female,right,Wednesday: 10am-12pm,partner_first,auditory_first,15,16,0,23,14,5,4,2,29,2
19,17,female,right,Wednesday: 10am-12pm,partner_first,visual_first,13,30,24,18,20,16,27,6,12,9
20,18,male,right,Wednesday: 10am-12pm,partner_first,visual_first,17,14,14,14,11,12,16,27,,15
21,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,22,6,13,17,22,24,22,16,30,6
22,18,female,right,Wednesday: 10am-12pm,myself_first,visual_first,7,8,7,2,7,10,5,17,3,10
23,18,female,right,Wednesday: 10am-12pm,partner_first,visual_first,19,16,10,13,14,18,27,,15,
24,18,male,right,Wednesday: 10am-12pm,partner_first,visual_first,16,24,24,14,22,30,28,21,26,
25,19,female,right,Thursday: 11am-1pm,partner_first,auditory_first,8,4,6,9,4,12,,23,26,3
26,18,female,right,Thursday: 11am-1pm,myself_first,auditory_first,12,13,3,9,9,5,26,,11,22
27,21,male,right,Thursday: 11am-1pm,myself_first,visual_first,26,,11,25,21,,,,,
28,18,female,right,Thursday: 11am-1pm,myself_first,visual_first,15,15,14,26,12,11,20,10,16,12
29,17,female,right,Thursday: 11am-1pm,partner_first,auditory_first,21,25,23,15,15,20,19,0,4,30
30,18,female,left,Thursday: 11am-1pm,myself_first,auditory_first,14,7,9,8,10,8,0,26,12,7
31,18,female,right,Thursday: 11am-1pm,myself_first,visual_first,20,15,10,14,12,30,,18,,9
32,19,female,left,Thursday: 11am-1pm,partner_first,visual_first,26,20,23,17,16,,17,28,,6
33,21,male,right,Thursday: 11am-1pm,partner_first,visual_first,17,21,17,17,14,6,24,22,,
34,17,male,right,Thursday: 11am-1pm,myself_first,visual_first,21,13,17,11,11,12,12,11,11,9
35,17,male,right,Thursday: 11am-1pm,myself_first,auditory_first,10,10,5,11,12,,11,29,18,
36,18,female,right,Thursday: 11am-1pm,partner_first,auditory_first,14,12,15,20,15,19,1,0,2,3
37,18,female,right,Thursday: 11am-1pm,partner_first,auditory_first,14,12,15,20,15,19,1,0,2,3
38,18,male,right,Thursday: 11am-1pm,myself_first,visual_first,18,10,6,12,25,10,,15,,7
39,18,female,right,Thursday: 11am-1pm,myself_first,visual_first,7,15,10,18,10,,,8,,28
40,18,male,right,Thursday: 11am-1pm,partner_first,visual_first,12,13,17,16,12,,,24,18,
41,17,female,right,Thursday: 11am-1pm,myself_first,auditory_first,14,10,9,4,12,,15,,,29
42,19,female,right,Thursday: 11am-1pm,myself_first,visual_first,2,24,15,6,11,4,,1,6,18
43,17,female,right,Thursday: 11am-1pm,partner_first,auditory_first,17,14,17,21,24,24,17,,18,
