ID,z_test,z_age,intervention1,intervention2,type
ID1,-0.32,0.21,control,control,private
ID2,0.32,-0.35,cond1,control,private
ID3,-0.82,0.21,control,week2,state
ID4,1.15,0.03,cond1,week2,state
ID5,-0.16,-0.44,control,week4,private
ID6,-0.09,-0.15,cond1,week4,state
ID7,-1.21,0.11,control,control,state
ID8,0.33,-0.43,cond1,control,state
ID9,-1.93,0.43,control,week2,state
ID10,0.06,-0.01,cond1,week2,state
ID11,0.84,0.43,control,week4,state
ID12,1.17,1.17,cond1,week4,state
ID13,2.09,-0.75,control,control,state
ID14,0.73,-0.45,cond1,control,state
ID15,2.76,0.65,control,week2,state
ID16,2.04,0.58,cond1,week2,private
ID17,-0.17,-0.39,control,week4,state
ID18,1.16,1.21,cond1,week4,state
ID19,-1.55,0.4,control,control,state
ID20,0.46,-0.95,cond1,control,private
ID21,-1.09,0.99,control,week2,state
ID22,0.52,1.21,cond1,week2,private
ID23,0.7,1.06,control,week4,state
ID24,2.06,1.72,cond1,week4,state
ID25,-1.29,-0.25,control,control,state
ID26,0.47,0.52,cond1,control,state
ID27,-1.22,-1.42,control,week2,state
ID28,0.04,-0.58,cond1,week2,private
ID29,-1.97,-0.4,control,week4,state
ID30,0.82,-1.75,cond1,week4,state
ID31,-0.19,-0.78,control,control,state
ID32,1,0.64,cond1,control,state
ID33,-2.96,-0.86,control,week2,state
ID34,-0.97,-0.34,cond1,week2,state
ID35,-0.58,0.15,control,week4,state
ID36,-0.74,0.45,cond1,week4,private
ID37,-2.38,-1.52,control,control,state
ID38,-0.16,-0.05,cond1,control,state
ID39,1.19,0.44,control,week2,state
ID40,0.24,0.23,cond1,week2,state
ID41,0.8,0.36,control,week4,state
ID42,-3.52,-1.36,cond1,week4,state
ID43,0.98,-0.52,control,control,state
ID44,1.47,0.77,cond1,control,state
ID45,0.83,-0.27,control,week2,state
ID46,0.66,-1.7,cond1,week2,state
ID47,0.18,1.14,control,week4,private
ID48,-0.47,0.38,cond1,week4,private
ID49,0.26,1.79,control,control,state
ID50,0.37,0.26,cond1,control,state
ID51,0.23,0.75,control,week2,state
ID52,0.68,1.78,cond1,week2,state
ID53,-0.45,1.31,control,week4,state
ID54,1.59,0.7,cond1,week4,state
ID55,-0.54,0.14,control,control,private
ID56,1.5,0.33,cond1,control,state
ID57,-0.23,1.09,control,week2,state
ID58,0.51,0.71,cond1,week2,state
ID59,-0.15,-0.45,control,week4,private
ID60,1.67,0.01,cond1,week4,state
ID61,0.03,0.5,control,control,state
ID62,0.5,0.18,cond1,control,state
ID63,-0.1,-0.71,control,week2,state
ID64,-0.11,0.62,cond1,week2,state
ID65,2.17,2.03,control,week4,state
ID66,0.52,-1.07,cond1,week4,private
ID67,-0.51,0.73,control,control,private
ID68,-2.09,-0.98,cond1,control,state
ID69,1.59,-0.51,control,week2,private
ID70,1.66,1.25,cond1,week2,state
ID71,-0.53,0.22,control,week4,private
ID72,1.37,-0.99,cond1,week4,private
ID73,0.4,-0.28,control,control,private
ID74,-0.21,-0.57,cond1,control,state
ID75,-0.52,-0.14,control,week2,state
ID76,0.23,0.9,cond1,week2,state
ID77,-1.39,-0.28,control,week4,private
ID78,0.94,0.66,cond1,week4,private
ID79,-1.3,-0.51,control,control,state
ID80,3.04,0.8,cond1,control,state
ID81,0.09,-0.37,control,week2,private
ID82,1.2,0.33,cond1,week2,private
ID83,-0.17,-0.35,control,week4,state
ID84,1.16,-1.08,cond1,week4,state
ID85,-1.36,0.97,control,control,state
ID86,-0.28,-1.12,cond1,control,state
ID87,0.14,-0.51,control,week2,state
ID88,-0.47,1.75,cond1,week2,state
ID89,-0.57,-0.07,control,week4,state
ID90,-1.06,0.23,cond1,week4,state
ID91,-1.5,0.99,control,control,state
ID92,1.67,0.64,cond1,control,private
ID93,0.45,-1.82,control,week2,state
ID94,1.78,-0.46,cond1,week2,state
ID95,-0.75,-0.31,control,week4,private
ID96,0.08,1.36,cond1,week4,state
ID97,-0.08,0.65,control,control,state
ID98,3.59,0.2,cond1,control,state
ID99,-1.08,-0.62,control,week2,state
ID100,1.64,0.01,cond1,week2,state
ID101,-0.88,-1.16,control,week4,state
ID102,-0.77,-1,cond1,week4,state
ID103,-0.91,0.21,control,control,state
ID104,1.13,-1.56,cond1,control,state
ID105,-1.1,-0.21,control,week2,private
ID106,0.02,-1,cond1,week2,private
ID107,1.16,1.34,control,week4,state
ID108,0.27,1.27,cond1,week4,private
ID109,0.34,0.83,control,control,state
ID110,-3.32,-0.9,cond1,control,state
ID111,-2.35,0.07,control,week2,private
ID112,-1.41,-2.12,cond1,week2,state
ID113,0.54,0.18,control,week4,private
ID114,1.43,0.53,cond1,week4,private
ID115,-1.14,-0.03,control,control,private
ID116,0.01,-0.03,cond1,control,state
ID117,0.89,-0.97,control,week2,private
ID118,1.29,1.04,cond1,week2,state
ID119,-0.56,0.62,control,week4,state
ID120,1.35,-1.07,cond1,week4,private
ID121,-0.39,1.42,control,control,state
ID122,-2.14,-0.56,cond1,control,state
ID123,-1.05,0.74,control,week2,state
ID124,2.09,-0.88,cond1,week2,state
ID125,1.07,0.24,control,week4,private
ID126,-0.8,-1.49,cond1,week4,state
ID127,-1.63,0.09,control,control,state
ID128,0.74,-0.13,cond1,control,state
ID129,0.18,0.67,control,week2,state
ID130,-1.36,-0.08,cond1,week2,state
ID131,1.19,0.91,control,week4,state
ID132,-0.7,-1.38,cond1,week4,state
ID133,0.72,1.87,control,control,state
ID134,-0.39,0.54,cond1,control,state
ID135,-1.26,-0.78,control,week2,state
ID136,0.05,-1.26,cond1,week2,private
ID137,0.95,-0.17,control,week4,private
ID138,1.29,0.2,cond1,week4,state
ID139,0.05,-0.74,control,control,state
ID140,1.67,0.8,cond1,control,state
ID141,1.94,-0.73,control,week2,state
ID142,0.38,-0.64,cond1,week2,state
ID143,2.6,-0.3,control,week4,state
ID144,0.45,-0.16,cond1,week4,state
ID145,-1.07,-0.57,control,control,private
ID146,-0.76,-0.34,cond1,control,state
ID147,-0.13,-0.56,control,week2,state
ID148,0.21,0.1,cond1,week2,private
ID149,-0.13,-0.51,control,week4,private
ID150,0.74,-0.41,cond1,week4,private
ID151,-0.58,-1.03,control,control,state
ID152,0.08,-0.71,cond1,control,state
ID153,-1.52,0.26,control,week2,private
ID154,1.75,2.01,cond1,week2,state
ID155,-0.11,1.36,control,week4,private
ID156,1.42,0.25,cond1,week4,state
ID157,-1.01,-0.51,control,control,state
ID158,-0.4,-0.32,cond1,control,state
ID159,0.38,-0.91,control,week2,state
ID160,2.07,0.03,cond1,week2,state
ID161,-0.51,0.89,control,week4,state
ID162,-0.85,-2.04,cond1,week4,state
ID163,-0.36,-0.49,control,control,private
ID164,1.82,-0,cond1,control,state
ID165,-1.8,-0.01,control,week2,state
ID166,-1.13,-1.98,cond1,week2,private
ID167,1.27,0.05,control,week4,state
ID168,0.54,-0.06,cond1,week4,state
ID169,-0.01,-0.34,control,control,state
ID170,-0.45,-1.65,cond1,control,state
ID171,0.34,0.12,control,week2,state
ID172,-0.76,-0.66,cond1,week2,state
ID173,1.15,0.24,control,week4,state
ID174,0.29,0.45,cond1,week4,state
ID175,0.63,0.83,control,control,state
ID176,1.18,0.1,cond1,control,state
ID177,-1.18,-0.71,control,week2,state
ID178,1.76,-0.46,cond1,week2,state
ID179,-1.14,-0.66,control,week4,state
ID180,-0.83,0.03,cond1,week4,state
ID181,-1.02,-0.85,control,control,private
ID182,-1.78,-1.77,cond1,control,state
ID183,-2.12,-0.14,control,week2,private
ID184,-0.04,0.56,cond1,week2,state
ID185,-0.35,-0.31,control,week4,private
ID186,-1.62,-0.05,cond1,week4,private
ID187,-1.07,-1.54,control,control,private
ID188,2.47,0.64,cond1,control,state
ID189,1.71,1.32,control,week2,state
ID190,0.58,-1.05,cond1,week2,state
ID191,0.6,-0.15,control,week4,private
ID192,-0.88,-2.37,cond1,week4,private
ID193,-0.06,-0.67,control,control,state
ID194,-0.55,-1.71,cond1,control,private
ID195,-0.25,0.96,control,week2,private
ID196,1.91,0.21,cond1,week2,state
ID197,1.1,-1.45,control,week4,state
ID198,0.86,-0.98,cond1,week4,state
ID199,-1.16,-0.71,control,control,private
ID200,-0.68,0.24,cond1,control,state
ID201,-0.2,0.09,control,week2,private
ID202,0.18,0.22,cond1,week2,private
ID203,-0.59,0.02,control,week4,private
ID204,-0.07,-0.12,cond1,week4,state
ID205,0.63,0.3,control,control,private
ID206,0.89,0.21,cond1,control,state
ID207,-0.98,-0.19,control,week2,state
ID208,0.03,-0.26,cond1,week2,state
ID209,-0.13,-1.3,control,week4,state
ID210,-0.65,-0.2,cond1,week4,private
ID211,0.54,1.23,control,control,state
ID212,0.34,1.68,cond1,control,state
ID213,1.49,1.83,control,week2,state
ID214,-0.63,0.08,cond1,week2,state
ID215,1.03,0.88,control,week4,state
ID216,-0.09,-0.89,cond1,week4,state
ID217,0.24,0.18,control,control,private
ID218,0.83,-0.38,cond1,control,state
ID219,0.72,0.42,control,week2,state
ID220,1.05,-2.09,cond1,week2,state
ID221,-0.5,-1.4,control,week4,state
ID222,0.12,1.2,cond1,week4,private
ID223,-2.21,-0.52,control,control,state
ID224,0.59,1.64,cond1,control,state
ID225,-2.19,-1.7,control,week2,private
ID226,-0.7,-1.13,cond1,week2,state
ID227,1.11,0.75,control,week4,state
ID228,-0.86,-2.04,cond1,week4,state
ID229,-1.28,0.43,control,control,state
ID230,0.43,-0.92,cond1,control,state
ID231,1.12,2.41,control,week2,private
ID232,-0.29,0.03,cond1,week2,state
ID233,0.31,0.35,control,week4,private
ID234,0.59,0.42,cond1,week4,private
ID235,-1.3,-1.48,control,control,state
ID236,0.06,-1.27,cond1,control,state
ID237,0.64,0.6,control,week2,state
ID238,-0.53,0.31,cond1,week2,state
ID239,-2.11,-0.42,control,week4,state
ID240,-1.65,-1.08,cond1,week4,state
ID241,0.69,-0.14,control,control,state
ID242,-0.56,0.03,cond1,control,state
ID243,-1.9,-1.73,control,week2,state
ID244,-0.36,0.82,cond1,week2,private
ID245,0.83,-0.18,control,week4,private
ID246,0.04,-0.4,cond1,week4,state
ID247,-0.8,1.01,control,control,state
ID248,0.69,0.44,cond1,control,private
ID249,-2.16,-1.46,control,week2,private
ID250,1.07,0.72,cond1,week2,state
ID251,1.74,2.06,control,week4,state
ID252,-0.83,1.72,cond1,week4,state
ID253,-0.76,0.99,control,control,state
ID254,0.74,-0.02,cond1,control,private
ID255,2,3.06,control,week2,state
ID256,3.24,-0.31,cond1,week2,state
ID257,1.61,-0.78,control,week4,state
ID258,0.48,0.5,cond1,week4,state
ID259,-1.93,-1.57,control,control,state
ID260,1.92,0.54,cond1,control,state
ID261,-0.9,-0.18,control,week2,private
ID262,-2.91,1.31,cond1,week2,state
ID263,1.23,-0.6,control,week4,private
ID264,2.15,2.71,cond1,week4,state
ID265,0.38,0.85,control,control,state
ID266,1.68,0.29,cond1,control,state
ID267,0.33,0.52,control,week2,state
ID268,0.93,1.56,cond1,week2,state
ID269,-0.78,-0.02,control,week4,private
ID270,0.95,0.8,cond1,week4,state
ID271,1.02,1.07,control,control,private
ID272,1.97,-0.73,cond1,control,state
ID273,-0.56,0.81,control,week2,state
ID274,0.55,0.84,cond1,week2,state
ID275,1.75,-1.04,control,week4,state
ID276,-0.31,-0.55,cond1,week4,state
ID277,-0.12,0.79,control,control,private
ID278,2.07,0.4,cond1,control,private
ID279,0.91,-0.97,control,week2,state
ID280,-0.47,0.96,cond1,week2,state
ID281,-0.12,-0.76,control,week4,state
ID282,0.94,1.54,cond1,week4,state
ID283,0.66,0.95,control,control,state
ID284,1.54,-0.85,cond1,control,private
ID285,1.42,0.77,control,week2,private
ID286,1.16,-0.04,cond1,week2,private
ID287,0.05,-0.96,control,week4,state
ID288,-0.57,-0.95,cond1,week4,state
ID289,-1.28,-2.26,control,control,private
ID290,0.92,-0.14,cond1,control,state
ID291,0.42,-0.05,control,week2,private
ID292,-0.18,1.72,cond1,week2,state
ID293,1.19,-0.53,control,week4,state
ID294,0.82,0.65,cond1,week4,private
ID295,1.09,1.4,control,control,state
ID296,-0.17,-0.37,cond1,control,private
ID297,-0.43,1.47,control,week2,private
ID298,0.82,0.64,cond1,week2,state
ID299,0.63,-1.09,control,week4,state
ID300,0.34,0.05,cond1,week4,state
ID301,1.57,1.11,control,control,state
ID302,0.11,-0.11,cond1,control,state
ID303,-0.04,-0.78,control,week2,state
ID304,-0.67,-0.13,cond1,week2,state
ID305,0.92,-0.78,control,week4,private
ID306,0.27,0.24,cond1,week4,private
ID307,0.18,0.81,control,control,private
ID308,-0.22,0.51,cond1,control,state
ID309,0.1,-1.22,control,week2,state
ID310,1.04,-1.42,cond1,week2,private
ID311,1.2,-0.86,control,week4,state
ID312,0.81,-0.02,cond1,week4,private
ID313,-2.06,1.02,control,control,state
ID314,-0.21,-0.52,cond1,control,private
ID315,0.01,-1.38,control,week2,state
ID316,-0.26,0.45,cond1,week2,state
ID317,1.32,0.05,control,week4,private
ID318,-0.64,-0.38,cond1,week4,private
ID319,-1.09,-0.42,control,control,state
ID320,1.58,0.89,cond1,control,state
ID321,0.15,0.24,control,week2,state
ID322,0.26,-1.34,cond1,week2,state
ID323,0.06,-1.87,control,week4,state
ID324,0.32,-0.54,cond1,week4,state
ID325,0.1,-0.73,control,control,state
ID326,-0.39,-0.06,cond1,control,state
ID327,-0.7,0.02,control,week2,state
ID328,-0.09,0.93,cond1,week2,state
ID329,2.96,1.52,control,week4,state
ID330,1.27,0.4,cond1,week4,private
ID331,-0.88,-1.18,control,control,state
ID332,2.71,0.58,cond1,control,private
ID333,1.39,0.48,control,week2,state
ID334,-1.02,-0.4,cond1,week2,state
ID335,-0.22,-0.04,control,week4,state
ID336,-0.61,-1.14,cond1,week4,private
ID337,-1.88,-0.62,control,control,state
ID338,-1.65,0.06,cond1,control,state
ID339,0.52,1.43,control,week2,state
ID340,-0.76,-0.6,cond1,week2,private
ID341,-0.88,0.03,control,week4,state
ID342,-0.4,0.14,cond1,week4,state
ID343,-2.58,-0.68,control,control,state
ID344,0.68,-0.05,cond1,control,state
ID345,-0.34,-1.19,control,week2,private
ID346,1.19,1.76,cond1,week2,state
ID347,3.46,1.49,control,week4,private
ID348,1.53,0.46,cond1,week4,state
ID349,-0.62,-0.53,control,control,state
ID350,0.85,-0.33,cond1,control,state
ID351,-0.35,0.6,control,week2,private
ID352,0.08,1.04,cond1,week2,state
ID353,0.08,-0.07,control,week4,private
ID354,-0.14,-1.67,cond1,week4,private
ID355,-1.62,0.33,control,control,private
ID356,-0.01,-0.09,cond1,control,state
ID357,-0.74,0.48,control,week2,state
ID358,0.5,1.1,cond1,week2,state
ID359,-0.3,0.61,control,week4,state
ID360,0.34,-1.02,cond1,week4,state
ID361,0.38,0.89,control,control,private
ID362,-0.48,-1.28,cond1,control,state
ID363,0.62,1.03,control,week2,state
ID364,0.33,-0.67,cond1,week2,private
ID365,-0.75,-0.87,control,week4,state
ID366,1.21,0.48,cond1,week4,state
ID367,-2.16,-1.83,control,control,state
ID368,0.61,-0.63,cond1,control,private
ID369,-1.52,0.96,control,week2,state
ID370,0.44,-1.06,cond1,week2,state
ID371,2.52,1.63,control,week4,state
ID372,0.42,-0.49,cond1,week4,private
ID373,-1.43,-1.51,control,control,state
ID374,0.83,1.66,cond1,control,state
ID375,-0.73,0.85,control,week2,state
ID376,-0.39,0.51,cond1,week2,state
ID377,-1.36,-2.36,control,week4,state
ID378,1.52,0.77,cond1,week4,state
ID379,-1.49,-0.42,control,control,state
ID380,0.56,0.25,cond1,control,state
ID381,0.85,-0.35,control,week2,private
ID382,-1.29,0.01,cond1,week2,private
ID383,-0.85,-0.9,control,week4,state
ID384,1.11,2.05,cond1,week4,state
ID385,-0.13,-0.3,control,control,state
ID386,-0.98,-0.62,cond1,control,private
ID387,-0.23,1.42,control,week2,state
ID388,1.65,0.27,cond1,week2,private
ID389,0.95,0.83,control,week4,state
ID390,1.25,1.66,cond1,week4,private
ID391,-1.51,-0.12,control,control,state
ID392,-0.71,-0.33,cond1,control,state
ID393,0.61,0.9,control,week2,private
ID394,1.9,1.13,cond1,week2,private
ID395,-0.53,-0.66,control,week4,state
ID396,1.04,-0.51,cond1,week4,state
ID397,-1.51,-2.79,control,control,state
ID398,0.44,-0.58,cond1,control,state
ID399,0.15,-0.56,control,week2,private
ID400,1.32,0.77,cond1,week2,private
ID401,1.53,2.15,control,week4,state
ID402,1.67,0.99,cond1,week4,state
ID403,-2.2,0.24,control,control,private
ID404,0.64,-0.71,cond1,control,state
ID405,-1.93,-2.23,control,week2,private
ID406,0.01,-0.43,cond1,week2,state
ID407,-0.63,0.59,control,week4,state
ID408,1.17,-0.43,cond1,week4,state
ID409,1.02,-0.61,control,control,state
ID410,0.44,-1.29,cond1,control,state
ID411,-0.52,-0.92,control,week2,private
ID412,1.6,-2.47,cond1,week2,state
ID413,0.04,-0.3,control,week4,private
ID414,2.04,1.49,cond1,week4,state
ID415,-2.15,0.09,control,control,state
ID416,-0.38,1.19,cond1,control,private
ID417,0.91,-0.94,control,week2,state
ID418,2.55,2.08,cond1,week2,private
ID419,0.67,-0.93,control,week4,state
ID420,-2,-0.33,cond1,week4,private
ID421,-1.19,-1.28,control,control,state
ID422,1.41,-0.59,cond1,control,state
ID423,-0.37,1.31,control,week2,state
ID424,-0.31,0.2,cond1,week2,state
ID425,-0.27,-0.89,control,week4,state
ID426,0.52,0.5,cond1,week4,state
ID427,0.22,-0.11,control,control,state
ID428,-0.93,-0.54,cond1,control,private
ID429,-0.3,-1.07,control,week2,state
ID430,-0.8,-1.55,cond1,week2,state
ID431,1.6,1.01,control,week4,state
ID432,1,0.27,cond1,week4,private
ID433,-0.76,-0.07,control,control,state
ID434,0.41,-0.45,cond1,control,private
ID435,0.3,0.95,control,week2,state
ID436,-0.15,0.11,cond1,week2,state
ID437,1.84,1.94,control,week4,state
ID438,-1.9,-1.5,cond1,week4,state
ID439,-2.13,-1.21,control,control,private
ID440,0.36,1.13,cond1,control,state
ID441,0.14,-0.36,control,week2,state
ID442,0.77,-0.86,cond1,week2,state
