"persuasive","endorse","sp_rate","age","expert"
53.6,"counter",18.11,42,"0"
45.9,"pro",12.31,33,"1"
64.9,"counter",15.09,41,"1"
50.1,"pro",15.9,50,"0"
39.6,"counter",15.21,55,"0"
49.3,"pro",13.68,60,"0"
55.3,"counter",18.53,58,"1"
71.6,"pro",13.72,39,"0"
84.1,"counter",20.06,43,"0"
67.6,"pro",13.81,37,"0"
41.4,"counter",17.91,54,"1"
53,"pro",20.86,60,"0"
28.8,"counter",9.83,32,"0"
69.5,"pro",13.16,38,"0"
62,"counter",13.6,51,"1"
76.5,"pro",15.91,42,"1"
52.5,"counter",13.15,55,"1"
57.8,"pro",6.03,18,"1"
51.5,"counter",6.68,31,"0"
55.8,"pro",17.96,28,"1"
44.1,"counter",13.08,45,"0"
61.1,"pro",8.66,35,"0"
71.1,"counter",13.48,51,"1"
63.7,"pro",17.64,59,"0"
69.2,"counter",19.69,53,"0"
46.7,"pro",12.71,37,"1"
56.4,"counter",13.23,32,"1"
60.9,"pro",8.71,24,"0"
49.3,"counter",15.38,44,"0"
70.8,"pro",12.08,47,"0"
47.5,"counter",15.37,22,"1"
55.6,"pro",16.11,39,"1"
80.5,"counter",17.11,37,"0"
80,"pro",12.17,58,"1"
50.2,"counter",15.51,28,"0"
66.9,"pro",8.85,45,"1"
68.8,"counter",11.65,55,"0"
63.1,"pro",11.45,59,"0"
65.5,"counter",6.76,26,"1"
50.5,"pro",14.11,40,"0"
64.7,"counter",14.62,43,"1"
54,"pro",12.92,58,"1"
31.5,"counter",16.27,28,"0"
41.8,"pro",11.82,36,"0"
39.1,"counter",9.9,45,"1"
36.6,"pro",15.3,38,"0"
76.1,"counter",11.57,53,"1"
61.6,"pro",18.33,59,"1"
15,"counter",12.71,39,"1"
59.5,"pro",15.97,42,"1"
50.9,"counter",14.97,47,"1"
57.4,"pro",11.65,38,"0"
36.9,"counter",18.73,38,"0"
35.9,"pro",15.93,23,"0"
21.5,"counter",14.27,58,"1"
69.8,"pro",14.83,27,"0"
79.2,"counter",16.04,41,"0"
56.6,"pro",14.27,24,"1"
18.6,"counter",5.02,31,"1"
33.9,"pro",14.85,29,"1"
53.4,"counter",12.9,27,"0"
31.8,"pro",14.56,42,"1"
52.2,"counter",15.75,54,"0"
15.2,"pro",18.2,19,"0"
43.3,"counter",11.82,52,"1"
36.5,"pro",17.91,51,"0"
37.6,"counter",15.01,44,"0"
71.7,"pro",17.12,48,"0"
56.8,"counter",16.76,44,"1"
35.5,"pro",16.16,33,"0"
40.1,"counter",10.87,53,"1"
54.6,"pro",13.73,41,"1"
78,"counter",15.87,55,"0"
60.9,"pro",11.14,38,"0"
54.2,"counter",12.37,37,"0"
28.8,"pro",15.74,28,"1"
57.9,"counter",16.3,50,"1"
56.4,"pro",15.39,31,"1"
25.2,"counter",11.34,45,"0"
86.1,"pro",10.7,50,"0"
23.6,"counter",18.54,46,"0"
32,"pro",14.77,53,"0"
50.4,"counter",14.27,49,"0"
52.1,"pro",13.64,55,"1"
52.2,"counter",10.42,39,"1"
55.8,"pro",15.84,24,"1"
7.4,"counter",13.35,22,"1"
69.1,"pro",13.45,48,"1"
59.1,"counter",16.8,49,"0"
34.2,"pro",16.47,35,"1"
53.7,"counter",18.18,56,"1"
39.2,"pro",12.57,30,"0"
66.2,"counter",15.95,47,"0"
43.2,"pro",18.17,19,"1"
22.9,"counter",10.67,45,"1"
75,"pro",11.42,20,"1"
73.5,"counter",10.6,50,"1"
66.5,"pro",9.62,46,"0"
39.5,"counter",14.24,37,"0"
71.9,"pro",15.96,60,"1"
39.2,"counter",17.6,26,"1"
42,"pro",17.13,27,"0"
62.7,"counter",10.99,24,"0"
63.5,"pro",19.55,45,"0"
55.7,"counter",12,35,"1"
53.2,"pro",14.32,42,"0"
51,"counter",12.73,27,"1"
61.9,"pro",13.63,26,"0"
64.1,"counter",14.56,36,"0"
37.4,"pro",14.36,32,"0"
28.5,"counter",13.92,20,"0"
66.4,"pro",14.32,39,"1"
48,"counter",12.54,37,"0"
54.4,"pro",12.49,59,"1"
69.7,"counter",9.02,51,"1"
33,"pro",12.85,40,"0"
56.8,"counter",12.46,34,"1"
18.1,"pro",22.11,35,"1"
13,"counter",9.91,36,"0"
76.4,"pro",14.41,34,"0"
38.5,"counter",9.52,47,"0"
38,"pro",9.59,27,"1"
48.5,"counter",14.37,54,"0"
74.6,"pro",11.01,27,"1"
64.7,"counter",13.99,51,"0"
54.5,"pro",12.72,21,"1"
33.9,"counter",12.16,42,"0"
92.1,"pro",7.93,43,"0"
34.3,"counter",10.33,56,"0"
71.5,"pro",14.54,50,"1"
48.4,"counter",15.7,39,"0"
52.7,"pro",12.52,36,"1"
73.3,"counter",14,23,"1"
74.4,"pro",17.37,42,"0"
37.8,"counter",18.32,47,"0"
54.6,"pro",10.71,59,"1"
67.1,"counter",13.65,56,"1"
51.3,"pro",17.6,42,"1"
40.4,"counter",12.59,19,"0"
52.8,"pro",13.84,55,"1"
57.6,"counter",13.74,26,"0"
32.1,"pro",11.34,28,"1"
44,"counter",12.67,23,"1"
65.2,"pro",13.91,48,"1"
51.7,"counter",12.76,22,"0"
61.6,"pro",17.34,31,"1"
61.3,"counter",12.56,59,"0"
57.2,"pro",12.7,18,"0"
71.2,"counter",16.09,58,"0"
73.9,"pro",10.83,27,"0"
