PID,educ,neuro,O,C,E,A,N,acc_rate
ppt1,nd,pic,0.007,0.41,-0.454,0.309,0.05,76
ppt2,nd,none,-0.074,0.543,0.035,-0.725,-0.096,73
ppt3,pg,desc,-0.422,0.22,-0.66,1.102,-0.62,45
ppt4,ug,desc,-0.635,-0.422,0.225,0.582,0.016,43
ppt5,pg,pic,-2.171,-0.027,-0.994,0.353,1.217,29
ppt6,ug,none,0.241,-0.136,2.071,0.525,0.584,39
ppt7,ug,pic,0.56,0.343,-0.413,0.964,-0.273,53
ppt8,pg,desc,-0.364,0.823,-0.526,0.512,0.961,44
ppt9,ug,desc,-1.475,0.949,-0.289,-0.535,0.592,56
ppt10,pg,desc,-1.51,-1.189,-0.337,-0.386,1.101,46
ppt11,pg,desc,1.679,0.313,-1.146,-0.513,-1.138,43
ppt12,ug,pic,-0.529,-1.044,-1.981,-1.423,3.341,45
ppt13,nd,pic,0.408,0.62,0.028,-1.793,-0.589,86
ppt14,ug,desc,-0.507,-2.485,-0.306,-0.421,0.79,43
ppt15,pg,pic,-0.255,-1.495,-0.6,1.442,1.305,31
ppt16,pg,none,1.203,-1.182,1.67,-0.563,1.08,48
ppt17,pg,pic,-1.403,0.191,0.927,0.933,1.465,33
ppt18,ug,pic,0.197,-0.39,1.694,-0.355,-0.177,50
ppt19,pg,desc,0.388,0.521,-0.054,1.367,1.209,42
ppt20,ug,desc,-0.93,-0.236,0.055,-1.543,-0.061,39
ppt21,ug,none,-1.308,0.899,0.952,0.601,-0.213,48
ppt22,pg,desc,1.329,-1.098,-0.3,0.926,0.013,44
ppt23,ug,desc,-0.009,1.417,-0.702,-1.151,-1.227,49
ppt24,ug,pic,-1.375,0.257,1.617,-0.602,-0.124,37
ppt25,ug,desc,-1.619,-0.048,0.142,1.156,0.989,60
ppt26,pg,pic,-1.312,0.628,1.218,-0.415,-1.144,41
ppt27,pg,desc,0.669,-1.172,-0.019,1.574,-0.83,58
ppt28,pg,none,1.229,-0.449,-0.156,-1.526,-0.703,43
ppt29,ug,pic,-1.257,-0.519,-0.561,-1.034,0.462,38
ppt30,nd,pic,-0.026,-0.678,1.47,-1.523,-0.331,64
ppt31,pg,pic,0.801,0.32,-0.938,-0.16,0.186,33
ppt32,nd,pic,0.361,-0.407,-1.54,-0.246,-0.324,71
ppt33,nd,pic,-0.076,0.642,0.735,0.527,0.813,65
ppt34,pg,none,0.464,-0.123,0.288,0.795,-1.2,24
ppt35,ug,none,1.21,0.51,-0.297,-0.003,0.366,57
ppt36,nd,none,0.42,0.853,0.151,1.914,-1.394,63
ppt37,pg,desc,-0.407,0.288,1.146,-0.273,1.276,39
ppt38,pg,pic,0.048,0.486,0.942,-0.669,0.295,38
ppt39,pg,pic,-0.786,0.466,0.355,-0.484,2.152,45
ppt40,ug,none,-0.899,1.332,0.003,-3.138,0.27,39
ppt41,nd,desc,-0.461,-1.931,-1.447,-0.705,-1.559,67
ppt42,nd,none,-0.094,0.879,0.056,0.581,-1.254,63
ppt43,ug,desc,-0.507,-2.396,-0.46,-1.521,-0.157,54
ppt44,pg,pic,0.419,-0.203,0.96,1.126,-0.388,45
ppt45,ug,desc,0.592,-0.206,1.03,-1.083,-1.831,58
ppt46,nd,desc,0.017,-0.041,-0.065,0.25,0.07,68
ppt47,ug,none,2.785,-0.345,2.31,-2.38,-0.486,38
ppt48,ug,desc,0.265,0.217,-1.798,-0.396,1.176,53
ppt49,nd,desc,0.561,-0.813,0.89,-1.102,0.569,63
ppt50,nd,pic,-0.571,-2.347,1.429,-0.13,-2.022,65
ppt51,pg,desc,0.248,1.7,-1.444,-1.741,0.541,54
ppt52,ug,pic,1.392,1.243,0.74,0.554,-0.679,60
ppt53,nd,none,0.002,0.998,-1.864,1.353,-0.087,69
ppt54,ug,none,0.595,-0.283,0.185,-0.205,-1.917,54
ppt55,pg,pic,0.961,2.42,-3.062,-1.515,0.507,25
ppt56,pg,none,-2.092,-1.177,-0.352,-1.216,-0.201,27
ppt57,pg,desc,0.001,0.421,-2.86,1.133,1.172,58
ppt58,pg,none,0.366,1.146,0.72,-0.223,0.541,44
ppt59,pg,desc,0.063,-1.524,0.777,-0.705,0.668,34
ppt60,ug,none,-1.327,-0.55,-0.283,-1.826,1.239,55
ppt61,ug,desc,0.025,-0.062,1.018,0.404,1.843,61
ppt62,ug,none,1.045,1.672,0.263,1.001,0.734,39
ppt63,ug,pic,-1.892,0.165,1.038,-0.878,0.192,47
ppt64,ug,desc,1.057,0.863,1.318,-0.802,-1.607,42
ppt65,pg,desc,0.975,1.347,-1.05,0.539,-0.99,38
ppt66,pg,desc,0.589,0.079,-0.71,-0.471,-0.874,41
ppt67,ug,pic,0.506,2.413,-0.955,1.686,0.602,68
ppt68,ug,none,-0.807,-1.32,-1.658,-1.145,-0.754,42
ppt69,ug,none,-0.813,-2.242,-0.296,0.231,-0.57,44
ppt70,nd,pic,0.225,-1.479,0.873,1.243,-0.103,74
ppt71,nd,pic,-0.961,-0.639,0.013,-0.075,0.133,58
ppt72,nd,none,-0.466,1.091,0.708,-0.11,-0.461,36
ppt73,nd,none,1.536,-1.076,-1.166,0.548,0.172,63
ppt74,ug,none,-0.559,0.028,-0.522,-0.115,2.112,34
ppt75,ug,pic,0.413,0.459,0.5,1.031,-0.61,55
ppt76,ug,none,0.461,0.198,1.292,-0.784,-0.823,42
ppt77,pg,none,1.647,0.184,-1.304,0.605,0.154,43
ppt78,ug,desc,-0.288,-0.561,0.794,-0.605,-1.24,45
ppt79,pg,none,-1.162,-0.893,0.357,-1.16,0.703,45
ppt80,nd,desc,-1.074,-1.17,-0.291,-0.723,0.442,57
ppt81,pg,desc,-1.405,-0.946,0.88,-1.092,2.379,49
ppt82,ug,desc,0.246,-0.564,-0.269,1.565,0.055,63
ppt83,ug,pic,-1.178,0.702,2.174,0.862,-1.779,60
ppt84,pg,desc,-0.569,-0.216,0.979,-0.991,0.645,46
ppt85,nd,desc,0.169,-0.579,0.713,-1.075,0.706,57
ppt86,ug,pic,0.746,-0.775,0.773,-1.154,1.053,54
ppt87,nd,desc,-0.092,0.681,0.25,1.314,0.598,86
ppt88,ug,pic,1.598,-1.029,-0.733,-0.322,0.479,57
ppt89,nd,none,-0.649,-1.198,-1.314,0.82,1.643,60
ppt90,pg,none,-0.807,0.21,0.369,-0.254,0.341,49
ppt91,pg,none,-0.673,0.872,-0.299,1.894,-1.019,34
ppt92,pg,pic,1.012,1.252,0.88,-0.027,-0.22,45
ppt93,ug,desc,0.165,0.732,1.799,-0.77,-0.35,52
ppt94,nd,none,-0.546,1.548,-0.785,-0.614,-0.037,48
ppt95,ug,pic,-0.676,1.094,-0.184,-0.588,-0.984,43
ppt96,pg,none,0.916,-1.911,2.01,-1.305,0.611,41
ppt97,nd,desc,0.205,0.359,2.75,0.985,0.21,55
ppt98,nd,none,-1.71,-0.325,-0.653,1.148,-2.241,56
ppt99,ug,pic,-0.648,1.491,-1.125,-0.392,0.559,49
ppt100,pg,desc,-0.28,0.288,-0.367,-0.317,0.31,31
ppt101,ug,none,-0.511,0.89,1.725,-1.016,-0.71,29
ppt102,pg,desc,0.051,0.585,1.676,0.678,-1.397,40
ppt103,nd,none,-1.317,-2.33,-1.684,-1.449,0.638,62
ppt104,ug,none,0.844,1.021,-1.077,-0.74,0.827,67
ppt105,pg,pic,0.379,0.093,-0.956,-0.841,-0.265,43
ppt106,nd,desc,0.067,-0.902,0.196,-1.188,-0.205,71
ppt107,nd,pic,0.102,0.024,1.138,0.465,0.205,82
ppt108,nd,none,0.332,-0.523,1.542,1.591,-0.488,59
ppt109,ug,pic,0.994,-0.852,-1.009,0.25,0.672,62
ppt110,pg,desc,-0.853,-1.285,0.168,-0.765,-1.565,26
ppt111,pg,pic,0.831,-0.679,2.518,0.488,-0.034,44
ppt112,nd,desc,0.613,0.714,-1.851,-0.044,-0.744,71
ppt113,nd,desc,-0.232,0.233,-0.223,0.382,-0.5,75
ppt114,pg,pic,-1.014,0.104,-1.016,0.469,0.077,48
ppt115,pg,desc,1.28,0.202,0.573,-0.736,1.224,32
ppt116,ug,pic,-0.75,0.846,-0.188,0.95,-2.539,53
ppt117,ug,none,0.139,-0.59,0.29,0.135,-1.242,46
ppt118,nd,desc,0.657,0.39,0.302,-1.619,-1.428,65
ppt119,ug,pic,-0.094,-0.078,2.889,0.429,1.003,49
ppt120,pg,none,0.142,0.922,1.249,-0.414,-0.853,44
ppt121,nd,none,-0.944,-0.518,0.085,0.716,0.949,58
ppt122,ug,pic,-1.632,-1.634,0.424,1.631,-1.01,47
ppt123,nd,pic,-0.123,0.012,-1.637,0.455,-1.052,60
ppt124,nd,none,0.598,-0.959,-0.855,-0.504,-0.084,51
ppt125,pg,desc,-0.251,1.085,0.412,-1.26,-0.169,48
ppt126,pg,pic,-1.476,-0.831,-0.518,-0.465,-1.371,47
ppt127,pg,none,1.616,0.578,-0.417,-1.12,-1.244,45
ppt128,ug,desc,0.201,0.9,-1.59,-0.935,-0.139,46
ppt129,ug,desc,1.531,-0.757,-0.892,0.65,1.835,54
ppt130,ug,desc,0.092,-0.272,-1.03,-1.282,-0.543,49
ppt131,ug,pic,0.252,3.301,-0.27,-1.067,-0.361,53
ppt132,pg,desc,-0.148,0.562,0.262,-0.638,0.413,41
ppt133,nd,pic,1.319,1.238,0.782,0.661,1.292,93
ppt134,nd,pic,-1.355,-0.803,0.025,0.616,-1.676,64
ppt135,pg,desc,-0.079,-0.575,-0.172,0.768,0.19,45
ppt136,ug,none,0.463,-1.256,-0.574,-0.387,1.599,43
ppt137,pg,none,0.329,0.058,0.101,-2.236,0.604,46
ppt138,nd,desc,-0.585,0.916,-1.238,0.912,0.252,72
ppt139,ug,none,0.083,-2.326,0.637,-2.636,-0.731,41
ppt140,ug,desc,0.447,1.939,0.58,1.02,0.576,40
ppt141,nd,desc,0.335,0.14,-1.019,-0.606,1.969,63
ppt142,nd,none,-0.116,0.96,1.17,1.125,-0.681,61
ppt143,nd,desc,0.369,1.299,0.908,0.286,1.051,71
ppt144,nd,none,0.847,-0.47,-0.322,-0.825,-0.375,66
ppt145,ug,pic,-0.557,-0.495,-0.866,0.42,0.428,48
ppt146,ug,pic,-0.287,-0.368,0.356,-1.394,-0.933,48
ppt147,ug,none,-2.501,-0.009,0.292,-0.508,-0.207,43
ppt148,nd,desc,-0.256,0.834,-0.908,0.301,-0.399,63
ppt149,pg,desc,0.221,1.13,-0.696,0.832,2.047,43
ppt150,ug,desc,-0.05,-0.348,-0.665,0.778,-1.451,36
ppt151,pg,pic,1.071,-1.294,-0.715,0.467,-0.129,40
ppt152,pg,none,-1.393,-1.636,0.633,-0.239,1.385,33
ppt153,nd,pic,0.144,1.313,-0.104,0.007,-0.185,79
ppt154,nd,none,-0.848,0.19,-0.906,-1.504,-0.918,50
ppt155,pg,pic,-0.109,-0.138,0.175,-0.57,0.298,49
ppt156,nd,pic,0.423,-0.299,0.324,-0.084,0.669,68
ppt157,pg,pic,0.641,-0.494,1.437,-1.145,0.709,53
ppt158,pg,desc,-0.86,-0.807,0.25,-0.46,-1.553,42
ppt159,pg,pic,-2.156,-0.875,0.38,-0.401,-0.601,32
ppt160,nd,desc,1.178,-1.922,-0.038,0.264,-0.07,65
ppt161,pg,none,0.528,2.313,-0.021,-0.061,-0.895,43
ppt162,nd,pic,1.452,-0.664,-0.749,-0.401,-0.855,72
ppt163,pg,none,-1.178,0.412,0.301,1.206,0.752,37
ppt164,pg,pic,0.801,-0.475,0.857,-0.422,1.265,46
ppt165,nd,desc,-0.034,1.068,0.07,0.354,0.182,80
ppt166,ug,pic,0.861,0.035,-0.581,-1.135,0.416,58
ppt167,pg,pic,-2.343,-0.214,-0.6,-1.568,-0.205,36
ppt168,nd,desc,-0.344,1.206,0.469,0.245,-0.109,72
ppt169,nd,pic,1.057,1.537,-0.237,-1.305,-0.152,70
ppt170,pg,none,2.147,1.888,0.162,0.945,-1.166,54
ppt171,ug,pic,0.064,-0.468,-2.184,1.31,0.062,52
ppt172,pg,pic,0.173,-0.972,0.84,1.154,-0.044,52
ppt173,pg,none,-1.506,-0.503,-1.202,-0.697,-1.813,34
ppt174,pg,pic,-0.533,0.924,0.136,0.172,-0.339,46
ppt175,pg,desc,-0.399,0.652,0.411,-0.284,-0.136,35
ppt176,ug,desc,0.592,0.702,-0.432,-1.128,0.885,53
ppt177,ug,pic,0.948,-0.37,-1.289,-1.344,1.907,55
ppt178,nd,pic,-1.239,1.21,-0.586,-0.572,1.939,74
ppt179,ug,desc,0.375,-0.752,-0.49,-0.625,-1.31,43
ppt180,nd,pic,-1.136,1.22,-1.71,0.881,0.703,66
ppt181,pg,none,-0.391,1.088,1.986,-1.357,-0.093,35
ppt182,pg,pic,1.78,1.261,0.745,-0.124,0.678,37
ppt183,ug,pic,-0.07,-1.47,-1.339,0.516,0.127,50
ppt184,nd,none,-0.762,0.554,-1.008,-0.018,0.438,60
ppt185,ug,pic,0.333,-0.487,0.607,-0.847,0.152,56
ppt186,ug,pic,1.36,0.801,0.131,-0.681,0.679,69
ppt187,pg,desc,-0.98,-0.523,1.484,-0.134,1.049,38
ppt188,ug,none,-0.556,1.222,1.05,2.251,1.164,38
ppt189,ug,none,-0.215,-1.964,-0.072,1.587,0.32,35
ppt190,ug,none,-1.42,-0.1,1.154,-0.369,-2.089,22
ppt191,ug,desc,-0.529,-0.067,0.458,-0.376,0.787,37
ppt192,pg,none,0.327,-0.491,-1.197,0.017,0.567,27
ppt193,nd,none,-0.269,-0.785,-1.267,0.575,-0.38,54
ppt194,pg,pic,-2.404,-0.954,1.364,-2.995,0.708,29
ppt195,ug,desc,-0.18,-1.627,-0.46,0.82,0.013,55
ppt196,ug,none,-0.233,-0.334,-1.225,0.084,0.627,45
ppt197,ug,desc,-1.053,1.428,-0.789,0.08,-1.126,61
ppt198,ug,none,-0.575,-1.417,0.994,-1.437,2.161,46
ppt199,pg,desc,-1.224,0.76,-1.683,-2.059,-1.174,37
ppt200,pg,pic,-0.085,-1.469,0.619,-0.652,2.273,38
ppt201,pg,desc,-0.106,0.406,-0.209,1.243,-1.105,43
ppt202,nd,none,0.61,-0.747,-0.839,-0.364,0.409,63
ppt203,nd,none,-0.469,-1.387,1.825,-0.078,1.103,58
ppt204,nd,desc,-1.822,-1.698,-0.284,0.652,-0.848,52
ppt205,nd,pic,0.001,0.993,0.761,-1.022,0.601,51
ppt206,nd,none,0.445,-0.304,-1.352,0.654,0.173,60
ppt207,nd,desc,-0.668,-0.925,0.007,-0.032,-0.253,55
ppt208,pg,none,-0.021,2.077,-0.218,-0.461,-1.285,26
ppt209,nd,desc,1.517,1.262,0.734,-1.029,-1.106,57
ppt210,nd,none,0.537,1.157,-2.476,-0.236,-0.271,62
ppt211,nd,pic,-1.993,0.259,0.385,0.572,-0.537,73
ppt212,nd,none,-0.086,0.656,-0.425,0.154,0.524,55
ppt213,nd,pic,-1.28,-0.158,-0.134,-0.383,-0.252,77
ppt214,ug,none,1.986,-1.601,1.073,-1.726,-1.589,55
ppt215,nd,desc,-0.196,1.095,0.838,1.289,0.063,58
ppt216,ug,none,-1.236,0.45,0.501,-0.476,-0.559,39
ppt217,nd,none,0.12,-0.021,2.462,2.468,-2.655,58
ppt218,nd,pic,0.764,0.625,-1.56,0.698,0.095,68
ppt219,ug,desc,-0.758,-0.673,-0.173,2.217,-0.294,57
ppt220,nd,none,-0.605,-0.519,0.962,-0.151,0.455,65
ppt221,nd,pic,-0.44,1.016,-0.358,-0.128,0.644,69
ppt222,pg,none,-0.331,0.601,-0.179,-1.056,-1.444,43
ppt223,nd,pic,-0.923,0.215,-1.251,1.587,0.08,73
ppt224,pg,pic,0.272,-1.641,1.396,-0.289,-0.197,25
ppt225,nd,desc,1.049,-1.158,0.623,-1.099,1.535,51
ppt226,nd,none,0.516,1.524,-1.616,-0.997,0.582,53
ppt227,nd,none,0.266,-1.12,0.627,0.654,1.57,66
ppt228,ug,desc,-2.467,-1.17,0.158,-1.189,0.309,47
ppt229,nd,none,-0.584,-1.045,-0.618,-0.155,1.234,56
ppt230,pg,none,1.137,0.619,2.677,0.105,0.62,49
ppt231,ug,pic,-0.548,-0.603,0.664,-0.869,-0.543,38
ppt232,ug,none,0.078,0.77,-2.192,-0.302,-1.282,43
ppt233,pg,none,-1.794,-0.377,0.875,-0.022,-2.379,34
ppt234,pg,desc,-2.856,-0.52,0.474,0.026,0.312,34
ppt235,pg,desc,-0.733,0.365,0.515,0.838,1.306,52
ppt236,ug,pic,-0.266,1.106,-0.157,0.443,-0.491,55
ppt237,nd,pic,-0.328,0.417,0.189,-2.471,-0.055,86
ppt238,nd,desc,1.472,1.282,-0.201,-0.346,1.735,76
ppt239,nd,desc,1.771,-1.122,-0.004,-0.368,1.596,76
ppt240,ug,none,0.292,1.937,-0.594,1.373,-0.504,42
ppt241,nd,pic,0.571,1.075,-1.002,-1.232,-0.17,78
ppt242,ug,desc,0.32,0.778,-2.16,-0.571,-0.465,58
ppt243,pg,none,0.978,-1.075,0.534,0.28,0.318,37
ppt244,nd,desc,0.77,-0.57,-1.201,1.816,-1.135,69
ppt245,pg,none,0.748,1.665,-1.076,-0.011,-0.82,44
ppt246,nd,pic,1.35,0.607,-1.127,-0.451,-0.266,80
ppt247,pg,pic,1.578,-1.218,-0.323,-0.741,0.399,47
ppt248,nd,pic,-1.568,-0.222,-1.128,0.102,2.152,67
ppt249,pg,none,0.432,-0.716,0.354,-0.787,1.851,36
ppt250,pg,none,1.224,-0.205,0.42,0.831,-1.336,43
ppt251,ug,none,0.203,-0.076,-0.796,-1.602,-0.345,49
ppt252,ug,desc,0.667,-1.198,-0.498,-1.285,1.327,39
ppt253,nd,pic,-1.673,-0.542,-0.575,0.503,-0.635,64
ppt254,ug,desc,1.013,-0.008,0.086,0.885,-1.224,59
ppt255,ug,none,-0.514,-0.291,-0.479,1.084,-0.909,39
ppt256,nd,desc,0.527,0.768,0.121,1.341,-0.071,50
ppt257,nd,none,-1.429,1.29,-0.13,-0.205,-0.156,59
ppt258,pg,pic,0.047,-0.004,-0.849,0.175,0.323,43
ppt259,nd,desc,-0.597,1.065,0.73,1.351,-0.081,66
ppt260,pg,none,-0.904,0.345,-0.514,-1.341,1.306,44
ppt261,pg,none,-0.278,0.63,-0.382,0.597,-1.011,49
ppt262,ug,desc,1.357,-1.244,-0.951,-1.096,-0.764,42
ppt263,pg,pic,-0.213,-0.015,0.416,0.801,2.093,54
ppt264,ug,none,-1.397,0.176,-0.781,-0.267,-0.537,50
ppt265,ug,pic,-1.158,-0.072,0.228,0.528,-0.411,47
ppt266,nd,desc,-4.47,-2.001,0.819,1.752,0.948,67
ppt267,pg,pic,0.553,0.617,0.755,-0.298,0.287,33
ppt268,nd,none,-0.335,1.227,0.533,0.691,1.965,60
ppt269,nd,desc,-1.074,-1.345,-0.29,0.217,0.141,45
ppt270,nd,pic,-0.886,-0.671,0.137,-0.304,0.209,74
