PID,H,E,X,A,C,O,observation_condition,retrieval_cue,recall_score
ppt1,232,167,149,140,184,232,partial photo,photo,26
ppt2,300,247,166,192,193,171,partial photo,name,11
ppt3,222,184,143,169,226,155,whole photo,photo,22
ppt4,217,200,128,132,225,164,whole photo,photo,18
ppt5,226,237,151,202,128,143,whole photo,photo,9
ppt6,199,66,154,202,220,166,partial photo,photo,36
ppt7,186,240,142,157,173,197,partial photo,photo,17
ppt8,238,236,168,185,166,210,whole photo,photo,18
ppt9,223,103,212,198,138,171,whole photo,photo,33
ppt10,222,117,131,172,190,103,whole photo,name,23
ppt11,281,140,185,216,188,189,whole photo,name,29
ppt12,249,178,148,168,182,184,whole photo,photo,23
ppt13,162,236,157,178,212,194,whole photo,photo,15
ppt14,169,142,137,180,249,176,partial photo,photo,29
ppt15,267,122,132,128,235,193,whole photo,photo,34
ppt16,179,137,80,145,219,166,look only,name,24
ppt17,185,79,165,204,171,174,look only,name,37
ppt18,239,197,162,173,188,144,look only,photo,21
ppt19,229,181,132,179,144,173,whole photo,photo,21
ppt20,176,191,160,185,159,126,partial photo,name,16
ppt21,211,152,167,228,278,169,whole photo,name,26
ppt22,220,156,181,136,182,162,look only,name,25
ppt23,245,174,140,205,237,216,whole photo,name,28
ppt24,204,236,139,187,183,224,whole photo,name,20
ppt25,200,144,134,112,237,143,partial photo,photo,25
ppt26,201,66,120,132,179,150,whole photo,photo,34
ppt27,207,192,152,175,180,220,partial photo,name,23
ppt28,245,241,153,144,173,211,look only,photo,20
ppt29,286,90,198,129,133,220,look only,photo,40
ppt30,197,190,116,188,146,160,whole photo,photo,20
ppt31,292,191,181,136,159,194,look only,name,23
ppt32,226,170,172,211,166,115,look only,photo,19
ppt33,219,175,117,176,154,203,partial photo,photo,30
ppt34,270,228,143,181,214,139,look only,name,10
ppt35,211,161,203,168,244,134,look only,name,23
ppt36,188,112,226,157,220,241,whole photo,photo,37
ppt37,191,185,187,133,250,128,look only,photo,19
ppt38,174,146,165,151,261,156,look only,name,23
ppt39,239,145,139,230,176,185,look only,name,27
ppt40,231,99,156,148,154,178,look only,name,35
ppt41,257,73,132,165,282,84,look only,name,28
ppt42,261,151,203,219,158,182,whole photo,name,28
ppt43,217,194,169,178,118,167,look only,photo,21
ppt44,226,175,168,101,142,198,partial photo,photo,23
ppt45,217,129,184,180,120,217,partial photo,photo,34
ppt46,210,140,137,171,179,154,partial photo,photo,26
ppt47,229,207,176,163,171,180,whole photo,photo,22
ppt48,202,89,136,167,211,183,partial photo,name,34
ppt49,230,131,164,142,167,141,partial photo,name,24
ppt50,219,150,192,158,191,127,partial photo,photo,22
ppt51,216,213,201,115,171,208,whole photo,name,20
ppt52,192,79,194,263,129,223,look only,photo,42
ppt53,173,152,155,214,197,193,look only,name,29
ppt54,245,229,175,204,194,194,look only,photo,19
ppt55,176,170,116,158,177,183,whole photo,name,25
ppt56,187,200,155,235,207,185,whole photo,photo,20
ppt57,231,106,163,173,158,165,look only,name,32
ppt58,261,201,160,156,218,251,whole photo,photo,26
ppt59,259,230,144,125,243,145,partial photo,photo,12
ppt60,300,108,167,156,137,217,partial photo,name,38
ppt61,194,181,157,105,244,170,look only,photo,24
ppt62,190,85,123,179,217,134,whole photo,name,33
ppt63,256,200,136,181,217,202,partial photo,photo,23
ppt64,211,216,157,185,219,150,partial photo,name,16
ppt65,189,187,155,183,166,200,whole photo,photo,24
ppt66,278,106,126,182,177,191,whole photo,name,34
ppt67,288,143,172,179,154,185,partial photo,name,26
ppt68,244,179,198,123,201,233,partial photo,name,30
ppt69,241,74,154,155,173,181,look only,name,36
ppt70,243,145,158,196,213,193,whole photo,photo,28
ppt71,239,157,118,156,133,161,partial photo,name,24
ppt72,227,108,162,206,253,159,look only,photo,33
ppt73,196,136,207,221,206,143,look only,name,23
ppt74,218,197,179,193,169,113,whole photo,photo,16
ppt75,259,182,139,188,219,158,whole photo,name,20
ppt76,239,203,190,190,191,195,whole photo,name,22
ppt77,298,190,197,116,209,218,whole photo,name,24
ppt78,215,122,169,155,140,199,whole photo,photo,33
ppt79,249,110,156,215,203,240,partial photo,name,37
ppt80,240,148,141,191,152,165,partial photo,name,24
ppt81,264,156,158,166,211,195,look only,photo,29
ppt82,240,161,166,140,185,191,look only,name,26
ppt83,219,190,148,160,128,127,partial photo,name,17
ppt84,248,153,184,176,141,195,partial photo,name,27
ppt85,242,163,139,114,215,196,partial photo,name,27
ppt86,286,185,141,174,156,207,whole photo,photo,27
ppt87,150,147,143,111,128,201,partial photo,photo,30
ppt88,276,125,112,153,172,176,whole photo,name,30
ppt89,211,135,201,181,186,176,look only,name,29
ppt90,244,136,138,151,224,168,partial photo,photo,28
ppt91,253,149,154,192,195,182,whole photo,name,27
ppt92,255,145,207,143,149,127,partial photo,photo,22
ppt93,232,221,135,168,150,144,look only,photo,14
ppt94,188,258,173,213,189,177,partial photo,name,14
ppt95,245,177,123,151,258,139,partial photo,photo,21
ppt96,228,132,157,192,149,142,whole photo,photo,25
ppt97,264,121,138,170,184,151,partial photo,name,29
ppt98,194,124,146,181,266,182,whole photo,name,30
ppt99,232,146,168,204,253,167,partial photo,photo,28
ppt100,225,135,164,178,182,202,partial photo,photo,31
ppt101,274,159,145,151,196,154,whole photo,name,22
ppt102,216,136,132,211,186,218,look only,name,34
ppt103,183,208,163,192,148,217,partial photo,name,21
ppt104,267,183,121,159,178,164,whole photo,photo,19
ppt105,225,150,168,185,168,179,whole photo,photo,27
ppt106,227,112,148,188,175,185,whole photo,photo,34
ppt107,260,129,153,168,152,224,look only,photo,37
ppt108,215,131,141,191,199,148,whole photo,photo,25
ppt109,266,114,151,139,244,153,whole photo,name,28
ppt110,251,155,139,214,233,162,partial photo,name,23
ppt111,187,164,145,137,184,191,look only,photo,26
ppt112,251,97,188,159,127,117,look only,name,28
ppt113,268,141,230,185,190,223,look only,photo,34
ppt114,212,154,178,170,215,159,look only,photo,26
ppt115,237,79,132,166,175,171,look only,name,36
ppt116,258,203,167,119,129,113,partial photo,name,12
ppt117,250,91,164,190,213,148,look only,photo,32
ppt118,261,162,159,177,182,181,whole photo,name,26
ppt119,172,124,143,155,144,120,whole photo,name,25
ppt120,218,139,152,118,128,174,look only,name,30
ppt121,234,163,135,142,184,174,partial photo,photo,25
ppt122,203,122,139,149,216,169,partial photo,name,27
ppt123,272,147,141,184,175,100,look only,photo,18
ppt124,214,60,134,230,195,155,whole photo,name,37
ppt125,244,173,223,150,184,212,partial photo,photo,28
ppt126,175,165,136,133,179,185,look only,name,24
ppt127,222,176,108,142,122,182,partial photo,name,22
ppt128,261,179,166,188,208,182,look only,name,25
ppt129,193,206,187,177,146,164,whole photo,photo,17
ppt130,258,104,134,125,155,153,look only,photo,33
ppt131,217,119,166,176,198,155,whole photo,name,26
ppt132,164,197,174,154,255,214,whole photo,photo,24
ppt133,212,225,164,164,209,174,look only,name,17
ppt134,257,151,174,179,217,188,whole photo,photo,30
ppt135,214,156,128,217,131,173,whole photo,name,24
ppt136,246,189,111,168,170,149,partial photo,photo,16
ppt137,233,180,175,171,204,177,whole photo,photo,23
ppt138,184,201,159,148,138,184,look only,name,21
ppt139,228,155,157,177,117,145,partial photo,photo,23
ppt140,238,158,209,222,226,222,whole photo,photo,30
ppt141,212,149,184,214,188,191,look only,photo,32
ppt142,218,151,133,178,258,188,look only,name,27
ppt143,257,139,135,164,203,179,whole photo,photo,27
ppt144,257,164,106,152,183,189,look only,photo,30
ppt145,176,164,191,202,165,188,partial photo,photo,27
ppt146,211,125,170,166,141,163,look only,photo,31
ppt147,137,140,153,181,222,187,partial photo,photo,29
ppt148,234,217,135,163,213,137,whole photo,photo,13
ppt149,265,116,121,143,150,166,partial photo,photo,28
ppt150,276,116,181,175,168,108,look only,name,24
ppt151,198,220,150,260,207,154,look only,name,17
ppt152,158,258,147,170,162,161,whole photo,name,9
ppt153,156,167,197,199,191,136,look only,name,20
ppt154,236,205,174,253,219,199,look only,photo,22
ppt155,207,155,145,209,137,217,look only,name,28
ppt156,227,92,161,154,189,190,partial photo,name,36
ppt157,145,159,104,182,171,134,look only,name,22
ppt158,210,183,151,186,131,237,look only,name,27
ppt159,276,131,174,125,159,168,whole photo,name,26
ppt160,233,98,164,201,215,138,look only,photo,31
ppt161,236,129,156,160,175,152,whole photo,photo,27
ppt162,239,122,135,181,157,140,look only,name,27
ppt163,208,220,157,158,188,205,partial photo,name,20
ppt164,254,253,197,117,200,142,partial photo,name,8
ppt165,NA,NA,NA,NA,NA,NA,partial photo,name,14
ppt166,224,250,128,173,138,169,partial photo,photo,11
ppt167,272,124,150,255,213,147,whole photo,name,27
ppt168,247,83,108,155,195,171,partial photo,name,36
ppt169,242,152,188,173,209,191,whole photo,name,25
ppt170,217,147,124,161,210,60,partial photo,photo,12
ppt171,129,138,105,159,113,209,partial photo,photo,31
ppt172,209,119,115,144,261,141,partial photo,photo,25
ppt173,270,126,153,128,227,233,whole photo,name,33
ppt174,230,242,133,168,149,185,look only,photo,17
ppt175,185,142,168,150,240,215,look only,name,31
ppt176,265,163,178,156,202,165,partial photo,name,25
ppt177,220,234,186,156,242,220,partial photo,name,17
ppt178,179,201,139,164,137,194,look only,photo,23
ppt179,255,236,193,107,214,173,whole photo,name,14
ppt180,247,111,146,178,124,223,partial photo,name,38
ppt181,197,78,129,132,157,236,whole photo,photo,40
ppt182,219,111,167,145,207,149,whole photo,photo,26
ppt183,177,172,199,192,253,218,look only,photo,29
ppt184,211,136,148,203,88,197,look only,photo,33
ppt185,233,221,177,176,157,211,look only,name,21
ppt186,240,213,142,124,179,93,look only,photo,12
ppt187,272,200,129,132,130,158,look only,photo,22
ppt188,275,236,123,173,186,77,look only,name,6
ppt189,213,208,98,154,108,183,look only,photo,19
ppt190,267,119,207,165,182,136,look only,name,25
ppt191,201,60,192,155,193,140,partial photo,name,36
ppt192,237,116,162,192,130,170,look only,name,32
ppt193,186,138,173,140,279,203,look only,photo,35
ppt194,194,196,150,179,179,148,partial photo,photo,18
ppt195,240,163,150,126,102,157,look only,name,24
ppt196,248,208,176,194,208,176,look only,photo,18
ppt197,193,148,147,194,180,154,partial photo,photo,26
ppt198,275,75,143,181,149,207,partial photo,name,42
ppt199,249,60,122,188,177,162,partial photo,name,37
ppt200,171,201,147,192,190,238,whole photo,photo,25
ppt201,225,151,152,200,146,174,look only,photo,30
ppt202,190,120,168,166,211,183,partial photo,name,32
ppt203,217,135,182,195,185,120,whole photo,name,23
ppt204,235,151,112,185,165,227,partial photo,photo,33
ppt205,260,248,131,192,158,129,partial photo,photo,10
ppt206,293,157,107,142,175,122,look only,photo,22
ppt207,251,220,129,169,206,168,partial photo,name,17
ppt208,239,191,143,147,168,192,partial photo,photo,21
ppt209,278,216,145,162,141,166,whole photo,photo,16
ppt210,202,207,123,135,234,151,look only,photo,18
ppt211,233,194,105,198,178,158,whole photo,name,18
ppt212,291,144,199,212,141,169,whole photo,name,25
ppt213,247,150,135,160,160,213,look only,photo,33
ppt214,213,236,124,204,108,153,partial photo,name,13
ppt215,212,223,143,180,147,151,partial photo,name,14
ppt216,255,139,183,236,233,197,partial photo,name,30
ppt217,162,156,164,182,125,78,partial photo,name,16
ppt218,226,83,133,174,224,183,look only,name,38
ppt219,295,214,129,198,174,204,look only,name,24
ppt220,292,102,144,210,151,146,whole photo,name,30
ppt221,176,207,102,143,179,157,look only,photo,18
ppt222,229,174,148,197,219,194,partial photo,photo,25
ppt223,266,173,164,185,136,171,partial photo,name,22
ppt224,171,118,160,131,171,161,partial photo,photo,30
ppt225,273,170,193,225,212,130,whole photo,photo,18
ppt226,254,211,197,175,219,128,whole photo,name,14
ppt227,211,177,164,168,162,229,whole photo,photo,26
ppt228,228,245,191,165,160,195,partial photo,name,14
ppt229,170,70,141,193,219,124,look only,photo,34
ppt230,235,104,120,218,166,139,look only,name,30
ppt231,134,140,155,186,172,136,look only,photo,25
ppt232,264,188,142,145,111,165,partial photo,photo,21
ppt233,164,99,179,156,275,231,partial photo,name,40
ppt234,206,183,129,126,161,194,look only,name,23
ppt235,226,151,162,198,219,193,whole photo,photo,28
ppt236,242,188,202,121,186,188,partial photo,photo,19
ppt237,119,174,125,162,283,165,whole photo,name,21
ppt238,254,191,160,180,179,145,whole photo,photo,20
ppt239,156,143,150,158,194,203,partial photo,photo,31
ppt240,227,257,217,146,176,187,whole photo,photo,13
ppt241,159,137,201,138,183,199,partial photo,photo,32
ppt242,264,179,149,190,141,204,whole photo,photo,24
ppt243,252,171,152,204,104,179,look only,name,24
ppt244,230,128,133,171,153,140,whole photo,name,24
ppt245,214,86,142,164,144,214,look only,photo,44
ppt246,228,82,147,190,202,110,whole photo,name,31
ppt247,223,150,186,176,117,174,partial photo,name,26
ppt248,252,106,110,172,207,181,partial photo,photo,36
ppt249,277,205,163,223,209,187,partial photo,photo,18
ppt250,238,179,119,201,148,160,whole photo,name,22
ppt251,300,225,154,154,163,206,whole photo,photo,20
ppt252,242,146,115,151,183,145,partial photo,name,26
ppt253,172,158,141,210,170,182,look only,photo,25
ppt254,240,173,170,169,220,115,partial photo,name,16
ppt255,187,160,133,195,223,176,look only,name,27
ppt256,243,167,179,128,189,119,whole photo,name,18
ppt257,215,154,140,203,147,181,partial photo,photo,27
ppt258,247,126,136,167,172,172,whole photo,photo,29
ppt259,240,137,170,181,190,171,partial photo,photo,29
ppt260,184,103,152,167,175,171,look only,photo,34
ppt261,225,170,174,180,240,173,whole photo,name,23
ppt262,226,179,168,182,208,170,whole photo,name,23
ppt263,167,149,181,100,213,186,partial photo,name,29
ppt264,139,221,150,204,141,193,whole photo,name,16
ppt265,209,167,154,229,229,233,look only,name,31
ppt266,181,144,125,121,215,182,look only,photo,29
ppt267,183,228,204,182,156,136,partial photo,name,10
ppt268,195,140,133,224,158,202,partial photo,photo,31
ppt269,254,175,132,142,106,202,look only,name,27
ppt270,171,200,158,217,212,169,whole photo,name,17
ppt271,231,120,145,173,227,116,partial photo,name,24
ppt272,245,122,157,151,160,196,whole photo,photo,33
ppt273,263,116,150,149,206,226,whole photo,photo,36
ppt274,271,181,144,166,132,178,whole photo,name,22
ppt275,219,171,149,145,186,140,partial photo,photo,20
ppt276,163,201,171,133,220,158,partial photo,name,18
ppt277,158,125,143,211,241,222,whole photo,name,34
ppt278,243,192,142,173,186,143,whole photo,photo,17
ppt279,198,167,167,150,231,169,whole photo,name,24
ppt280,252,195,173,187,97,165,partial photo,photo,18
ppt281,228,147,142,225,121,188,look only,name,27
ppt282,228,187,125,144,184,134,look only,name,15
ppt283,209,124,198,131,195,173,look only,photo,31
ppt284,208,136,172,166,174,224,partial photo,photo,33
ppt285,174,142,131,153,200,134,partial photo,name,21
ppt286,242,71,148,173,178,100,look only,photo,32
ppt287,204,193,159,163,193,199,whole photo,name,21
ppt288,224,148,198,204,209,192,look only,photo,29
ppt289,146,158,171,170,180,158,look only,name,23
ppt290,236,121,161,146,172,143,whole photo,photo,27
ppt291,214,136,173,192,200,169,look only,photo,27
ppt292,241,230,120,229,221,199,whole photo,name,18
ppt293,241,183,132,218,187,169,look only,photo,25
ppt294,161,220,183,244,192,215,whole photo,name,24
ppt295,208,156,187,175,262,156,look only,name,23
ppt296,247,145,204,212,124,154,partial photo,photo,25
ppt297,265,151,159,136,230,158,whole photo,photo,26
ppt298,185,103,156,150,161,164,look only,photo,34
ppt299,261,197,202,180,129,138,whole photo,name,16
ppt300,208,155,169,183,173,204,partial photo,photo,29
ppt301,220,226,172,175,161,133,partial photo,name,12
