ID,age,location,N,E,O,A,C,srh
ID1,44,city,23,37,30,38,34,-0.12764568253310796
ID2,45,suburb,27,38,34,34,20,-1.9512398974185023
ID3,48,city,23,41,36,33,29,-0.048887782775679095
ID4,45,city,23,31,36,38,29,0.3929565520006182
ID5,49,city,26,28,31,43,30,-0.8560855071292947
ID6,36,city,23,37,34,34,34,0.30456019515643373
ID7,48,city,35,24,30,37,19,-1.5949607653905236
ID8,38,city,22,40,39,33,27,0.7271388044280228
ID9,33,city,29,29,31,38,19,-2.2645022045721137
ID10,46,city,27,31,32,45,37,0.8139804529906197
ID11,38,city,26,42,32,41,25,0.2665628707455391
ID12,47,countryside,28,34,33,39,31,-1.7651126507426096
ID13,46,countryside,26,33,33,45,25,1.8044046872775399
ID14,45,suburb,28,28,39,37,32,-1.4296799100009354
ID15,40,countryside,23,34,32,35,30,1.011373600241961
ID16,47,city,25,37,32,40,25,-0.4179667898700675
ID17,46,city,25,33,31,42,29,-0.23178051570422706
ID18,39,city,21,39,31,40,37,-0.22162047215066813
ID19,45,city,19,37,30,39,30,0.32269888398399016
ID20,36,city,18,24,26,45,34,0.4378342539220305
ID21,39,countryside,26,33,29,38,25,-0.0692570085209059
ID22,47,suburb,15,33,33,41,39,0.08700975842867699
ID23,36,city,23,34,29,40,25,-0.3049770264301552
ID24,36,city,26,37,33,37,26,0.20908249974154802
ID25,40,suburb,22,41,30,41,28,0.27672811142090664
ID26,43,city,25,28,27,41,25,0.7412847173088364
ID27,45,suburb,25,27,31,35,30,-1.8111088511001994
ID28,41,city,25,35,36,35,22,-1.5075652264419817
ID29,43,city,32,31,23,40,20,-1.1321263739507286
ID30,43,countryside,24,24,29,40,32,0.16618848533708674
ID31,35,city,24,38,32,43,34,2.505783680083669
ID32,30,city,23,42,32,40,35,1.1083626552040908
ID33,47,city,20,31,34,44,29,0.9476481509100239
ID34,49,city,26,37,33,39,36,1.4369948710687956
ID35,45,city,23,38,34,40,31,-1.6489584743177408
ID36,41,suburb,27,36,33,45,32,0.8374856249378342
ID37,46,suburb,21,31,26,42,29,1.2047967897962895
ID38,44,suburb,28,39,34,38,26,-0.17754941339451694
ID39,39,city,25,32,31,37,27,0.5567505036913061
ID40,42,city,25,49,38,35,31,-0.34249775185570214
ID41,39,city,18,41,35,42,31,1.4594301494232205
ID42,39,city,30,45,27,35,21,-1.2992930673197503
ID43,44,countryside,29,40,32,38,25,-0.6126072253103636
ID44,36,city,29,36,27,35,26,-0.634733845797546
ID45,37,countryside,29,36,30,38,27,1.0530518891321716
ID46,48,city,15,25,26,41,25,0.3005181414870504
ID47,40,city,20,40,35,41,35,0.10422045282334906
ID48,45,city,21,33,32,41,38,2.2076021007905093
ID49,39,countryside,29,34,29,35,23,-1.0050683970747747
ID50,41,city,31,23,29,37,28,-0.8805192009423162
ID51,55,city,24,33,34,36,34,-0.9280758704316304
ID52,44,city,26,36,34,35,13,-1.2308238373412688
ID53,44,city,23,35,31,37,29,0.4811217608733992
ID54,37,city,29,36,23,36,29,-0.4092717324483291
ID55,38,countryside,21,41,31,44,27,-1.183534831737708
ID56,42,city,17,32,31,38,34,-0.2784146666877089
ID57,37,city,23,33,33,36,27,-0.4157258897862771
ID58,45,city,27,37,32,39,30,1.709645011437891
ID59,44,suburb,33,36,34,34,28,-1.5210920125648364
ID60,39,suburb,28,42,36,32,34,0.2447895040865329
ID61,42,countryside,30,30,32,37,27,-0.2493193141737635
ID62,34,city,23,34,29,41,26,-0.9383062894567414
ID63,38,city,27,46,33,35,35,0.5455331968296637
ID64,46,city,17,33,36,42,31,0.8132362183980286
ID65,39,city,20,39,30,46,40,1.4346916703241397
ID66,42,city,21,40,35,39,23,0.0210835376737827
ID67,40,city,24,25,27,40,27,-0.13715708161620707
ID68,35,city,27,34,27,38,24,-0.27778925185813175
ID69,47,city,29,48,41,36,35,-0.34647581292222585
ID70,39,city,25,40,31,36,31,-0.49722863913383736
ID71,50,city,31,41,37,37,24,-2.41976466336393
ID72,36,city,23,31,27,37,35,0.19571462431529035
ID73,40,suburb,21,37,30,42,37,0.5587762235386006
ID74,41,city,27,33,29,41,26,-0.7534734795757229
ID75,45,countryside,30,38,33,40,30,-0.14424098209050493
ID76,42,city,26,33,37,42,25,-0.1440209497991221
ID77,47,suburb,26,41,34,35,26,0.4835218225129362
ID78,37,city,29,41,32,39,29,-0.6485570349940066
ID79,44,city,29,30,31,35,34,-0.7444081386144423
ID80,26,countryside,31,39,26,35,25,-0.4837595354470052
ID81,43,city,25,26,31,37,22,0.7467735311080104
ID82,32,city,21,43,28,38,32,1.864623914160731
ID83,39,city,23,33,26,37,23,0.17938958133302177
ID84,45,city,28,25,26,34,23,-2.1269404672769623
ID85,37,city,17,44,32,41,32,0.837908088630448
ID86,46,city,26,38,37,35,27,-0.781634446530764
ID87,45,suburb,26,39,36,40,32,0.5661682860944568
ID88,35,countryside,29,38,28,39,23,-0.013063251175655453
ID89,42,countryside,18,34,30,43,26,2.4038518488803158
ID90,38,suburb,23,28,31,38,31,-0.13299419904232865
ID91,39,city,21,36,30,42,31,0.4118453512591835
ID92,44,city,27,35,35,39,23,-1.465719481658838
ID93,43,city,27,36,35,38,32,0.9635366001366837
ID94,42,city,26,32,29,42,26,-0.006452949811131436
ID95,42,countryside,22,42,38,40,25,0.3376711869631994
ID96,46,suburb,24,38,31,39,25,0.011714118893584315
ID97,39,suburb,23,38,30,41,31,0.28268131590865164
ID98,44,city,31,24,28,37,23,-1.0539864310385976
ID99,40,city,39,32,36,36,19,-1.7228809167508887
ID100,47,city,21,37,36,43,34,0.5946442416450628
ID101,43,city,30,33,36,38,28,-2.2612716278174063
ID102,50,city,26,23,28,37,30,-1.531996683277417
ID103,42,city,17,48,38,45,36,1.8977528641243844
ID104,46,city,20,32,34,41,24,0.6682478849948933
ID105,46,suburb,29,33,36,38,27,-1.4324322032785315
ID106,50,city,24,36,30,42,32,-0.36282850538792916
ID107,42,city,27,31,32,34,26,-1.6088532479179494
ID108,42,city,27,35,29,40,28,0.5436796060639705
ID109,43,city,30,32,29,39,24,-1.677661785551222
ID110,40,city,30,43,34,36,28,-0.9371257266159747
ID111,49,city,25,31,33,42,32,0.24379971403391368
ID112,42,countryside,27,46,35,39,34,0.512008415745014
ID113,38,suburb,28,32,30,38,36,-0.02664216957298818
ID114,30,suburb,27,35,29,36,24,-0.5137957074403823
