participant,time,condition,attitude,risk,age,will_learn
p001,Pre,control,4,-0.31,36,0.48
p001,Post,control,5,-0.31,36,0.48
p002,Pre,intervention,5,-0.4,42,0.35
p002,Post,intervention,7,-0.4,42,0.35
p003,Pre,control,4,-0.86,37,0.38
p003,Post,control,4,-0.86,37,0.38
p004,Pre,intervention,5,-0.52,35,0.12
p004,Post,intervention,7,-0.52,35,0.12
p005,Pre,control,3,0.05,34,1.09
p005,Post,control,4,0.05,34,1.09
p006,Pre,intervention,5,-0.08,37,0.58
p006,Post,intervention,6,-0.08,37,0.58
p007,Pre,control,3,-0.93,37,0.22
p007,Post,control,3,-0.93,37,0.22
p008,Pre,intervention,5,-0.02,31,0.45
p008,Post,intervention,7,-0.02,31,0.45
p009,Pre,control,3,-0.62,33,-0.66
p009,Post,control,4,-0.62,33,-0.66
p010,Pre,intervention,3,0.65,36,-0.32
p010,Post,intervention,4,0.65,36,-0.32
p011,Pre,control,3,1.51,36,-0.67
p011,Post,control,3,1.51,36,-0.67
p012,Pre,intervention,6,0.34,34,0.73
p012,Post,intervention,8,0.34,34,0.73
p013,Pre,control,5,0.16,36,-0.5
p013,Post,control,5,0.16,36,-0.5
p014,Pre,intervention,1,-0.67,33,-0.7
p014,Post,intervention,2,-0.67,33,-0.7
p015,Pre,control,-1,0.26,36,-0.7
p015,Post,control,-0,0.26,36,-0.7
p016,Pre,intervention,5,0.06,36,-0.41
p016,Post,intervention,6,0.06,36,-0.41
p017,Pre,control,3,-1,34,-0
p017,Post,control,4,-1,34,-0
p018,Pre,intervention,2,0.03,36,-0.29
p018,Post,intervention,4,0.03,36,-0.29
p019,Pre,control,5,1.91,38,1.36
p019,Post,control,5,1.91,38,1.36
p020,Pre,intervention,5,-0.29,33,0.05
p020,Post,intervention,7,-0.29,33,0.05
p021,Pre,control,6,-0.54,35,-0.32
p021,Post,control,6,-0.54,35,-0.32
p022,Pre,intervention,6,-0.93,35,-0.53
p022,Post,intervention,7,-0.93,35,-0.53
p023,Pre,control,4,1.44,34,-0.99
p023,Post,control,4,1.44,34,-0.99
p024,Pre,intervention,4,0.22,34,-0.45
p024,Post,intervention,6,0.22,34,-0.45
p025,Pre,control,4,-0.45,37,0.61
p025,Post,control,5,-0.45,37,0.61
p026,Pre,intervention,6,0.79,39,0.38
p026,Post,intervention,7,0.79,39,0.38
p027,Pre,control,5,0.09,36,1.08
p027,Post,control,5,0.09,36,1.08
p028,Pre,intervention,4,0.42,38,-0.57
p028,Post,intervention,5,0.42,38,-0.57
p029,Pre,control,2,-0.91,34,0.12
p029,Post,control,2,-0.91,34,0.12
p030,Pre,intervention,7,0.69,31,0.8
p030,Post,intervention,8,0.69,31,0.8
p031,Pre,control,6,-0.68,35,-0.07
p031,Post,control,6,-0.68,35,-0.07
p032,Pre,intervention,5,0.37,31,0.01
p032,Post,intervention,7,0.37,31,0.01
p033,Pre,control,4,-0.61,38,1.06
p033,Post,control,4,-0.61,38,1.06
p034,Pre,intervention,5,-0.8,36,-0.31
p034,Post,intervention,6,-0.8,36,-0.31
p035,Pre,control,1,-1.2,32,-0.1
p035,Post,control,1,-1.2,32,-0.1
p036,Pre,intervention,3,-1.39,33,-0.65
p036,Post,intervention,4,-1.39,33,-0.65
p037,Pre,control,4,0.4,32,0.45
p037,Post,control,4,0.4,32,0.45
p038,Pre,intervention,5,-1.14,36,0.54
p038,Post,intervention,6,-1.14,36,0.54
p039,Pre,control,4,1.09,32,-0.93
p039,Post,control,4,1.09,32,-0.93
p040,Pre,intervention,5,0.4,34,-0.45
p040,Post,intervention,7,0.4,34,-0.45
p041,Pre,control,4,0.53,38,-0.26
p041,Post,control,4,0.53,38,-0.26
p042,Pre,intervention,2,1.16,33,1.18
p042,Post,intervention,4,1.16,33,1.18
p043,Pre,control,4,0.71,37,-1.05
p043,Post,control,4,0.71,37,-1.05
p044,Pre,intervention,2,0.41,34,-0.26
p044,Post,intervention,4,0.41,34,-0.26
p045,Pre,control,2,-0.52,33,-0.03
p045,Post,control,2,-0.52,33,-0.03
p046,Pre,intervention,3,-0.27,33,0.52
p046,Post,intervention,4,-0.27,33,0.52
p047,Pre,control,3,0.07,33,1.08
p047,Post,control,3,0.07,33,1.08
p048,Pre,intervention,3,0.44,33,0.98
p048,Post,intervention,5,0.44,33,0.98
p049,Pre,control,6,0.95,33,0.33
p049,Post,control,7,0.95,33,0.33
p050,Pre,intervention,5,-0.25,36,-0.18
p050,Post,intervention,6,-0.25,36,-0.18
p051,Pre,control,2,-0.6,36,0.06
p051,Post,control,2,-0.6,36,0.06
p052,Pre,intervention,6,1.01,39,1.05
p052,Post,intervention,7,1.01,39,1.05
p053,Pre,control,4,0.61,34,-0
p053,Post,control,5,0.61,34,-0
p054,Pre,intervention,4,-0.59,32,1
p054,Post,intervention,6,-0.59,32,1
p055,Pre,control,2,0.31,35,1.08
p055,Post,control,3,0.31,35,1.08
p056,Pre,intervention,5,0.11,33,-1.2
p056,Post,intervention,6,0.11,33,-1.2
p057,Pre,control,3,0,31,1.51
p057,Post,control,4,0,31,1.51
p058,Pre,intervention,5,-0.82,33,0.02
p058,Post,intervention,7,-0.82,33,0.02
p059,Pre,control,3,0.55,36,-1.15
p059,Post,control,3,0.55,36,-1.15
p060,Pre,intervention,4,0.73,38,0.87
p060,Post,intervention,5,0.73,38,0.87
p061,Pre,control,4,0.14,36,-0.27
p061,Post,control,4,0.14,36,-0.27
p062,Pre,intervention,5,-0.17,35,0.49
p062,Post,intervention,6,-0.17,35,0.49
p063,Pre,control,3,-0.15,33,0.07
p063,Post,control,4,-0.15,33,0.07
p064,Pre,intervention,5,0.04,36,0.11
p064,Post,intervention,7,0.04,36,0.11
p065,Pre,control,2,-0.19,34,0.24
p065,Post,control,3,-0.19,34,0.24
p066,Pre,intervention,3,-0.13,39,0.8
p066,Post,intervention,4,-0.13,39,0.8
p067,Pre,control,4,-0.18,37,0.76
p067,Post,control,5,-0.18,37,0.76
p068,Pre,intervention,5,-0.21,36,-0.08
p068,Post,intervention,6,-0.21,36,-0.08
p069,Pre,control,3,0.17,33,-0.49
p069,Post,control,4,0.17,33,-0.49
p070,Pre,intervention,5,-0.06,35,0.24
p070,Post,intervention,7,-0.06,35,0.24
p071,Pre,control,5,-1.05,35,-0.62
p071,Post,control,5,-1.05,35,-0.62
p072,Pre,intervention,5,1.42,34,0.15
p072,Post,intervention,7,1.42,34,0.15
p073,Pre,control,3,-0.01,36,0.18
p073,Post,control,3,-0.01,36,0.18
p074,Pre,intervention,5,-0.28,35,-1.36
p074,Post,intervention,7,-0.28,35,-1.36
