"ID","educ","income","occscale","loc","wb"
"ID101",15,36,10,-1.14108485759879,1.27733906697548
"ID102",17,44,9,-0.350699575054997,2.71107440372117
"ID103",15,32,8,0.0954798323299399,1.69581319170474
"ID104",13,28,6,2.15878533453207,4.30018328625283
"ID105",17,41,10,0.441943265637833,2.93376830621684
"ID106",16,26,8,-0.625046963496379,3.77315435157448
"ID107",16,35,10,-0.445193166239914,4.14505275834581
"ID108",14,37,9,0.590697455345153,4.00612829099872
"ID109",15,27,6,0.0996118425165912,4.16293270606918
"ID110",15,37,7,0.296977513978785,7.09786072362394
"ID111",14,22,7,-1.44527435299716,1.26427575795485
"ID112",15,36,10,0.164994952415467,1.39079435200598
"ID113",15,35,8,0.523596015080966,3.14215869215241
"ID114",14,39,9,-0.216326641860382,1.78108823251651
"ID115",14,38,10,0.141004870050306,0.0730880773016187
"ID116",16,37,8,-0.302279667964885,2.18983366703536
"ID117",15,26,8,-0.944976761720736,0.639471519405345
"ID118",14,33,7,0.999171999892293,4.75312067659233
"ID119",17,42,10,0.561161069000136,2.80739692749512
"ID120",15,46,10,0.752461081584379,1.25472008097913
"ID121",18,38,8,-1.15842036737492,-0.790936460706178
"ID122",17,32,9,-0.0865957214274617,3.05355434260963
"ID123",16,35,10,-1.20483325330472,0.663942015096339
"ID124",17,37,8,0.259324611522543,0.913975280270012
"ID125",15,41,10,-1.42725946328757,1.44000823055378
"ID126",15,43,10,1.19654417227033,0.982182883694042
"ID127",18,34,9,-0.742375977311699,-0.378196880870163
"ID128",16,25,10,-0.795991601470772,1.40783581214093
"ID129",17,33,10,0.747348766494035,0.651992330344632
"ID130",17,31,7,0.00647094997744247,4.39893739301946
"ID131",15,47,10,2.50093216296811,7.0341924734179
"ID132",14,37,7,-0.0948280096648684,1.63091687170241
"ID133",15,33,9,0.463150694324593,1.2165084269109
"ID134",15,27,6,-1.96326841470351,-2.27812210349487
"ID135",16,41,10,-0.626574252661342,5.49606167442218
"ID136",16,37,10,0.16737178523517,-1.1232057603488
"ID137",19,28,8,2.12676972341777,3.77423666628961
"ID138",16,30,10,0.972111656875275,-0.157374126619725
"ID139",15,21,6,-1.10226337099532,3.46091104358715
"ID140",15,40,10,1.53788894477157,5.03459933562314
"ID141",16,35,10,-0.0190335017373158,0.985288647693127
"ID142",15,41,10,1.30448611146411,4.25399023533792
"ID143",14,30,8,0.466763349774191,2.24452447994814
"ID144",15,28,7,-1.36224837433662,3.20739340079683
"ID145",17,32,7,0.0366223518499758,3.15175920206866
"ID146",15,31,8,1.47728310834383,6.91465539315007
"ID147",16,32,7,1.2825939278091,1.81225683010859
"ID148",19,39,10,-0.541130745567644,3.73464847543123
"ID149",18,26,10,-1.29691731874319,-0.717620086612504
"ID150",16,49,9,-0.705689063272224,5.64888414727301
"ID151",15,31,9,1.17038334883471,3.77537985363071
"ID152",14,34,9,-1.49070671811774,-0.759702659706689
"ID153",16,28,9,0.33103745519886,4.36582541909288
"ID154",16,26,8,-0.69035921128146,3.17585847709292
"ID155",16,35,9,-0.144958218408241,1.81037029982357
"ID156",15,44,10,1.92860086889864,2.25023875935325
"ID157",15,26,10,0.677914826573244,1.2693702659018
"ID158",16,38,10,-0.404129664721908,2.25760681295128
"ID159",14,37,8,-2.17490764734465,4.8522106592461
"ID160",15,26,6,0.4527429397941,2.19115618769876
"ID161",16,38,9,0.398270125271786,4.1119265708557
"ID162",14,27,7,0.562078921771609,0.533454520753598
"ID163",15,25,7,0.233508072152019,-0.0418099296468428
"ID164",16,24,7,0.777072566935009,-0.78993915437263
"ID165",16,29,7,0.510435918589347,3.4112688341236
"ID166",16,47,10,0.65468147683315,4.36798992077028
"ID167",16,38,10,0.708053166947243,5.79356359154385
"ID168",18,31,10,1.10387200016162,5.83860808152301
"ID169",16,46,10,1.02527122960547,2.95252627088326
"ID170",19,36,9,0.00802303335976253,4.08558425359692
"ID171",16,29,6,-0.427987781961706,1.29535901932662
"ID172",16,25,6,-0.480432914683734,-0.627096794329223
"ID173",14,34,10,-0.114061972224609,1.26343790921358
"ID174",14,33,8,-2.47294764979528,-1.64749397388925
"ID175",16,25,8,-1.06896494809364,-1.69181114901819
"ID176",16,37,7,-1.67993347088505,5.74044442703197
"ID177",14,32,10,0.341091065796711,3.21235552838285
"ID178",14,34,8,0.477361129063406,3.14508556084427
"ID179",16,37,9,0.506610537271694,2.73535278369018
"ID180",18,36,10,-0.628385760904328,0.889131668670588
"ID181",15,24,7,-0.256716610142586,0.795034777071676
"ID182",15,35,6,0.753994383880182,3.4929097968019
"ID183",14,26,7,-0.607607754870495,2.11459335151613
"ID184",17,29,7,0.978742409087225,4.86440260301155
"ID185",15,33,10,-1.51190323980926,0.913419744337333
"ID186",18,32,7,0.318008546722965,0.513617171306924
"ID187",16,36,7,-1.65590391348671,-1.43684797472848
"ID188",16,43,9,0.793477296247975,3.62753253440452
"ID189",13,25,6,-0.539741421620474,3.32293961840687
"ID190",17,36,9,1.12956412012115,2.19264824306743
"ID191",14,27,8,-0.993817753381665,0.887801893703656
"ID192",16,27,9,-1.12049163521194,-1.23454406591496
"ID193",15,40,10,0.451860498244612,2.83341000190515
"ID194",18,30,8,1.52580878747243,4.1797149953383
"ID195",17,31,10,1.80656473867556,5.76955851207674
"ID196",14,35,9,-0.205048408809674,1.18112181058097
"ID197",17,42,10,1.6132326024468,6.04246872719011
"ID198",16,29,9,1.20479407135326,2.91751791626021
"ID199",15,24,8,0.71628801646588,5.25234762734024
"ID200",18,33,8,2.31738647399527,5.47181712789467
"ID201",14,32,8,-0.361442674446316,1.66601774247771
"ID202",16,31,10,-0.200985151653352,2.10961183300768
"ID203",17,30,9,-0.759425984708093,3.21174828226481
"ID204",16,38,7,-1.26023236183845,1.61532528504836
"ID205",14,44,10,0.265088779579814,5.68597879855627
"ID206",15,30,8,-1.61259640131695,-0.52486213400886
"ID207",15,28,6,-0.307410472645358,2.57034428221083
"ID208",16,35,10,-0.594008821703985,1.92896834792756
"ID209",14,52,10,-0.0557116414350373,1.36242292865575
"ID210",13,24,6,-0.502054569916485,-0.0571352405615044
"ID211",16,53,10,1.49794497262197,6.49411835240429
"ID212",16,43,10,-0.00125648377896063,7.51838298669189
"ID213",15,28,9,-1.25142378093023,2.97501516751037
"ID214",15,34,9,0.168093719509282,3.13785672959378
"ID215",15,22,9,0.273921438300646,3.06202674616596
"ID216",14,35,7,-1.9212199975019,1.36643728511731
"ID217",16,31,7,2.87682292108331,2.27161460514575
"ID218",15,32,5,-1.4530551803877,2.10370667778153
"ID219",14,27,10,-1.22733101259834,3.24553727629379
"ID220",16,33,9,-0.718752920540924,3.62349165551542
"ID221",18,47,10,1.24705762681133,2.21486823422386
"ID222",16,21,10,0.31143527868359,1.08185979290674
"ID223",15,30,8,-0.0417722711886783,5.21615881589353
"ID224",14,28,5,0.246970638783177,2.97031932182155
"ID225",15,35,7,0.489196166225807,3.63959365428808
"ID226",14,23,10,0.711116485399284,6.40714003684778
"ID227",16,37,8,1.39765712560722,1.3110948777904
"ID228",15,35,8,1.3474807294418,4.09054315351763
"ID229",14,44,10,-0.723114149846004,3.77088822088571
"ID230",17,36,8,0.802089002931896,0.858189589540131
"ID231",15,30,10,-0.744267538017471,2.6048562831278
"ID232",14,36,10,1.3718944037181,1.15690402361866
"ID233",15,28,8,-0.304447732998973,3.38662052994828
"ID234",18,36,8,-0.159457394985375,1.42912519513634
"ID235",13,39,8,0.479064976911563,0.987041877496027
