ppt,pref_c,pref_t,pref_sw,pref_m,pref_dpc,flyer,show,stars,enj
1,16,16,15,19,10,0,The Alex Doumas Drama Dilemma,1,52.02559228141186
1,16,16,15,19,10,0,Jazz Brunch with Zach's Horne Section,1,54.233585231988734
1,16,16,15,19,10,0,Dr Noe: James Bond Extraordinaire,2,56.846723472670476
1,16,16,15,19,10,0,Aja Murray's Mirthful Musical Mystery,2,56.2704832351884
1,16,16,15,19,10,0,Emma in Waterstones: A reading from the author,3,58.68716392204646
1,16,16,15,19,10,0,Patrick Sturt's Peculiar Poetry Slam,3,58.55782404775992
1,16,16,15,19,10,0,Josiah King's Lear: A Shakespearean Tragedy,4,56.261865755275686
1,16,16,15,19,10,0,John Martindale's Martian Misadventures,4,55.8126046105619
1,16,16,15,19,10,0,Tom in a Booth: A one man show,5,58.43204741863433
1,16,16,15,19,10,0,The Amazing Magical Monica,5,59.6550355287354
2,13,15,14,15,15,0,The Alex Doumas Drama Dilemma,1,56.58671948258859
2,13,15,14,15,15,0,Jazz Brunch with Zach's Horne Section,1,52.59141866330171
2,13,15,14,15,15,0,Dr Noe: James Bond Extraordinaire,2,56.50637790102068
2,13,15,14,15,15,0,Aja Murray's Mirthful Musical Mystery,2,58.81676837103966
2,13,15,14,15,15,0,Emma in Waterstones: A reading from the author,3,59.87083667246722
2,13,15,14,15,15,0,Patrick Sturt's Peculiar Poetry Slam,3,57.033142806096066
2,13,15,14,15,15,0,Josiah King's Lear: A Shakespearean Tragedy,4,60.12096136922199
2,13,15,14,15,15,0,John Martindale's Martian Misadventures,4,60.43106906189744
2,13,15,14,15,15,0,Tom in a Booth: A one man show,5,63.10203997966442
2,13,15,14,15,15,0,The Amazing Magical Monica,5,59.86146262163552
3,13,11,17,14,15,0,The Alex Doumas Drama Dilemma,1,51.8424276595544
3,13,11,17,14,15,0,Jazz Brunch with Zach's Horne Section,1,52.83799654265721
3,13,11,17,14,15,0,Dr Noe: James Bond Extraordinaire,2,50.19465389860413
3,13,11,17,14,15,0,Aja Murray's Mirthful Musical Mystery,2,52.972735777589804
3,13,11,17,14,15,0,Emma in Waterstones: A reading from the author,3,55.18717766965061
3,13,11,17,14,15,0,Patrick Sturt's Peculiar Poetry Slam,3,57.45999100746692
3,13,11,17,14,15,0,Josiah King's Lear: A Shakespearean Tragedy,4,51.079838836066244
3,13,11,17,14,15,0,John Martindale's Martian Misadventures,4,54.04685082460237
3,13,11,17,14,15,0,Tom in a Booth: A one man show,5,56.30489850561982
3,13,11,17,14,15,0,The Amazing Magical Monica,5,54.20327410203147
4,12,16,11,19,13,0,The Alex Doumas Drama Dilemma,1,54.20390607153862
4,12,16,11,19,13,0,Jazz Brunch with Zach's Horne Section,1,54.75442168177881
4,12,16,11,19,13,0,Dr Noe: James Bond Extraordinaire,2,54.53064120675844
4,12,16,11,19,13,0,Aja Murray's Mirthful Musical Mystery,2,58.58120303532366
4,12,16,11,19,13,0,Emma in Waterstones: A reading from the author,3,59.23776360970843
4,12,16,11,19,13,0,Patrick Sturt's Peculiar Poetry Slam,3,59.81229472990068
4,12,16,11,19,13,0,Josiah King's Lear: A Shakespearean Tragedy,4,55.686565143589554
4,12,16,11,19,13,0,John Martindale's Martian Misadventures,4,58.564627940635134
4,12,16,11,19,13,0,Tom in a Booth: A one man show,5,62.548509427719075
4,12,16,11,19,13,0,The Amazing Magical Monica,5,61.979063296222265
5,21,21,14,17,15,1,The Alex Doumas Drama Dilemma,1,54.063494204153834
5,21,21,14,17,15,1,Jazz Brunch with Zach's Horne Section,1,54.38988105120631
5,21,21,14,17,15,1,Dr Noe: James Bond Extraordinaire,2,57.70881644146238
5,21,21,14,17,15,1,Aja Murray's Mirthful Musical Mystery,2,60.51597702892993
5,21,21,14,17,15,1,Emma in Waterstones: A reading from the author,3,56.18381440512188
5,21,21,14,17,15,1,Patrick Sturt's Peculiar Poetry Slam,3,60.732604658515754
5,21,21,14,17,15,1,Josiah King's Lear: A Shakespearean Tragedy,4,61.90058608748077
5,21,21,14,17,15,1,John Martindale's Martian Misadventures,4,61.33431983148976
5,21,21,14,17,15,1,Tom in a Booth: A one man show,5,60.8198961798339
5,21,21,14,17,15,1,The Amazing Magical Monica,5,66.17824315249851
6,20,22,14,14,14,1,The Alex Doumas Drama Dilemma,1,49.71819277110283
6,20,22,14,14,14,1,Jazz Brunch with Zach's Horne Section,1,50.1128598653224
6,20,22,14,14,14,1,Dr Noe: James Bond Extraordinaire,2,47.32494240132737
6,20,22,14,14,14,1,Aja Murray's Mirthful Musical Mystery,2,52.22533500618974
6,20,22,14,14,14,1,Emma in Waterstones: A reading from the author,3,47.353369041937626
6,20,22,14,14,14,1,Patrick Sturt's Peculiar Poetry Slam,3,49.03867512236554
6,20,22,14,14,14,1,Josiah King's Lear: A Shakespearean Tragedy,4,45.768938973347794
6,20,22,14,14,14,1,John Martindale's Martian Misadventures,4,45.8249338207881
6,20,22,14,14,14,1,Tom in a Booth: A one man show,5,48.84379335174733
6,20,22,14,14,14,1,The Amazing Magical Monica,5,49.861431277142856
7,22,22,15,18,13,1,The Alex Doumas Drama Dilemma,1,51.31262889301966
7,22,22,15,18,13,1,Jazz Brunch with Zach's Horne Section,1,55.31753365585999
7,22,22,15,18,13,1,Dr Noe: James Bond Extraordinaire,2,52.35882390097937
7,22,22,15,18,13,1,Aja Murray's Mirthful Musical Mystery,2,57.283561276207024
7,22,22,15,18,13,1,Emma in Waterstones: A reading from the author,3,57.86362693192214
7,22,22,15,18,13,1,Patrick Sturt's Peculiar Poetry Slam,3,54.74151241006129
7,22,22,15,18,13,1,Josiah King's Lear: A Shakespearean Tragedy,4,57.57438345816206
7,22,22,15,18,13,1,John Martindale's Martian Misadventures,4,56.29590268928171
7,22,22,15,18,13,1,Tom in a Booth: A one man show,5,58.83184564819072
7,22,22,15,18,13,1,The Amazing Magical Monica,5,59.2159539988869
8,19,21,20,13,14,1,The Alex Doumas Drama Dilemma,1,49.91175021229828
8,19,21,20,13,14,1,Jazz Brunch with Zach's Horne Section,1,46.696248188326976
8,19,21,20,13,14,1,Dr Noe: James Bond Extraordinaire,2,50.845079629350835
8,19,21,20,13,14,1,Aja Murray's Mirthful Musical Mystery,2,52.07155951743102
8,19,21,20,13,14,1,Emma in Waterstones: A reading from the author,3,52.26975997928527
8,19,21,20,13,14,1,Patrick Sturt's Peculiar Poetry Slam,3,51.96305776205172
8,19,21,20,13,14,1,Josiah King's Lear: A Shakespearean Tragedy,4,51.38326318240958
8,19,21,20,13,14,1,John Martindale's Martian Misadventures,4,53.84611943232029
8,19,21,20,13,14,1,Tom in a Booth: A one man show,5,53.47141109578695
8,19,21,20,13,14,1,The Amazing Magical Monica,5,57.70311960788402
9,20,20,11,17,17,1,The Alex Doumas Drama Dilemma,1,49.79667047013485
9,20,20,11,17,17,1,Jazz Brunch with Zach's Horne Section,1,50.14267496098554
9,20,20,11,17,17,1,Dr Noe: James Bond Extraordinaire,2,48.06884401817556
9,20,20,11,17,17,1,Aja Murray's Mirthful Musical Mystery,2,54.73587867329034
9,20,20,11,17,17,1,Emma in Waterstones: A reading from the author,3,50.57136528463056
9,20,20,11,17,17,1,Patrick Sturt's Peculiar Poetry Slam,3,49.449804768640995
9,20,20,11,17,17,1,Josiah King's Lear: A Shakespearean Tragedy,4,49.26266816756995
9,20,20,11,17,17,1,John Martindale's Martian Misadventures,4,49.73451844093916
9,20,20,11,17,17,1,Tom in a Booth: A one man show,5,47.03444437284739
9,20,20,11,17,17,1,The Amazing Magical Monica,5,52.92957348117297
10,21,18,16,16,16,1,The Alex Doumas Drama Dilemma,1,50.51087548759662
10,21,18,16,16,16,1,Jazz Brunch with Zach's Horne Section,1,48.82514286560471
10,21,18,16,16,16,1,Dr Noe: James Bond Extraordinaire,2,55.23793181970966
10,21,18,16,16,16,1,Aja Murray's Mirthful Musical Mystery,2,57.109407141591696
10,21,18,16,16,16,1,Emma in Waterstones: A reading from the author,3,46.94067114166319
10,21,18,16,16,16,1,Patrick Sturt's Peculiar Poetry Slam,3,51.42114632205517
10,21,18,16,16,16,1,Josiah King's Lear: A Shakespearean Tragedy,4,50.95288500964836
10,21,18,16,16,16,1,John Martindale's Martian Misadventures,4,47.63491278215294
10,21,18,16,16,16,1,Tom in a Booth: A one man show,5,52.08334598118097
10,21,18,16,16,16,1,The Amazing Magical Monica,5,53.56485905261916
11,35,10,13,-99,17,0,The Alex Doumas Drama Dilemma,1,51.21248164764004
11,35,10,13,-99,17,0,Jazz Brunch with Zach's Horne Section,1,54.91406666462233
11,35,10,13,-99,17,0,Dr Noe: James Bond Extraordinaire,2,54.982977933811384
11,35,10,13,-99,17,0,Aja Murray's Mirthful Musical Mystery,2,59.49675947797014
11,35,10,13,-99,17,0,Emma in Waterstones: A reading from the author,3,58.66448828753928
11,35,10,13,-99,17,0,Patrick Sturt's Peculiar Poetry Slam,3,58.2156190748561
11,35,10,13,-99,17,0,Josiah King's Lear: A Shakespearean Tragedy,4,57.50859951044947
11,35,10,13,-99,17,0,John Martindale's Martian Misadventures,4,54.3737589902079
11,35,10,13,-99,17,0,Tom in a Booth: A one man show,5,58.044688414243694
11,35,10,13,-99,17,0,The Amazing Magical Monica,5,60.44005437212495
12,14,15,18,16,11,0,The Alex Doumas Drama Dilemma,1,53.8268145999546
12,14,15,18,16,11,0,Jazz Brunch with Zach's Horne Section,1,55.00207511334198
12,14,15,18,16,11,0,Dr Noe: James Bond Extraordinaire,2,53.7443856747759
12,14,15,18,16,11,0,Aja Murray's Mirthful Musical Mystery,2,57.7987740388523
12,14,15,18,16,11,0,Emma in Waterstones: A reading from the author,3,59.46475994274891
12,14,15,18,16,11,0,Patrick Sturt's Peculiar Poetry Slam,3,60.94659639963333
12,14,15,18,16,11,0,Josiah King's Lear: A Shakespearean Tragedy,4,58.765997700518504
12,14,15,18,16,11,0,John Martindale's Martian Misadventures,4,60.542585514866936
12,14,15,18,16,11,0,Tom in a Booth: A one man show,5,62.17100550699461
12,14,15,18,16,11,0,The Amazing Magical Monica,5,61.956883758984056
13,19,18,17,13,21,1,The Alex Doumas Drama Dilemma,1,55.143351803977964
13,19,18,17,13,21,1,Jazz Brunch with Zach's Horne Section,1,54.74778046289943
13,19,18,17,13,21,1,Dr Noe: James Bond Extraordinaire,2,57.278014258236915
