ppt,env_att,DET,day,EFZ
ppt001,47,Control,1,1.702896454849059
ppt001,47,Control,2,1.5191401383228818
ppt001,47,Control,3,1.104886305390763
ppt001,47,Control,4,1.5545554679336582
ppt001,47,Control,5,0.5883104297838835
ppt001,47,Control,6,1.2323449060789733
ppt001,47,Control,7,0.5848524877946221
ppt001,47,Control,8,0.9808278019605284
ppt001,47,Control,9,0.2916704062281901
ppt001,47,Control,10,-0.0502729028602764
ppt002,62,Control,1,0.07153691399401185
ppt002,62,Control,2,0.03642207410702101
ppt002,62,Control,3,-0.2390774408305134
ppt002,62,Control,4,-0.6781238828706938
ppt002,62,Control,5,-0.2957712586882931
ppt002,62,Control,6,-0.35713277459263953
ppt002,62,Control,7,0.022564722379178365
ppt002,62,Control,8,-0.15094260187447017
ppt002,62,Control,9,-0.4389374729957097
ppt002,62,Control,10,0.18692778293224602
ppt003,62,Control,1,-0.14846412889674174
ppt003,62,Control,2,0.20273003597512984
ppt003,62,Control,3,-0.26038872782454064
ppt003,62,Control,4,-0.16054772683818674
ppt003,62,Control,5,0.635135820370353
ppt003,62,Control,6,0.6790715991968134
ppt003,62,Control,7,0.4200527438798218
ppt003,62,Control,8,0.47144448550875856
ppt003,62,Control,9,0.19863689099977047
ppt003,62,Control,10,0.8670995477254877
ppt004,42,Control,1,2.117052959940907
ppt004,42,Control,2,2.214017788704384
ppt004,42,Control,3,2.130764357967779
ppt004,42,Control,4,2.3520072455341103
ppt004,42,Control,5,1.9853863076611673
ppt004,42,Control,6,1.8424933740109162
ppt004,42,Control,7,1.542886177144749
ppt004,42,Control,8,1.2576482861581824
ppt004,42,Control,9,1.578401725722181
ppt004,42,Control,10,1.666287996766502
ppt005,59,Control,1,-0.19013404225285407
ppt005,59,Control,2,-0.3567205172799065
ppt005,59,Control,3,-0.5859662585437134
ppt005,59,Control,4,-0.04171108688174858
ppt005,59,Control,5,-0.33713149580836427
ppt005,59,Control,6,-0.13267775262932358
ppt005,59,Control,7,-0.3550062809218069
ppt005,59,Control,8,0.07017893949868635
ppt005,59,Control,9,-0.37432050996654603
ppt005,59,Control,10,-0.3304598711030047
ppt006,68,Control,1,-0.5725073304822766
ppt006,68,Control,2,-0.23488509573553046
ppt006,68,Control,3,-0.4522658559226924
ppt006,68,Control,4,-0.14725309854650598
ppt006,68,Control,5,-0.019514510636430348
ppt006,68,Control,6,0.33848637121123265
ppt006,68,Control,7,-0.10404496934708587
ppt006,68,Control,8,-0.6839761064444603
ppt006,68,Control,9,-0.6122964756362608
ppt006,68,Control,10,0.40327609200241393
ppt007,57,Control,1,1.112631285438576
ppt007,57,Control,2,0.8200325444016467
ppt007,57,Control,3,1.2647912297560433
ppt007,57,Control,4,0.688768491624839
ppt007,57,Control,5,0.772101437394323
ppt007,57,Control,6,0.5901422127519326
ppt007,57,Control,7,0.5769373890838486
ppt007,57,Control,8,0.9488952826083484
ppt007,57,Control,9,0.13565958365153047
ppt007,57,Control,10,0.8277980862536258
ppt008,47,Control,1,1.891304549880994
ppt008,47,Control,2,1.1990733938636033
ppt008,47,Control,3,1.6847366476715686
ppt008,47,Control,4,1.027167737778177
ppt008,47,Control,5,1.2325923703346122
ppt008,47,Control,6,0.5728629091905425
ppt008,47,Control,7,0.7638967351196307
ppt008,47,Control,8,0.23626217820716963
ppt008,47,Control,9,0.3627614391866496
ppt008,47,Control,10,0.1189057315223785
