ppt,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15
ppt001,3,1,4,3,5,3,5,5,3,3,2,3,3,3,1
ppt002,4,3,4,4,4,5,6,5,3,5,4,5,4,4,2
ppt003,4,5,4,5,4,3,4,4,4,4,4,4,4,4,5
ppt004,2,3,1,5,2,3,4,3,3,1,5,2,3,1,4
ppt005,3,4,5,1,5,3,3,4,4,3,4,4,4,7,5
ppt006,6,3,4,3,4,4,6,4,3,4,7,2,7,6,5
ppt007,3,4,4,4,5,4,4,5,4,3,3,2,5,3,4
ppt008,4,3,4,2,4,2,5,5,2,2,3,1,3,3,4
ppt009,3,4,4,4,6,3,4,5,4,4,5,4,5,4,4
ppt010,4,4,4,4,4,2,6,4,3,4,3,3,3,5,3
ppt011,4,4,4,5,5,2,5,4,5,5,3,4,2,6,4
ppt012,5,4,5,3,5,4,6,4,3,3,4,4,3,5,4
ppt013,2,4,3,1,4,3,6,3,2,3,2,4,3,3,3
ppt014,3,6,5,3,7,3,4,4,6,4,6,3,6,6,4
ppt015,4,4,3,3,6,3,5,5,5,4,4,3,5,4,4
ppt016,5,3,3,4,5,4,4,4,4,3,5,3,4,4,3
ppt017,3,6,5,3,5,5,4,2,6,4,4,3,4,6,3
ppt018,4,3,5,4,4,3,6,4,5,4,3,2,5,4,4
ppt019,3,4,5,4,4,2,6,3,5,4,2,4,3,4,4
ppt020,6,2,3,4,3,2,3,7,4,4,3,2,4,5,5
ppt021,5,5,4,5,5,6,4,5,3,4,5,4,4,3,4
ppt022,6,2,2,4,4,2,4,7,3,3,6,1,2,3,3
ppt023,5,5,5,4,5,2,4,6,3,5,3,3,6,5,3
ppt024,3,4,6,3,5,3,3,3,5,3,3,3,4,5,2
ppt025,4,5,4,3,5,5,7,3,5,4,3,5,6,4,6
ppt026,4,3,4,3,5,2,6,3,4,3,3,5,3,3,5
ppt027,3,1,4,4,3,5,5,4,5,5,4,2,4,3,3
ppt028,4,2,4,4,4,5,4,3,5,3,3,1,4,3,1
ppt029,5,2,2,5,3,2,5,4,4,6,4,3,3,3,5
ppt030,3,3,3,3,5,5,6,4,6,6,4,4,5,6,3
ppt031,3,1,2,5,1,1,1,4,2,3,4,1,2,3,3
ppt032,4,3,3,3,4,3,5,5,3,4,3,1,2,4,3
ppt033,2,3,5,2,4,2,5,4,4,5,4,3,3,4,4
ppt034,5,5,4,3,6,3,7,7,2,6,3,4,3,4,3
ppt035,5,4,5,4,4,4,6,5,4,4,5,5,4,5,5
ppt036,3,2,5,4,4,4,4,5,5,2,3,2,5,4,4
ppt037,2,5,4,4,6,3,6,4,2,3,5,2,2,5,4
ppt038,5,5,2,5,4,1,5,4,3,5,3,3,4,4,5
ppt039,6,3,3,4,5,3,5,5,4,4,5,2,4,6,3
ppt040,4,2,3,3,4,2,5,3,5,5,4,3,1,4,5
ppt041,3,6,5,3,5,3,5,5,3,7,2,4,5,5,6
ppt042,6,6,7,3,5,5,6,4,4,4,4,5,5,7,3
ppt043,3,4,6,2,6,4,5,4,5,4,2,3,6,6,4
ppt044,4,2,4,3,3,2,5,4,4,4,4,2,4,3,2
