PID,age,card.pair,sym.col,trial.n,search.time.ms
P30,25,i.43,yellow,41,7065
P19,31,i.02,purple,28.999999999999996,7660
P43,36,i.30,blue,1,5720
P46,36,i.33,red,45,6125
P11,29,i.13,yellow,40,8125
P24,39,i.17,black,22,5785
P14,32,i.02,purple,3,7335
P10,18,i.11,black,23,4410
P18,22,i.32,purple,6,6915
P48,45,i.35,black,37,5100
P02,28,i.10,green,30,5965
P12,45,i.42,blue,37,7305
P12,45,i.05,black,23,4200
P01,38,i.30,blue,44,4970
P05,29,i.47,black,18,4260
P38,27,i.31,yellow,1,6020
P25,46,i.23,black,11,7720
P11,29,i.37,yellow,12,6915
P30,25,i.03,red,31,3915
P30,25,i.41,black,19,8825
P02,28,i.30,blue,5,5365
P13,28,i.06,blue,7.000000000000001,7330
P07,25,i.21,red,41,5600
P50,31,i.22,green,40,5140
P15,31,i.45,red,38,2865
P16,31,i.38,purple,18,5550
P34,44,i.09,red,30,5150
P21,22,i.29,black,4,5495
P10,18,i.13,yellow,3,6855
P13,28,i.23,black,11,4645
P19,31,i.28,green,41,6850
P42,40,i.36,blue,1,5300
P01,38,i.40,green,28.000000000000004,6130
P37,49,i.48,blue,4,8805
P39,20,i.41,black,8,6920
P09,24,i.40,green,13,4870
P40,28,i.01,yellow,40,5620
P39,20,i.40,green,12,5320
P36,34,i.04,green,36,3485
P15,31,i.38,purple,18,5090
P06,27,i.06,blue,35,8130
P22,28,i.34,green,24,4175
P29,38,i.27,red,40,3030
P26,20,i.25,yellow,41,7435
P45,31,i.26,purple,48,7540
P46,36,i.39,red,12,3750
P36,34,i.17,black,44,5585
P29,38,i.19,yellow,37,1880
P40,28,i.07,yellow,7.000000000000001,2515
P28,41,i.29,black,34,9150
P20,25,i.25,yellow,35,4850
P10,18,i.46,green,4,7735
P43,36,i.09,red,12,6285
P19,31,i.15,red,32,5805
P18,22,i.40,green,14.000000000000002,7845
P27,47,i.48,blue,44,5540
P04,30,i.32,purple,40,6665
P44,35,i.04,green,42,5665
