pair,lengthknown,gid,dial,absdial,spectrum,category,score
grp_1,4,1,63,6.3,High brow <--> Low brow,social,42.06273755674425
grp_1,4,1,56,5.6,Large number <--> Small number,quantifiable,31.372737556744248
grp_1,4,1,21,2.1,Fascinating topic <--> Boring topic,qualitative,13.84273755674425
grp_1,4,1,-105,10.5,Good pizza topping <--> Bad pizza topping,qualitative,45.03273755674425
grp_1,4,1,-98,9.8,Global issue <--> Local issue,social,34.76273755674425
grp_1,4,1,14,1.4,Democracy <--> Dictatorship,social,33.242737556744245
grp_1,4,1,7,0.7,Undiscovered Gem <--> Garbage,social,28.81273755674425
grp_1,4,1,-49,4.9,Hard <--> Soft,quantifiable,28.942737556744248
grp_1,4,1,-77,7.7,Long <--> Short,quantifiable,33.18273755674425
grp_1,4,1,84,8.4,Loud <--> Quiet,quantifiable,36.14273755674425
grp_1,4,1,-35,3.5,Art <--> Not art,social,30.66273755674425
grp_1,4,1,-28,2.8,Best year in history <--> Worst year in history,qualitative,22.08273755674425
grp_1,4,1,91,9.1,Best day of the year <--> Worst day of the year,qualitative,30.57273755674425
grp_1,4,1,35,3.5,Terrifying <--> Thrilling,qualitative,27.552737556744248
grp_1,4,1,-56,5.6,Good candy <--> Bad candy,qualitative,26.76273755674425
grp_1,4,1,-63,6.3,Avant garde <--> Old fashioned,social,34.66273755674425
grp_1,4,1,-42,4.2,Beautiful <--> Ugly,qualitative,34.842737556744254
grp_1,4,1,-21,2.1,Strong <--> Weak,quantifiable,24.08273755674425
grp_1,4,1,28,2.8,For adults <--> For kids,social,42.11273755674425
grp_1,4,1,0,0,Wet <--> Dry,quantifiable,20.46273755674425
grp_1,4,1,77,7.7,Good movie <--> Bad movie,qualitative,29.91273755674425
grp_1,4,1,-70,7,High calorie <--> Low calorie,quantifiable,30.71273755674425
grp_1,4,1,-7,0.7,Cold <--> Hot,quantifiable,26.942737556744248
grp_1,4,1,98,9.8,Light <--> Dark,quantifiable,43.64273755674425
grp_1,4,1,-84,8.4,Classic <--> Fad,social,34.982737556744254
grp_1,4,1,42,4.2,Elitist <--> Popular,social,37.352737556744245
