"","sub","jazz","metal","rap"
"1","subject_1",83.2691294643098,73.6513692254739,73.8949330638253
"2","subject_10",84.3267944544605,88.6128719942523,76.3736453096361
"3","subject_11",64.2649624604157,62.238663878144,62.3887643158839
"4","subject_12",66.3438587279409,64.5599657531039,68.021812291051
"5","subject_13",78.4856961475232,73.4410915441214,66.7678514757286
"6","subject_14",80.8617758947847,69.7520438275442,68.8951014064279
"7","subject_15",70.191940034799,70.8793873078569,61.3170057771782
"8","subject_16",80.8134288955204,73.6001829391651,79.9336089313391
"9","subject_17",72.858011652895,64.0926055894434,76.3971178803889
"10","subject_18",83.5068538232757,74.9896816507134,67.732959561941
"11","subject_19",66.1723858646722,71.7916392723118,57.734874190954
"12","subject_2",87.0636310516389,82.4714944728392,75.0782299526338
"13","subject_20",100.687085840764,73.3576969792909,83.1416494274408
"14","subject_21",79.8259367406329,71.3444611587894,67.0890130888878
"15","subject_22",63.5389299014157,56.0173870663705,70.7489075677417
"16","subject_23",71.059394043434,76.2450431547002,86.8445764460766
"17","subject_24",82.3697390462956,51.313692973292,92.4873105626344
"18","subject_25",66.0272331267056,67.1792590284643,63.6528354071879
"19","subject_26",88.7935822821605,64.403009437788,67.8267703143313
"20","subject_27",66.9904656911145,66.0207977042482,72.2888092172457
"21","subject_28",72.4703554059697,66.7114310347015,63.5734207024156
"22","subject_29",66.989629437962,81.2197981715557,75.4356236649778
"23","subject_3",81.7670061077058,70.1404601824978,64.2753851363231
"24","subject_30",77.6641526301053,50.3384675768585,87.7366843352444
"25","subject_4",95.4602869100645,80.2735112240734,68.4798885552314
"26","subject_5",87.0315963413633,85.5251119875129,66.7994509177359
"27","subject_6",90.1034359371503,86.2565541784813,75.0491691730806
"28","subject_7",81.6779182746617,83.8980292713235,71.7616835869002
"29","subject_8",80.4309666419067,61.4613568296154,63.6739316015247
"30","subject_9",88.0775159385628,73.4848880278198,70.3647326494486
