Educ,Skill,Salary
17,52,15.4
14,44,33.9
17,61,39.2
14,44,23.1
20,66,52.5
17,61,32.8
16,53,56.3
19,61,38.2
15,55,80.8
14,43,37.2
15,50,43.6
16,31,15.5
10,43,19.2
15,50,47
22,63,35.4
18,63,48.6
18,43,54.2
14,42,66.3
18,38,21
17,34,29.3
9,39,22.5
16,47,36.4
13,31,45.4
19,35,48
20,54,36.9
17,52,39.6
10,31,30.3
15,46,35.6
11,38,40
14,69,39.5
17,54,44.9
18,32,40.9
19,53,29.3
12,43,54.7
20,44,49.9
12,41,33.8
20,53,39.3
14,48,41.9
14,39,71.1
16,43,27.9
15,55,62.5
14,17,39.6
13,35,42.2
13,33,55.9
17,58,38.6
18,64,44.6
13,44,39.3
13,48,48.1
14,34,40.7
20,61,58.2
20,64,50.6
12,17,38
22,47,47.5
15,43,37.5
16,38,31.4
17,32,42.3
14,32,48.7
16,58,49.1
8,22,16.7
18,48,36.6
14,27,39.8
16,56,47
15,38,21.4
11,37,32.8
19,56,47.4
15,39,36.8
14,22,26.6
16,40,34.5
14,45,45.1
15,50,38.6
18,62,31.6
13,45,39
11,28,33.8
17,55,13.2
12,44,35.6
17,57,53.5
14,31,24.4
16,24,31.6
13,39,39.5
17,57,31
18,49,61.6
16,33,33.9
19,39,36.2
15,49,22.4
15,37,20.9
16,26,34.6
13,40,30.9
13,33,28.7
18,42,35.6
11,38,21.6
10,24,21.9
14,75,51.8
18,49,48.3
13,22,28.3
19,56,38.5
13,31,27.5
14,63,60.4
18,52,18
14,50,31.9
17,37,17
18,55,31.8
16,40,26.8
17,38,30.6
12,33,45.3
19,53,31.3
19,66,49.4
16,61,36
17,58,42.7
11,40,23.6
15,53,48.2
19,55,52
17,57,42.9
16,46,47
14,48,24.3
16,58,36.9
12,44,31.4
14,30,28.4
15,33,8
17,38,50.4
16,47,34.1
17,54,30.1
12,48,23
12,13,33.6
15,27,52.1
13,51,20.4
18,49,22.8
17,60,43
18,29,29
20,44,40.8
20,55,49.7
14,43,41.8
13,37,27.8
18,41,32.1
17,57,51
15,67,40.6
12,44,62.9
21,48,56.4
20,80,43.4
24,69,46.5
12,28,13.9
14,38,42.5
17,34,10.8
16,43,33
19,43,41.5
14,32,28
19,51,53.9
12,33,14.3
15,43,54.2
13,34,45.5
17,39,41.2
16,53,32.7
17,55,46.8
16,39,41.4
19,58,58.5
12,43,46.7
12,52,32.7
14,47,37.7
15,57,30.3
14,58,44.5
20,58,49.5
16,63,39.4
17,33,44
11,41,45.5
10,21,23.2
18,59,47.4
11,45,44.1
13,48,36.9
9,36,30.3
13,41,23.6
15,28,44.1
23,80,61.9
16,62,48.4
15,43,58.7
15,50,36
10,41,41
20,59,62.6
15,46,41
24,76,51.6
12,42,26.3
15,41,38.4
13,11,29.4
15,32,42.1
18,43,28
15,37,36.8
12,48,39.5
17,43,36.3
16,59,47.3
17,58,49.2
18,69,32.8
12,35,37.1
17,69,77.8
17,29,38.2
6,24,13.3
17,47,48.4
18,63,46.8
12,40,25.6
15,58,19.7
14,54,53.7
13,35,27.9
14,53,43
15,27,23.6
20,47,20.3
15,50,42.5
15,43,41.2
13,38,47
12,30,30.6
18,62,35.1
13,57,27.5
16,60,42.1
13,33,19.5
18,50,33.7
12,46,28.7
21,62,41.4
19,34,40.1
21,53,54.4
14,28,28
18,44,33.2
20,44,40.7
10,28,30.7
18,37,35.3
13,48,34.4
15,59,38.9
18,56,46.8
11,35,20.5
17,39,38.6
19,76,50.1
16,51,66.1
11,31,46.1
20,68,32.2
18,42,22.4
16,43,53.7
19,38,46.9
21,44,53.5
13,37,30
15,38,40.9
19,62,36.9
17,47,44.7
17,40,39.1
16,52,41.8
22,56,31.3
13,49,26.1
25,50,34.1
16,39,60.3
17,61,40.2
15,50,50
13,37,27.9
15,54,49.8
15,53,29.2
19,44,55.4
14,37,25.3
15,33,44
15,36,46.6
14,32,32
19,54,48.5
19,45,57.9
14,26,31.5
16,41,51.9
18,49,29.1
12,46,39.5
15,49,42.3
16,54,66.3
19,55,52.5
13,29,37.6
14,55,60.3
17,66,58.8
4,9,17.9
19,54,36.2
22,71,65.9
17,47,33.6
22,63,59.8
17,24,55.4
14,61,28.3
22,57,52.9
16,49,36.9
12,18,23.2
10,8,44.5
20,51,47.3
18,44,41.4
21,60,28.8
12,50,31.5
14,34,38.9
18,46,46
9,34,70.5
15,40,66.8
15,58,57.9
9,16,28.4
21,50,45.1
11,17,30.2
