PID,Trial_01,Trial_02,Trial_03,Trial_04,Trial_05,Trial_06,Trial_07,Trial_08,Trial_09,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15
PPT_01,38,31,33,13,19,22,24,23,26,15,23,34,24,24,34
PPT_02,47,43,30,38,56,61,58,55,47,49,51,39,58,52,44
PPT_03,29,36,29,34,44,36,35,41,27,35,41,22,31,41,35
PPT_04,23,14,8,36,27,16,26,15,14,16,32,25,24,11,19
PPT_05,22,24,18,19,23,15,32,18,30,11,19,21,22,21,27
PPT_06,29,27,37,39,36,40,28,26,30,35,27,23,46,42,30
PPT_07,32,36,35,28,40,35,24,31,38,39,27,41,31,30,33
PPT_08,34,35,22,36,19,34,30,47,40,34,41,29,33,39,38
PPT_09,24,14,17,17,19,21,22,13,33,26,28,22,21,20,5
PPT_10,40,31,28,17,24,26,18,33,29,26,29,20,28,15,22
PPT_11,39,19,45,36,25,7,6,10,26,29,28,36,33,7,42
PPT_12,40,40,38,40,51,30,48,36,40,36,40,47,43,32,52
PPT_13,44,34,34,19,36,36,32,49,25,47,45,47,42,20,40
PPT_14,59,45,46,60,49,40,59,54,43,35,43,55,60,52,64
PPT_15,47,53,55,62,36,33,49,35,48,48,47,54,60,30,38
PPT_16,31,39,29,51,52,26,35,25,54,29,24,20,35,38,37
PPT_17,42,38,34,27,29,53,33,40,32,41,43,45,49,57,35
PPT_18,56,55,52,31,45,28,28,55,27,43,58,29,64,55,54
PPT_19,38,40,43,42,52,43,46,40,46,48,45,36,48,46,30
PPT_20,44,35,18,33,37,36,41,40,42,46,25,20,40,8,38
PPT_21,47,26,21,51,47,34,24,22,40,40,40,59,20,44,40
PPT_22,26,29,28,30,37,30,21,38,43,41,31,20,35,33,26
PPT_23,58,49,52,26,32,47,41,30,40,43,45,24,36,26,41
PPT_24,42,51,41,38,52,39,28,30,31,41,34,26,47,51,26
