ppt,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15
ppt001,6,5,3,2,3,5,4,4,5,2,5,3,3,4,1
ppt002,5,5,4,4,3,6,5,5,5,4,5,4,3,3,4
ppt003,4,4,5,5,4,4,4,5,4,5,3,3,5,4,5
ppt004,4,3,5,4,2,3,3,7,2,2,1,1,3,2,1
ppt005,4,4,5,3,3,3,3,3,7,3,2,5,6,5,6
ppt006,3,5,6,5,4,2,6,4,7,6,2,4,1,3,5
ppt007,4,5,4,3,3,3,5,4,3,4,1,3,4,4,3
ppt008,5,3,3,4,4,2,5,3,5,2,2,1,4,4,4
ppt009,4,5,4,3,3,3,4,5,5,5,3,5,5,5,3
ppt010,5,3,4,3,5,4,5,4,5,3,4,3,3,5,5
ppt011,5,3,4,3,5,4,4,4,3,3,5,5,5,6,6
ppt012,6,3,3,4,5,5,5,4,6,3,3,4,4,4,4
ppt013,4,4,3,5,5,5,4,5,6,1,3,1,4,5,2
ppt014,2,4,5,2,4,3,6,4,6,6,2,6,5,6,4
ppt015,4,5,4,4,4,3,6,4,4,4,3,4,5,6,3
ppt016,4,4,4,4,3,4,4,4,4,4,3,4,2,4,3
ppt017,2,4,6,2,6,5,4,2,5,5,2,5,5,5,4
ppt018,6,4,6,3,5,3,5,3,4,3,4,3,4,4,4
ppt019,6,3,5,3,5,5,5,4,4,4,4,3,6,5,4
ppt020,5,4,4,5,2,1,4,2,3,3,4,3,3,3,7
ppt021,4,6,3,4,4,5,5,5,4,6,2,5,4,3,4
ppt022,4,2,2,5,3,1,4,4,3,2,4,3,1,2,3
ppt023,4,4,3,2,4,3,6,3,5,6,4,3,4,5,6
ppt024,4,3,5,1,3,5,4,2,5,4,2,4,5,4,4
ppt025,5,5,7,5,5,6,6,4,5,5,2,4,5,5,4
ppt026,7,3,5,5,3,5,5,5,5,4,3,3,4,5,3
ppt027,5,5,5,4,5,4,4,3,3,3,5,4,3,2,2
ppt028,3,4,5,2,4,5,4,2,3,3,3,3,2,3,1
ppt029,6,4,5,6,4,3,4,5,2,4,6,3,2,4,4
ppt030,3,6,6,4,4,6,5,4,5,3,5,6,4,5,4
ppt031,4,3,4,3,1,1,1,4,2,2,4,1,2,1,4
ppt032,4,3,3,4,5,2,4,4,4,2,4,2,2,3,3
ppt033,5,4,5,3,4,4,4,4,6,3,5,4,5,4,3
ppt034,5,5,1,5,5,4,6,5,6,5,6,3,4,6,4
ppt035,5,4,5,5,4,5,6,5,5,5,3,5,3,3,6
ppt036,4,5,5,2,2,3,5,2,4,3,2,3,4,2,4
ppt037,4,3,3,2,6,4,5,6,6,3,2,3,4,4,4
ppt038,5,3,4,5,4,2,4,6,3,5,4,2,4,6,5
ppt039,3,3,4,3,4,3,6,4,4,4,3,5,1,5,5
ppt040,6,2,5,5,5,3,3,4,3,2,4,5,4,4,3
ppt041,5,6,4,5,5,3,5,4,6,6,5,3,7,7,6
ppt042,4,4,5,3,5,7,6,3,7,6,3,5,4,5,6
ppt043,4,6,6,2,4,4,5,2,6,4,3,5,5,6,4
ppt044,5,3,5,3,3,3,4,3,4,4,6,2,3,3,3
ppt045,5,3,5,4,2,4,4,6,2,2,4,3,4,5,2
ppt046,5,4,5,4,6,4,5,3,4,4,4,3,4,5,6
ppt047,4,3,3,6,4,2,5,7,2,6,4,3,1,4,4
ppt048,4,2,2,3,5,3,3,4,3,3,4,4,1,5,4
ppt049,3,4,4,4,4,5,7,5,4,6,4,7,3,3,6
ppt050,6,5,5,4,7,6,5,4,4,3,5,4,7,7,5
ppt051,2,5,4,4,6,5,5,4,4,5,3,3,5,6,3
ppt052,6,4,3,2,6,4,6,3,5,7,6,6,3,6,5
ppt053,3,2,3,2,2,2,6,5,3,1,3,2,1,1,5
ppt054,5,3,4,4,6,5,4,5,4,2,4,2,5,6,3
ppt055,3,2,3,5,2,3,5,4,4,5,3,4,4,3,3
ppt056,5,3,4,1,3,4,4,2,4,6,4,4,3,4,2
ppt057,6,3,6,5,4,3,6,4,4,3,5,5,3,3,5
ppt058,4,5,2,4,1,2,5,4,3,3,3,3,3,3,4
ppt059,3,3,5,5,3,2,5,5,5,3,4,4,3,4,5
ppt060,6,5,6,4,4,5,5,4,4,2,2,2,5,5,3
ppt061,5,2,5,5,2,3,4,4,4,1,5,2,3,4,3
ppt062,5,2,5,3,3,3,4,3,5,4,4,4,2,4,3
ppt063,3,4,6,4,4,6,2,3,6,4,2,3,5,6,3
ppt064,4,4,5,3,3,4,4,4,4,3,4,5,4,4,2
ppt065,4,3,4,4,3,4,5,4,4,5,4,5,2,1,4
ppt066,3,4,5,2,3,5,5,4,4,4,3,5,3,3,3
ppt067,3,4,5,3,5,3,6,3,3,5,2,4,5,6,6
ppt068,4,5,7,2,4,3,5,4,4,5,2,1,2,2,3
ppt069,2,4,5,4,5,4,6,6,4,5,6,5,4,5,4
ppt070,5,5,5,6,3,2,6,1,4,2,2,4,5,4,5
ppt071,5,2,4,4,2,3,4,4,5,3,2,4,3,3,5
ppt072,4,2,4,4,1,3,4,4,5,2,1,3,3,4,2
ppt073,4,3,5,6,4,3,3,5,6,3,4,4,5,3,4
ppt074,5,6,5,3,5,5,5,4,3,5,2,2,4,5,3
ppt075,5,5,7,2,4,4,5,3,7,5,1,4,6,3,4
ppt076,6,4,4,1,5,5,4,4,4,4,3,3,5,3,5
ppt077,3,3,6,4,4,7,4,2,5,4,3,3,4,5,5
ppt078,4,3,4,5,3,2,5,6,3,3,5,1,2,4,3
ppt079,5,4,6,5,3,4,6,5,3,7,2,6,5,3,4
ppt080,3,3,3,2,4,5,6,3,3,6,4,4,3,6,5
ppt081,5,6,5,5,5,5,3,3,7,2,4,2,4,5,2
ppt082,5,2,3,5,3,3,4,6,4,2,2,4,2,2,2
ppt083,6,3,6,4,6,6,4,5,4,6,2,3,3,3,4
ppt084,5,3,3,2,5,5,5,4,6,5,3,5,6,6,4
ppt085,5,6,7,5,4,7,5,2,5,4,4,4,7,6,3
ppt086,4,5,3,5,4,3,4,3,4,4,3,4,4,4,5
ppt087,6,4,5,4,3,5,5,5,2,4,5,4,6,4,4
ppt088,5,3,2,3,7,5,5,3,4,5,4,4,4,6,5
ppt089,5,1,4,3,3,3,3,6,3,4,4,2,2,5,2
ppt090,6,7,5,5,5,2,4,7,5,4,5,6,2,3,6
ppt091,5,4,6,3,6,5,4,4,6,5,2,3,4,6,5
ppt092,4,4,3,5,4,5,6,4,3,5,2,5,3,3,3
ppt093,6,3,3,3,4,4,4,3,5,3,2,4,5,5,3
ppt094,4,4,4,1,1,3,5,2,2,5,3,3,3,4,3
ppt095,6,5,4,3,4,4,6,4,5,5,4,3,5,4,5
ppt096,3,4,6,3,5,6,4,3,6,5,2,5,6,5,4
ppt097,4,4,5,6,3,3,4,4,3,5,4,5,5,6,3
ppt098,4,3,4,4,3,3,4,2,2,5,3,4,3,3,4
ppt099,3,6,7,3,6,5,5,4,6,4,4,4,4,3,5
ppt100,4,3,6,1,5,5,7,3,4,7,1,7,5,7,6
ppt001,3,3,3,5,1,3,5,4,2,5,7,4,1,2,2
ppt002,6,4,6,3,6,5,5,4,5,4,5,6,5,6,5
ppt003,4,4,3,5,4,4,5,6,5,5,6,5,3,2,5
ppt004,5,6,4,3,4,3,4,5,4,2,3,4,4,3,5
ppt005,6,6,5,5,4,3,5,4,4,5,2,4,3,5,5
ppt006,4,3,4,4,3,2,4,7,3,4,4,5,2,3,4
ppt007,7,2,5,7,1,3,5,6,4,4,6,3,3,5,4
ppt008,3,2,4,3,5,4,5,6,4,5,2,4,2,6,4
ppt009,5,2,3,4,3,3,3,6,6,3,4,4,5,4,3
ppt010,6,4,3,6,5,4,4,4,5,1,1,2,3,4,4
ppt011,2,3,5,2,5,3,4,3,3,5,2,2,7,5,4
ppt012,6,4,4,4,6,6,6,4,5,5,4,4,5,7,7
ppt013,3,4,6,2,5,4,3,3,3,3,2,1,3,6,3
ppt014,5,4,5,5,5,4,3,5,4,1,5,5,5,5,5
ppt015,5,3,4,3,4,5,3,5,5,4,3,3,3,3,5
ppt016,4,3,2,5,2,4,2,4,4,1,5,2,5,3,3
ppt017,4,6,6,5,6,5,4,4,4,4,1,3,3,4,3
ppt018,4,5,5,2,7,5,5,3,6,6,6,5,5,6,4
ppt019,5,3,3,3,6,4,5,4,4,4,5,4,4,5,3
ppt020,5,6,3,6,5,3,5,6,4,3,3,7,6,6,6
ppt021,3,4,4,2,2,4,5,4,4,4,2,5,2,4,4
ppt022,6,4,7,2,5,5,5,2,5,3,2,4,7,7,4
ppt023,4,3,3,2,5,5,3,4,5,3,2,4,3,3,3
ppt024,5,4,5,2,3,4,4,3,4,2,5,4,3,4,5
ppt025,7,2,3,5,3,3,4,6,4,2,6,6,2,4,6
ppt026,5,5,6,3,5,5,5,3,5,5,4,4,5,5,5
ppt027,3,7,5,2,4,4,5,3,5,4,3,4,3,3,5
ppt028,5,5,4,4,4,6,5,3,3,3,3,4,5,5,4
ppt029,3,3,6,5,5,6,5,4,4,5,4,4,3,4,3
ppt030,4,4,4,4,4,2,5,3,3,6,3,3,3,3,3
ppt031,3,6,7,4,5,5,4,2,5,4,4,3,6,6,4
ppt032,5,5,5,4,3,3,1,6,4,1,2,3,4,3,2
ppt033,4,5,5,1,5,3,6,4,6,5,2,4,4,6,4
ppt034,4,5,6,4,3,5,4,3,4,3,2,3,4,3,3
ppt035,5,5,4,4,4,4,4,4,5,3,4,5,3,2,4
ppt036,4,4,3,1,4,4,5,3,5,3,2,6,4,3,4
ppt037,5,3,3,4,3,3,4,5,4,2,2,2,2,4,2
ppt038,3,3,3,5,3,3,5,3,3,2,3,2,3,4,4
ppt039,4,5,5,3,5,4,3,4,5,1,3,2,4,4,1
ppt040,6,3,4,3,3,4,5,4,5,2,3,3,4,4,3
ppt041,4,3,4,5,4,2,7,6,4,6,4,4,3,4,5
ppt042,5,5,3,5,4,3,4,5,6,4,4,4,4,4,4
ppt043,4,4,5,1,5,5,5,3,3,4,3,3,5,4,4
ppt044,6,2,4,3,3,2,3,4,3,1,4,2,3,4,1
ppt045,4,3,5,3,3,3,7,3,3,3,3,6,3,3,4
ppt046,6,4,4,3,6,5,5,4,4,4,3,2,4,5,3
ppt047,7,5,3,3,5,4,6,5,3,4,4,4,4,5,4
ppt048,7,3,7,2,4,4,6,6,5,5,5,5,4,6,5
ppt049,7,4,4,5,6,2,4,6,4,1,4,1,4,4,2
ppt050,4,4,5,5,6,4,5,5,4,5,4,3,5,5,4
ppt051,7,5,6,5,5,7,5,5,5,4,3,5,7,7,5
ppt052,7,4,5,4,4,5,5,5,7,5,4,4,3,5,5
ppt053,4,4,5,4,6,6,5,4,5,4,4,5,4,5,5
ppt054,4,4,5,3,5,4,5,5,4,4,3,3,4,4,2
ppt055,3,4,7,2,4,5,5,2,5,5,1,3,5,5,4
ppt056,7,4,5,3,4,4,5,5,3,5,4,5,5,4,6
ppt057,5,3,3,2,3,4,4,3,3,3,4,3,5,5,4
ppt058,5,2,4,4,3,3,3,3,1,1,2,2,2,3,3
ppt059,5,4,4,2,4,5,4,5,5,3,2,3,4,6,3
ppt060,3,3,4,2,4,4,5,4,4,6,2,5,2,4,4
ppt061,6,3,5,3,2,3,3,2,5,2,5,2,3,4,3
ppt062,6,2,4,4,5,4,4,5,5,3,5,4,3,4,5
ppt063,4,6,6,6,5,5,5,5,4,5,4,5,4,5,4
ppt064,2,5,4,4,4,5,5,4,5,6,2,5,4,4,4
ppt065,3,6,5,3,4,5,4,4,5,3,2,2,5,5,4
ppt066,4,4,4,3,4,4,4,3,6,3,3,3,4,4,3
ppt067,7,4,4,4,5,2,4,5,4,6,4,4,4,4,4
ppt068,4,7,7,3,4,7,5,4,7,5,3,4,5,6,6
ppt069,6,5,5,5,7,6,6,5,4,6,3,5,4,5,5
ppt070,3,4,5,2,6,4,6,4,7,5,2,5,6,6,6
ppt071,3,6,3,2,5,6,4,5,4,2,2,4,2,4,4
ppt072,6,3,5,5,5,6,4,4,3,4,5,4,4,5,4
ppt073,3,4,5,4,2,2,5,2,3,3,3,4,4,4,4
ppt074,5,3,2,5,3,4,4,3,3,5,2,2,3,5,4
ppt075,3,5,3,4,5,3,2,3,5,2,2,3,3,4,2
ppt076,4,3,4,2,2,3,3,5,4,1,4,4,3,4,2
ppt077,5,3,4,5,3,3,5,5,4,5,4,5,2,2,4
ppt078,6,3,5,5,3,3,4,4,4,4,3,5,3,5,5
ppt079,3,4,7,4,3,4,2,3,4,3,1,2,5,7,3
ppt080,5,1,7,2,5,3,4,3,4,3,4,5,2,5,4
ppt081,3,4,3,3,5,4,3,4,4,3,4,3,1,4,2
ppt082,4,2,5,5,4,1,4,4,4,3,2,2,3,4,2
ppt083,4,4,5,3,6,4,4,3,7,2,2,3,5,4,3
ppt084,6,3,4,3,4,5,4,5,3,2,4,3,2,3,3
ppt085,6,2,5,4,5,5,5,5,6,4,3,2,4,5,3
ppt086,6,5,6,6,4,5,4,5,3,4,4,4,2,3,4
ppt087,5,4,5,4,7,4,5,4,4,3,2,4,6,6,4
ppt088,2,5,6,1,7,5,4,3,5,5,2,4,7,7,6
ppt089,3,7,5,4,3,4,4,4,2,2,2,3,4,4,3
ppt090,6,5,6,6,5,5,4,5,5,2,4,3,5,7,3
ppt091,6,2,2,5,2,2,3,2,1,3,3,2,3,3,3
ppt092,2,5,5,4,4,4,4,5,7,3,2,2,5,6,4
ppt093,4,4,5,4,7,4,5,5,3,4,2,5,3,4,5
ppt094,3,4,3,6,4,7,5,6,4,4,4,3,5,4,4
ppt095,5,3,4,4,3,4,3,5,4,3,3,3,3,4,4
ppt096,6,3,3,4,2,3,4,6,2,5,5,4,2,3,5
ppt097,3,5,5,3,4,4,4,2,5,2,4,4,2,4,5
ppt098,3,4,4,4,1,4,6,3,5,1,3,5,2,4,4
ppt099,2,7,7,4,5,6,5,4,5,5,2,4,6,5,5
ppt100,4,1,3,4,5,4,5,3,4,5,3,5,1,3,4
ppt001,4,2,4,5,3,1,4,2,3,3,3,3,3,3,1
ppt002,5,4,4,5,4,2,2,3,3,3,3,4,4,6,3
ppt003,5,4,6,3,6,3,5,3,5,4,3,3,5,4,3
ppt004,7,6,5,3,4,4,6,4,5,5,4,4,4,5,5
ppt005,4,4,5,3,3,5,5,5,4,5,2,3,5,3,5
ppt006,5,4,5,1,6,4,4,4,6,5,3,5,4,5,5
ppt007,5,3,4,3,4,2,5,5,4,3,5,2,3,5,3
ppt008,3,3,5,5,5,3,4,4,5,4,3,4,3,5,4
ppt009,5,1,4,5,2,3,4,4,4,2,4,2,1,5,1
ppt010,5,4,4,4,4,3,5,5,3,6,3,4,4,3,2
ppt011,5,3,5,6,2,4,3,2,3,2,4,2,1,3,3
ppt012,4,5,6,3,6,4,5,3,5,3,4,5,6,5,6
ppt013,5,4,4,4,4,4,5,3,3,2,3,4,5,4,4
ppt014,2,4,6,3,4,5,5,4,5,5,4,2,4,6,5
ppt015,2,4,6,1,5,4,5,1,6,4,2,4,4,5,4
ppt016,7,5,4,4,4,4,3,6,4,3,3,2,4,4,2
ppt017,5,5,1,4,3,2,5,7,4,3,4,4,1,4,4
ppt018,4,4,4,4,3,5,5,5,5,1,2,4,2,1,3
ppt019,5,3,5,6,4,4,5,2,3,1,5,4,5,4,3
ppt020,5,3,3,3,6,3,5,4,6,6,3,5,5,6,6
ppt021,4,2,4,3,2,1,4,5,1,4,3,2,2,2,4
ppt022,4,3,2,3,4,5,5,5,4,4,4,5,1,4,4
ppt023,5,4,4,5,4,4,4,5,3,4,5,4,2,4,3
ppt024,4,3,5,4,4,2,3,2,4,2,3,2,3,2,4
