ppt,trial_n,sentence,condition,belief,statement
ppt_1,trial_01,20,fluent,59.691609617635365,The square root of 16 is 4
ppt_1,trial_02,18,fluent,50.53310276069837,Rabbits can't be sick
ppt_1,trial_03,16,fluent,51.91906796683617,The Eiffel Tower grows 6 inches in summer
ppt_1,trial_04,19,fluent,36.4226146134157,The dot over a lowercase i and j is called a tittle
ppt_1,trial_05,11,fluent,53.61107983012066,The Sahara desert is only 25% sand
ppt_1,trial_06,6,disfluent,55.85147186315065,Water makes different sounds depending on its temperature
ppt_1,trial_07,3,disfluent,46.94614208614824,Honey doesn't go off
ppt_1,trial_08,2,disfluent,44.71839608825625,The first speeding fine was given in 1896
ppt_1,trial_09,13,fluent,52.226467535874036,It would take 19 minutes to fall to the center of the earth
ppt_1,trial_10,10,disfluent,48.77685255655878,You can draw a line 35 miles long using one pencil
ppt_1,trial_11,5,disfluent,44.5433447771932,The largest snowflake was bigger than most pizzas
ppt_1,trial_12,14,fluent,55.009636848170544,Sloths don't fart
ppt_1,trial_13,9,disfluent,45.17997638327474,It's impossible to hum while holding your nose
ppt_1,trial_14,15,fluent,46.736327041056086,Pigs don't sweat
ppt_1,trial_15,7,disfluent,43.97671340197671,Mickey Mouse was originally called Mortimer
ppt_1,trial_16,12,fluent,42.3721838013315,A hashtag is technically called an octothorp
ppt_1,trial_17,8,disfluent,48.96345595913739,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_1,trial_18,4,disfluent,50.83027774989861,A dog was voted mayor of a town in Minnesot 4 times
ppt_1,trial_19,1,disfluent,53.22920871309297,Candy floss was invented by a dentist
ppt_1,trial_20,17,fluent,44.209493705064226,Flamingos are pink because of their diet
ppt_10,trial_01,7,fluent,53.73433014121478,Mickey Mouse was originally called Mortimer
ppt_10,trial_02,16,disfluent,46.16870462445961,The Eiffel Tower grows 6 inches in summer
ppt_10,trial_03,17,disfluent,55.49409890784193,Flamingos are pink because of their diet
ppt_10,trial_04,14,disfluent,49.801743806749954,Sloths don't fart
ppt_10,trial_05,3,fluent,46.20950864678745,Honey doesn't go off
ppt_10,trial_06,13,disfluent,46.248244577047814,It would take 19 minutes to fall to the center of the earth
ppt_10,trial_07,5,fluent,48.6562249444225,The largest snowflake was bigger than most pizzas
ppt_10,trial_08,12,disfluent,49.32747606215076,A hashtag is technically called an octothorp
ppt_10,trial_09,18,disfluent,48.628303054824094,Rabbits can't be sick
ppt_10,trial_10,9,fluent,55.526196764314406,It's impossible to hum while holding your nose
ppt_10,trial_11,10,fluent,39.56357543397809,You can draw a line 35 miles long using one pencil
ppt_10,trial_12,4,fluent,44.78217319271814,A dog was voted mayor of a town in Minnesot 4 times
ppt_10,trial_13,6,fluent,57.201599255319564,Water makes different sounds depending on its temperature
ppt_10,trial_14,15,disfluent,49.33305750948883,Pigs don't sweat
ppt_10,trial_15,1,fluent,53.58915282662685,Candy floss was invented by a dentist
ppt_10,trial_16,20,disfluent,57.07602559062862,The square root of 16 is 4
ppt_10,trial_17,2,fluent,59.826583128669725,The first speeding fine was given in 1896
ppt_10,trial_18,8,fluent,40.66150238389805,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_10,trial_19,19,disfluent,39.290099448508556,The dot over a lowercase i and j is called a tittle
ppt_10,trial_20,11,disfluent,41.80657377075023,The Sahara desert is only 25% sand
ppt_11,trial_01,17,fluent,49.579926051344614,Flamingos are pink because of their diet
ppt_11,trial_02,1,disfluent,45.318891862213235,Candy floss was invented by a dentist
ppt_11,trial_03,18,fluent,52.244725433268165,Rabbits can't be sick
ppt_11,trial_04,3,disfluent,46.565336353427384,Honey doesn't go off
ppt_11,trial_05,11,fluent,43.545394002810724,The Sahara desert is only 25% sand
ppt_11,trial_06,13,fluent,47.91607785651739,It would take 19 minutes to fall to the center of the earth
ppt_11,trial_07,2,disfluent,32.99176348815655,The first speeding fine was given in 1896
ppt_11,trial_08,10,disfluent,43.738934034709935,You can draw a line 35 miles long using one pencil
ppt_11,trial_09,14,fluent,53.526459630846695,Sloths don't fart
ppt_11,trial_10,4,disfluent,53.60498097973452,A dog was voted mayor of a town in Minnesot 4 times
ppt_11,trial_11,5,disfluent,50.41205560644969,The largest snowflake was bigger than most pizzas
ppt_11,trial_12,20,fluent,51.11564217207449,The square root of 16 is 4
ppt_11,trial_13,19,fluent,34.028182207042974,The dot over a lowercase i and j is called a tittle
ppt_11,trial_14,8,disfluent,50.72319446325853,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_11,trial_15,12,fluent,41.59668069421407,A hashtag is technically called an octothorp
ppt_11,trial_16,7,disfluent,49.41062132567033,Mickey Mouse was originally called Mortimer
ppt_11,trial_17,15,fluent,50.69263238511315,Pigs don't sweat
ppt_11,trial_18,6,disfluent,53.93246324838089,Water makes different sounds depending on its temperature
ppt_11,trial_19,16,fluent,47.1213763876963,The Eiffel Tower grows 6 inches in summer
ppt_11,trial_20,9,disfluent,42.953096976658216,It's impossible to hum while holding your nose
ppt_12,trial_01,9,fluent,51.26269258769514,It's impossible to hum while holding your nose
ppt_12,trial_02,14,disfluent,43.08324258205066,Sloths don't fart
ppt_12,trial_03,15,disfluent,50.76751758601861,Pigs don't sweat
ppt_12,trial_04,1,fluent,55.737754525962295,Candy floss was invented by a dentist
ppt_12,trial_05,4,fluent,45.39839640103055,A dog was voted mayor of a town in Minnesot 4 times
ppt_12,trial_06,10,fluent,47.558627428904806,You can draw a line 35 miles long using one pencil
ppt_12,trial_07,3,fluent,45.405085084181145,Honey doesn't go off
ppt_12,trial_08,16,disfluent,39.69325636524963,The Eiffel Tower grows 6 inches in summer
ppt_12,trial_09,17,disfluent,52.421870480661354,Flamingos are pink because of their diet
ppt_12,trial_10,12,disfluent,48.693351598021145,A hashtag is technically called an octothorp
ppt_12,trial_11,5,fluent,44.803251851399,The largest snowflake was bigger than most pizzas
ppt_12,trial_12,8,fluent,53.68616522336557,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_12,trial_13,11,disfluent,54.69321090855575,The Sahara desert is only 25% sand
ppt_12,trial_14,6,fluent,48.23762806243582,Water makes different sounds depending on its temperature
ppt_12,trial_15,18,disfluent,39.65268342315427,Rabbits can't be sick
ppt_12,trial_16,19,disfluent,38.549176453316605,The dot over a lowercase i and j is called a tittle
ppt_12,trial_17,20,disfluent,59.248447969925934,The square root of 16 is 4
ppt_12,trial_18,7,fluent,42.05342919736609,Mickey Mouse was originally called Mortimer
ppt_12,trial_19,2,fluent,46.696301655998916,The first speeding fine was given in 1896
ppt_12,trial_20,13,disfluent,37.204342852620584,It would take 19 minutes to fall to the center of the earth
ppt_13,trial_01,18,fluent,58.71344115931889,Rabbits can't be sick
ppt_13,trial_02,4,disfluent,43.54321355154114,A dog was voted mayor of a town in Minnesot 4 times
ppt_13,trial_03,16,fluent,43.99145581793327,The Eiffel Tower grows 6 inches in summer
ppt_13,trial_04,15,fluent,48.06726250786894,Pigs don't sweat
ppt_13,trial_05,6,disfluent,48.84906130343237,Water makes different sounds depending on its temperature
ppt_13,trial_06,5,disfluent,53.578971240320556,The largest snowflake was bigger than most pizzas
ppt_13,trial_07,7,disfluent,38.487483276057596,Mickey Mouse was originally called Mortimer
ppt_13,trial_08,11,fluent,48.49843564708234,The Sahara desert is only 25% sand
ppt_13,trial_09,3,disfluent,47.87973784011431,Honey doesn't go off
ppt_13,trial_10,9,disfluent,49.02662297069876,It's impossible to hum while holding your nose
ppt_13,trial_11,1,disfluent,47.59340913270796,Candy floss was invented by a dentist
ppt_13,trial_12,12,fluent,50.99033579546175,A hashtag is technically called an octothorp
ppt_13,trial_13,8,disfluent,50.85606014874637,Cats have 5 paws on their front feet and 4 paws on their back feet
ppt_13,trial_14,19,fluent,38.60906337670771,The dot over a lowercase i and j is called a tittle
ppt_13,trial_15,14,fluent,48.964914638786155,Sloths don't fart
ppt_13,trial_16,17,fluent,48.51561450296562,Flamingos are pink because of their diet
ppt_13,trial_17,2,disfluent,40.46224480937762,The first speeding fine was given in 1896
ppt_13,trial_18,13,fluent,41.51321227532631,It would take 19 minutes to fall to the center of the earth
ppt_13,trial_19,10,disfluent,44.954910862523874,You can draw a line 35 miles long using one pencil
ppt_13,trial_20,20,fluent,54.43501116383291,The square root of 16 is 4
ppt_14,trial_01,6,fluent,46.65361015269918,Water makes different sounds depending on its temperature
ppt_14,trial_02,3,fluent,46.64901686903064,Honey doesn't go off
ppt_14,trial_03,17,disfluent,51.26118258479415,Flamingos are pink because of their diet
ppt_14,trial_04,13,disfluent,46.98246530851528,It would take 19 minutes to fall to the center of the earth
ppt_14,trial_05,4,fluent,48.4264908484804,A dog was voted mayor of a town in Minnesot 4 times
ppt_14,trial_06,9,fluent,46.587603927715406,It's impossible to hum while holding your nose
ppt_14,trial_07,1,fluent,52.150620854452534,Candy floss was invented by a dentist
ppt_14,trial_08,16,disfluent,47.06539612980291,The Eiffel Tower grows 6 inches in summer
ppt_14,trial_09,20,disfluent,48.981821551204206,The square root of 16 is 4
ppt_14,trial_10,14,disfluent,43.45540271588255,Sloths don't fart
ppt_14,trial_11,11,disfluent,48.84168810452609,The Sahara desert is only 25% sand
