ID,Degree,Year,Score1,Score2
ID101,Psych,2,71,74
ID102,Ling,2,65,72
ID103,Ling,2,64,72
ID104,Phil,1,69,74
ID105,Ling,3,62,69
ID106,Ling,1,68,72
ID107,Phil,3,66,75
ID108,Psych,1,64,71
ID109,Psych,3,65,73
ID110,Ling,1,64,72
ID111,Psych,1,72,75
ID112,Psych,2,64,71
ID113,Psych,2,63,71
ID114,Phil,2,64,73
ID115,Ling,3,64,69
ID116,Psych,2,64,73
ID117,Phil,3,66,71
ID118,Psych,2,70,75
ID119,Phil,2,66,72
ID120,Ling,4,63,73
ID121,Psych,3,70,77
ID122,Ling,2,65,72
ID123,Psych,2,62,67
ID124,Psych,2,65,67
ID125,Ling,2,70,77
ID126,Ling,2,69,72
ID127,Ling,2,69,75
ID128,Psych,2,66,73
ID129,Phil,3,69,74
ID130,Psych,1,63,70
ID131,Ling,2,68,69
ID132,Ling,4,67,75
ID133,Psych,1,65,72
ID134,Phil,3,66,74
ID135,Ling,2,63,73
ID136,Ling,1,63,68
ID137,Ling,3,68,78
ID138,Ling,1,68,73
ID139,Ling,2,66,73
ID140,Ling,2,63,68
ID141,Ling,2,67,71
ID142,Ling,2,66,74
ID143,Ling,1,67,70
ID144,Phil,1,63,72
ID145,Ling,2,64,70
ID146,Psych,2,67,72
ID147,Phil,2,66,71
ID148,Ling,2,66,69
ID149,Joint,1,66,77
ID150,Ling,2,64,73
ID151,Ling,2,72,73
ID152,Ling,2,61,71
ID153,Ling,2,60,67
ID154,Ling,2,68,74
ID155,Psych,3,70,73
ID156,Joint,3,68,76
ID157,Ling,2,64,71
ID158,Ling,1,64,72
ID159,Phil,3,65,67
ID160,Psych,3,66,73
ID161,Psych,1,64,66
ID162,Ling,2,65,75
ID163,Phil,2,65,69
ID164,Ling,2,64,75
ID165,Ling,3,68,69
ID166,Psych,4,63,72
ID167,Ling,2,62,68
ID168,Ling,1,67,70
ID169,Ling,2,68,75
ID170,Phil,3,61,68
ID171,Psych,2,74,76
ID172,Ling,2,71,73
ID173,Ling,2,68,73
ID174,Ling,2,67,74
ID175,Psych,2,64,71
ID176,Phil,4,66,72
ID177,Phil,3,71,75
ID178,Ling,2,64,71
ID179,Phil,1,64,64
ID180,Phil,2,61,71
ID181,Phil,3,69,73
ID182,Psych,3,68,73
ID183,Psych,2,64,74
ID184,Ling,1,66,73
ID185,Joint,2,70,74
ID186,Psych,1,73,75
ID187,Ling,2,63,69
ID188,Ling,3,65,73
ID189,Phil,1,62,71
ID190,Ling,4,67,72
ID191,Psych,3,65,72
ID192,Ling,2,64,71
ID193,Phil,2,64,72
ID194,Ling,4,68,72
ID195,Phil,2,66,74
ID196,Psych,2,65,72
ID197,Ling,2,66,74
ID198,Ling,1,64,71
ID199,Ling,2,69,70
ID200,Ling,4,63,73
ID201,Joint,3,68,76
ID202,Ling,2,68,73
ID203,Ling,2,66,73
ID204,Ling,1,68,70
ID205,Psych,2,68,74
ID206,Ling,1,68,70
ID207,Ling,2,65,70
ID208,Ling,3,65,72
ID209,Phil,1,60,71
ID210,Joint,3,64,70
ID211,Psych,2,65,74
ID212,Psych,2,67,74
ID213,Phil,1,68,71
ID214,Ling,3,64,69
ID215,Ling,2,65,71
ID216,Ling,3,62,70
ID217,Ling,1,61,76
ID218,Phil,2,69,74
ID219,Ling,3,67,72
ID220,Ling,1,68,74
ID221,Ling,3,67,75
ID222,Ling,3,65,72
ID223,Ling,2,64,73
ID224,Ling,3,68,73
ID225,Ling,3,67,72
ID226,Ling,3,67,74
ID227,Joint,1,65,77
ID228,Ling,2,65,70
ID229,Joint,4,67,72
ID230,Ling,1,66,72
ID231,Ling,2,69,74
ID232,Joint,2,62,72
ID233,Ling,2,64,72
ID234,Ling,3,66,74
ID235,Psych,3,65,71
ID236,Joint,4,67,68
ID237,Ling,3,71,74
ID238,Ling,3,63,71
ID239,Ling,1,64,73
ID240,Psych,2,69,73
ID241,Ling,1,63,69
ID242,Ling,2,67,72
ID243,Ling,4,68,72
ID244,Phil,3,63,69
ID245,Phil,2,71,73
ID246,Psych,1,65,71
ID247,Phil,2,62,73
ID248,Joint,1,67,71
ID249,Ling,1,60,69
ID250,Ling,2,71,76
