ppt,hours,n_fish,tiredness,caught_any
fisherperson 1,2,0,51,0
fisherperson 2,1.9,0,43,1
fisherperson 3,1.7,0,42,0
fisherperson 4,3.7,0,41,0
fisherperson 5,2.3,0,55,0
fisherperson 6,3.1,0,32,0
fisherperson 7,2.2,0,56,0
fisherperson 8,4.3,0,65,0
fisherperson 9,5.6,3,74,1
fisherperson 10,2.8,0,49,1
fisherperson 11,2.8,0,49,0
fisherperson 12,0.5,0,49,0
fisherperson 13,5.9,5,71,1
fisherperson 14,4.1,0,84,0
fisherperson 15,2.5,0,40,1
fisherperson 16,8.5,15,96,1
fisherperson 17,1.6,0,44,0
fisherperson 18,5.2,2,65,1
fisherperson 19,2.8,0,42,1
fisherperson 20,8,9,87,1
fisherperson 21,9.1,0,87,0
fisherperson 22,4.6,4,65,1
fisherperson 23,6.1,8,56,1
fisherperson 24,2.4,0,45,0
fisherperson 25,3,0,53,1
fisherperson 26,1.2,0,41,0
fisherperson 27,5.8,0,79,0
fisherperson 28,5.9,0,52,0
fisherperson 29,3.9,3,62,1
fisherperson 30,4.4,1,40,1
fisherperson 31,3,0,56,0
fisherperson 32,8,13,93,1
fisherperson 33,4.8,4,78,1
fisherperson 34,8.2,14,71,1
fisherperson 35,3,0,59,0
fisherperson 36,2.1,0,39,1
fisherperson 37,1.6,0,54,0
fisherperson 38,3.2,0,69,0
fisherperson 39,2.5,0,65,0
fisherperson 40,3.3,0,33,1
fisherperson 41,7.8,21,86,1
fisherperson 42,5.4,4,73,1
fisherperson 43,1.6,0,39,0
fisherperson 44,1,0,40,0
fisherperson 45,6.1,13,69,1
fisherperson 46,4.9,3,64,1
fisherperson 47,2.6,0,61,1
fisherperson 48,2.1,0,24,1
fisherperson 49,7.7,13,78,1
fisherperson 50,4.3,1,54,1
fisherperson 51,5.4,1,66,1
fisherperson 52,3,1,38,1
fisherperson 53,4.1,0,59,0
fisherperson 54,3.2,0,61,0
fisherperson 55,2.6,0,58,0
fisherperson 56,2,0,17,0
fisherperson 57,3,1,42,1
fisherperson 58,5.7,7,56,1
fisherperson 59,1.4,0,43,0
fisherperson 60,7.1,6,82,1
fisherperson 61,4.9,1,49,1
fisherperson 62,4.3,0,64,0
fisherperson 63,8.2,14,80,1
fisherperson 64,3.7,2,37,1
fisherperson 65,1.5,0,48,0
fisherperson 66,3,0,43,0
fisherperson 67,1.8,0,25,0
fisherperson 68,7.1,4,62,1
fisherperson 69,7.4,21,69,1
fisherperson 70,1.6,0,32,1
fisherperson 71,4.9,2,55,1
fisherperson 72,1.3,0,44,1
fisherperson 73,8.1,21,77,1
fisherperson 74,3.5,0,47,0
fisherperson 75,2.1,0,39,0
fisherperson 76,1.7,0,47,1
fisherperson 77,4,0,78,0
fisherperson 78,2.9,1,54,1
fisherperson 79,2.1,0,41,0
fisherperson 80,8.4,20,63,1
fisherperson 81,5.5,5,74,1
fisherperson 82,8.3,24,75,1
fisherperson 83,2.8,0,47,0
fisherperson 84,2.2,0,50,0
fisherperson 85,3,3,55,1
fisherperson 86,5.7,2,58,1
fisherperson 87,3.4,0,53,1
fisherperson 88,4.4,0,72,0
fisherperson 89,6.2,6,64,1
fisherperson 90,6,2,72,1
fisherperson 91,3.7,0,62,0
fisherperson 92,2.2,2,37,1
fisherperson 93,2.6,2,47,1
fisherperson 94,7.4,9,72,1
fisherperson 95,2.7,0,48,0
fisherperson 96,2.8,0,53,0
fisherperson 97,2.4,0,36,0
fisherperson 98,5.8,4,68,1
fisherperson 99,4.1,0,71,0
fisherperson 100,5.3,2,45,1
fisherperson 101,0.7,0,18,0
fisherperson 102,3.7,0,42,0
fisherperson 103,6.5,5,69,1
fisherperson 104,2.6,0,29,0
fisherperson 105,8.6,32,94,1
fisherperson 106,1.3,0,52,0
fisherperson 107,7.9,12,72,1
fisherperson 108,4.4,2,49,1
fisherperson 109,9.3,29,84,1
fisherperson 110,3.9,0,48,0
fisherperson 111,2.8,0,50,0
fisherperson 112,4.8,6,66,1
fisherperson 113,4.6,0,45,0
fisherperson 114,2.2,0,31,0
fisherperson 115,3.5,0,48,1
fisherperson 116,3.4,0,56,1
fisherperson 117,5,2,63,1
fisherperson 118,2.1,0,58,0
fisherperson 119,1.1,0,41,0
fisherperson 120,5.1,3,47,1
