online,imp_1,imp_2,imp_3,imp_4,imp_5,imp_6,gain
casino,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,0
casino,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Agree,-12
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-35
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,-20
online,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-14
casino,Neither Disagree nor Agree,Disagree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-28
casino,Neither Disagree nor Agree,Disagree,Agree,Disagree,Disagree,Disagree,-13
online,Agree,Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,-9
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-9
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-11
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,-5
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,-20
online,Agree,Agree,Agree,Agree,Disagree,Neither Disagree nor Agree,-12
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Disagree,Neither Disagree nor Agree,-3
online,Agree,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,-35
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Disagree,Disagree,-11
casino,Agree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,-30
online,Strongly Agree,Agree,Neither Disagree nor Agree,Disagree,Disagree,Strongly Disagree,-25
online,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-7
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Agree,-5
casino,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-31
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-14
online,Agree,Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree,-27
online,Agree,Disagree,Agree,Neither Disagree nor Agree,Disagree,Disagree,-31
casino,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-24
casino,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,-9
online,Agree,Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,-4
online,Agree,Agree,Agree,Agree,Disagree,Disagree,-30
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,-5
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,2
casino,Disagree,Disagree,Neither Disagree nor Agree,Disagree,Agree,Disagree,1
casino,Disagree,Disagree,Disagree,Disagree,Agree,Neither Disagree nor Agree,-20
casino,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,-15
casino,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-21
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,-5
online,Agree,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,-29
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-17
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,-23
online,Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,Strongly Disagree,-4
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-8
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,17
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Disagree,-20
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-31
casino,Strongly Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-19
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-8
casino,Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-31
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Disagree,Neither Disagree nor Agree,-17
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,-17
casino,Disagree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,0
casino,Disagree,Disagree,Disagree,Disagree,Agree,Agree,0
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-14
online,Agree,Agree,Neither Disagree nor Agree,Agree,Disagree,Strongly Disagree,-21
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-7
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-30
casino,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,-18
online,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,-16
casino,Disagree,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-16
casino,Agree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-4
online,Agree,Agree,Agree,Strongly Disagree,Neither Disagree nor Agree,Strongly Disagree,-16
online,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Disagree,Disagree,-15
online,Agree,Agree,Agree,Agree,Disagree,Neither Disagree nor Agree,-10
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-28
online,Agree,Strongly Agree,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,-30
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-28
casino,Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,-9
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Agree,-29
casino,Strongly Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-2
online,Neither Disagree nor Agree,Disagree,Disagree,Strongly Disagree,Disagree,Neither Disagree nor Agree,-2
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Disagree,-34
casino,Strongly Agree,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Strongly Disagree,-3
casino,Strongly Disagree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-22
casino,Disagree,Strongly Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,-6
casino,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Neither Disagree nor Agree,-10
casino,Disagree,Strongly Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-6
casino,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-11
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Disagree,-18
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree,Agree,-7
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-3
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,12
casino,Disagree,Strongly Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,-22
online,Disagree,Strongly Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-5
online,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-3
online,Disagree,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,-22
