height,handspan
68,21.5
71,23.5
73,22.5
64,18
68,23.5
59,20
73,23
75,24.5
65,21
69,20.5
69,20.5
64,18.5
67,21
67,19.5
69,22
73,22
62,20
69,22.5
64,18.5
74,21.5
73,24.5
66,20.5
74,24.5
73,21
69,21
64,18.5
67,18
60,19.5
75,20.5
64,21
67,20
67,20
66,19
62,17
72,22
71,22
61,17.5
63,19
66,19
71,22
71,22
66,18.5
70,20
67,20.5
69,21
67,19.5
68,20
67,21.5
68,22.5
71,20
70,22.5
74,24.5
60,18.5
65,20
72,24
76,23.5
66,21
64.5,19.5
71,20
69,22.5
64,20
65,20
74,24
68,21
68,21.5
69,18.5
68,23
67,23
61.5,20.5
63,16.5
67,19.5
71,23
73,22.5
63,18.5
61,18.5
67,21.5
72,20.5
72,20.5
68,20
66,21
67,21.5
67,20.5
72,20.5
67.5,21
63.75,21.5
72,21.5
69,22.5
68,21
71,21
71,22
63,19
70,23
68,20.5
67.5,20.5
75,21
74,24
71,22
71,21
64,19.5
71,21
69,19.5
65,19
69,23
63,20.5
70,24
71,22
64,20
63,21.5
65,19
66,19
66,20
65,19.5
67.5,20
57,16
72,22.5
64,17.5
67,19.5
68,22.5
63,20
67,21.5
66,20.5
72,23.5
74,22
69,18
68,19
65,19.5
64,19
67,20
74,23.5
73,24
64,18.5
76,24.5
68,20
76,23
64.25,22
69,22.5
75,24.5
61.5,17
69,22
67,22
74,24.5
74,24
71,18.5
71,21.5
63,21
67,22
65,20.5
68,19
67,20.5
73,23
78,25.5
62,18.5
70,19
64,19
64,20
72,20.5
74,24
70,22
70,23.5
62,17
64,18.5
66,20
60,17
73,23
66,18.5
68,21
73,21
