hrs_sleep,alc,sdmt
6.75,n,62
6.25,y,41
8.75,y,37
7.5,n,69
7.5,y,66
7.25,n,47
10.25,y,69
5.75,n,40
6.75,n,58
8,n,51
8,n,77
8,y,49
7,y,49
7.5,n,60
9.5,n,86
6.75,n,62
7,y,54
5.25,y,49
6.5,y,47
7,n,38
7.5,n,61
8.25,y,51
6.75,n,70
5.75,n,43
6.25,n,64
8.75,n,66
6.75,y,36
7.5,y,54
8.75,y,53
8.5,n,79
6,n,53
6,n,55
9.5,y,48
6.75,n,52
6.5,y,46
5,n,31
8.75,y,56
7.5,y,48
7.75,y,55
7.25,n,61
7.5,y,46
8.5,n,52
9,n,76
7.75,y,49
6.25,n,48
7.5,y,28
6.75,y,48
7.75,n,50
5.5,n,41
5.25,y,47
10.5,y,72
8.25,n,65
9.25,y,56
6,n,62
6.75,n,64
7.25,n,49
6.25,n,46
6.75,n,60
6.25,y,51
9.5,n,79
7.25,n,52
6,y,51
5,y,22
7,y,42
8.25,n,71
7.75,y,60
5,n,50
8,n,55
7.5,y,61
7,n,46
7.25,y,53
8.5,n,72
7,y,48
7,n,53
7,n,55
4.25,n,36
7.5,n,72
6.5,y,45
7.75,n,73
7.25,n,49
6.75,n,61
6.75,n,48
6.75,n,62
7.25,y,43
7.25,y,59
7.25,y,56
9.75,n,79
6.5,y,41
6.75,y,49
5.75,n,42
7.75,y,50
5.5,y,46
8.75,n,55
8.25,y,72
5.25,y,50
8.25,n,86
8.25,n,61
7.5,y,63
8.5,n,62
6.25,n,48
7,y,64
7,n,67
5.25,n,53
6.75,n,55
7,n,41
5,n,35
7.25,y,45
