"q_irritability","q_hunger","ppt","fivetwo"
17,30,"N1p1",1
19,27,"N1p1",1
19,29,"N1p1",1
20,33,"N1p1",1
24,14,"N1p1",1
30,28,"N1p2",1
42,44,"N1p2",1
29,27,"N1p2",1
40,56,"N1p2",1
15,8,"N1p2",1
36,40,"N1p3",1
36,43,"N1p3",1
42,50,"N1p3",1
41,44,"N1p3",1
29,39,"N1p3",1
21,29,"N1p4",1
27,67,"N1p4",1
32,27,"N1p4",1
39,51,"N1p4",1
36,59,"N1p4",1
14,43,"N1p5",1
12,43,"N1p5",1
30,64,"N1p5",1
22,60,"N1p5",1
15,53,"N1p5",1
20,30,"N1p6",1
15,58,"N1p6",1
19,37,"N1p6",1
35,70,"N1p6",1
18,72,"N1p6",1
32,52,"N1p7",1
58,79,"N1p7",1
38,50,"N1p7",1
45,69,"N1p7",1
43,65,"N1p7",1
40,58,"N1p8",1
31,53,"N1p8",1
29,49,"N1p8",1
44,69,"N1p8",1
27,56,"N1p8",1
23,49,"N1p9",1
34,60,"N1p9",1
27,53,"N1p9",1
13,39,"N1p9",1
32,55,"N1p9",1
22,71,"N1p10",1
34,56,"N1p10",1
28,63,"N1p10",1
30,64,"N1p10",1
36,77,"N1p10",1
31,76,"N1p11",1
28,73,"N1p11",1
46,79,"N1p11",1
55,89,"N1p11",1
56,87,"N1p11",1
52,78,"N1p12",1
52,98,"N1p12",1
43,87,"N1p12",1
42,80,"N1p12",1
44,51,"N1p12",1
42,52,"N2p1",0
24,47,"N2p1",0
17,8,"N2p1",0
26,47,"N2p1",0
27,42,"N2p1",0
17,48,"N2p2",0
18,34,"N2p2",0
22,35,"N2p2",0
14,52,"N2p2",0
31,29,"N2p2",0
29,33,"N2p3",0
19,35,"N2p3",0
16,16,"N2p3",0
21,37,"N2p3",0
17,18,"N2p3",0
21,56,"N2p4",0
24,37,"N2p4",0
28,20,"N2p4",0
17,67,"N2p4",0
17,42,"N2p4",0
16,26,"N2p5",0
26,53,"N2p5",0
18,51,"N2p5",0
25,73,"N2p5",0
15,48,"N2p5",0
16,50,"N2p6",0
11,33,"N2p6",0
19,70,"N2p6",0
17,55,"N2p6",0
9,41,"N2p6",0
12,59,"N2p7",0
12,44,"N2p7",0
18,52,"N2p7",0
0,66,"N2p7",0
12,69,"N2p7",0
13,44,"N2p8",0
8,54,"N2p8",0
22,79,"N2p8",0
16,66,"N2p8",0
24,71,"N2p8",0
9,67,"N2p9",0
8,58,"N2p9",0
6,56,"N2p9",0
19,76,"N2p9",0
9,68,"N2p9",0
6,83,"N2p10",0
22,49,"N2p10",0
8,69,"N2p10",0
10,53,"N2p10",0
8,73,"N2p10",0
37,51,"N3p1",1
24,37,"N3p1",1
37,52,"N3p1",1
18,32,"N3p1",1
36,43,"N3p1",1
35,32,"N3p2",1
19,28,"N3p2",1
35,30,"N3p2",1
34,41,"N3p2",1
27,38,"N3p2",1
22,34,"N3p3",1
43,49,"N3p3",1
29,38,"N3p3",1
30,43,"N3p3",1
43,53,"N3p3",1
26,32,"N3p4",1
31,48,"N3p4",1
32,46,"N3p4",1
39,45,"N3p4",1
41,59,"N3p4",1
27,45,"N3p5",1
20,23,"N3p5",1
29,48,"N3p5",1
41,58,"N3p5",1
28,34,"N3p5",1
14,41,"N3p6",1
11,43,"N3p6",1
9,44,"N3p6",1
20,50,"N3p6",1
16,45,"N3p6",1
38,63,"N3p7",1
37,68,"N3p7",1
41,63,"N3p7",1
39,55,"N3p7",1
48,36,"N3p7",1
55,76,"N3p8",1
26,39,"N3p8",1
57,65,"N3p8",1
63,73,"N3p8",1
55,61,"N3p8",1
41,48,"N4p1",0
30,24,"N4p1",0
38,40,"N4p1",0
19,18,"N4p1",0
20,27,"N4p1",0
22,59,"N4p2",0
21,38,"N4p2",0
20,35,"N4p2",0
17,44,"N4p2",0
12,5,"N4p2",0
28,9,"N4p3",0
26,56,"N4p3",0
22,28,"N4p3",0
23,39,"N4p3",0
32,37,"N4p3",0
29,51,"N4p4",0
