q_irritability,q_hunger,ppt
42,52,N2p1
24,47,N2p1
17,8,N2p1
26,47,N2p1
27,42,N2p1
17,48,N2p2
18,34,N2p2
22,35,N2p2
14,52,N2p2
31,29,N2p2
29,33,N2p3
19,35,N2p3
16,16,N2p3
21,37,N2p3
17,18,N2p3
21,56,N2p4
24,37,N2p4
28,20,N2p4
17,67,N2p4
17,42,N2p4
16,26,N2p5
26,53,N2p5
18,51,N2p5
25,73,N2p5
15,48,N2p5
16,50,N2p6
11,33,N2p6
19,70,N2p6
17,55,N2p6
9,41,N2p6
12,59,N2p7
12,44,N2p7
18,52,N2p7
0,66,N2p7
12,69,N2p7
13,44,N2p8
8,54,N2p8
22,79,N2p8
16,66,N2p8
24,71,N2p8
9,67,N2p9
8,58,N2p9
6,56,N2p9
19,76,N2p9
9,68,N2p9
6,83,N2p10
22,49,N2p10
8,69,N2p10
10,53,N2p10
8,73,N2p10
41,48,N4p1
30,24,N4p1
38,40,N4p1
19,18,N4p1
20,27,N4p1
22,59,N4p2
21,38,N4p2
20,35,N4p2
17,44,N4p2
12,5,N4p2
28,9,N4p3
26,56,N4p3
22,28,N4p3
23,39,N4p3
32,37,N4p3
29,51,N4p4
17,46,N4p4
26,35,N4p4
22,41,N4p4
23,55,N4p4
24,54,N4p5
10,55,N4p5
1,51,N4p5
17,62,N4p5
13,45,N4p5
14,64,N4p6
30,47,N4p6
14,73,N4p6
29,49,N4p6
26,49,N4p6
22,62,N4p7
26,50,N4p7
25,50,N4p7
27,73,N4p7
13,44,N4p7
25,65,N4p8
30,71,N4p8
23,59,N4p8
24,61,N4p8
34,67,N4p8
27,53,N4p9
28,57,N4p9
21,66,N4p9
19,80,N4p9
28,55,N4p9
18,58,N4p10
13,85,N4p10
18,79,N4p10
15,55,N4p10
15,71,N4p10
2,42,N6p1
11,35,N6p1
1,13,N6p1
4,53,N6p1
7,35,N6p1
15,45,N6p2
12,41,N6p2
4,39,N6p2
0,34,N6p2
6,42,N6p2
8,39,N6p3
10,23,N6p3
11,39,N6p3
8,51,N6p3
0,22,N6p3
2,42,N6p4
6,46,N6p4
2,44,N6p4
3,37,N6p4
0,37,N6p4
12,60,N6p5
7,46,N6p5
4,26,N6p5
0,52,N6p5
0,32,N6p5
32,66,N6p6
1,40,N6p6
1,41,N6p6
5,39,N6p6
25,63,N6p6
24,49,N6p7
14,47,N6p7
19,61,N6p7
16,36,N6p7
14,51,N6p7
16,58,N6p8
0,43,N6p8
15,42,N6p8
5,52,N6p8
12,77,N6p8
9,23,N8p1
19,30,N8p1
28,30,N8p1
0,10,N8p1
41,45,N8p1
16,37,N8p2
10,36,N8p2
13,27,N8p2
13,31,N8p2
16,35,N8p2
12,24,N8p3
13,39,N8p3
11,16,N8p3
27,40,N8p3
20,48,N8p3
29,46,N8p4
19,45,N8p4
21,52,N8p4
28,39,N8p4
18,31,N8p4
23,73,N8p5
14,41,N8p5
9,34,N8p5
38,68,N8p5
27,55,N8p5
21,53,N8p6
25,56,N8p6
28,36,N8p6
29,50,N8p6
22,64,N8p6
27,42,N8p7
20,50,N8p7
27,62,N8p7
20,59,N8p7
25,81,N8p7
