country,region,life_expectancy,wellbeing,happy_life_years,footprint,inequality_of_outcomes,inequality_adjusted_life_expectancy,inequality_adjusted_wellbeing,happy_planet_index,gdp_per_capita,population,gini_index,hpi_rank
Afghanistan,Middle East and North Africa,59.668,3.8,12.39602380874025,0.79,0.426557441321005,38.348817624915164,3.39049431767374,20.225349770957084,690.8426290149556,29726803,Data unavailable,110
Albania,Post-communist,77.347,5.5,34.414736010872105,2.21,0.16513371734395715,69.67115927983652,5.097650400487445,36.766874439109955,4247.485436815021,2900489,28.96,13
Algeria,Middle East and North Africa,74.313,5.6,30.469461311230717,2.12,0.2448617478895881,60.47454459360247,5.196449185598304,33.300542788615374,5583.6161595013145,37439427,Data unavailable,30
Argentina,Americas,75.927,6.5,40.16667387457994,3.14,0.1642383010777108,68.3495831090017,6.034707039597871,35.190243642294554,14357.411589390274,42095224,42.49,19
Armenia,Post-communist,74.446,4.3,24.01876006070231,2.23,0.21664810329631143,66.92168232301029,3.7471395980191797,25.666417288436907,3565.5175749253985,2978339,30.48,73
Australia,Asia Pacific,82.052,7.2,53.06949770952637,9.31,0.08067824767105994,78.5600237730927,6.913334932379405,21.228966308259448,67646.10385296255,22728254,Data unavailable,105
Austria,Europe,81.004,7.4,54.43622961721691,6.06,0.07129350512862645,78.02278579332881,7.135020328712085,30.47822432661251,48324.25403676059,8429991,30.48,43
Bangladesh,Asia Pacific,70.843,4.7,23.28948168675647,0.72,0.2736572489916234,56.62464874469912,4.271012943248788,38.3906944120402,858.9333625876206,155257387,Data unavailable,8
Belarus,Post-communist,70.874,5.7,34.01432739927736,5.09,0.13190987750517025,66.74485151737974,5.254227139247806,21.718916081617902,6721.834907739675,9464000,26.01,102
Belgium,Europe,80.429,6.9,49.537808079218166,7.44,0.08537280272038357,77.21074725167703,6.573976019303335,23.726523427085876,44731.219479463754,11128246,27.59,87
Belize,Americas,69.795,6.142857142857167,34.17681295876624,2.54818,0.18012316717867774,61.66504682999505,5.700386150670057,33.83984315201018,4674.293376734075,336707,Data unavailable,27
Benin,Sub Saharan Africa,59.167,3.2,9.935781015673808,1.41,0.44411329150235457,37.26979931925181,2.8239614471712553,13.422364785112695,807.688451017232,10049792,Data unavailable,137
Bhutan,Asia Pacific,68.748,5.6,27.412124972715244,2.32167,0.2655913919503828,54.52441464176365,5.185550190320154,28.623232694458203,2452.1515879374133,743711,38.65,56
Bolivia,Americas,67.45,6,25.556965534075744,2.96,0.34980513854444406,47.85815272165475,5.498203450548171,23.32149264012432,2645.29027433174,10238762,46.7,92
Bosnia and Herzegovina,Post-communist,76.175,4.8,28.638083217409843,3.12,0.1860445575221501,71.07562838316008,4.18729562802029,25.285496892917735,4494.640811977125,3828419,Data unavailable,76
Botswana,Sub Saharan Africa,64.249,4.8,21.280916438500835,3.83,0.28391285295231716,50.79681579185376,4.347474058927432,16.60508318606135,6935.593652665933,2132822,Data unavailable,126
Brazil,Americas,73.907,6.9,38.96429571015465,3.11,0.21632152997386372,63.27166723853446,6.316308037442293,34.344975247648655,12157.308217647336,202401584,52.67,23
Bulgaria,Post-communist,73.913,4.2,23.980292568101433,3.32,0.19283422250569082,68.136289796767,3.6775143762234066,20.440789274271474,7333.355073039454,7305888,36.01,109
Burkina Faso,Sub Saharan Africa,57.955,4,12.579612792510288,1.21,0.43249261063247524,36.46481723789138,3.607849235741492,17.886187937472513,673.0267834254068,16590813,Data unavailable,119
