PID,group,plle,cog_apt,n_correct
ppt_1,studystudy,experienced,0.5,11
ppt_2,studystudy,novice,-0.1,3
ppt_3,studystudy,novice,-0.8,27
ppt_4,studystudy,novice,-1,5
ppt_5,studystudy,novice,-1,9
ppt_6,studystudy,novice,-0.8,4
ppt_7,studystudy,experienced,-0.5,16
ppt_8,studystudy,experienced,1.2,3
ppt_9,studystudy,experienced,0.4,22
ppt_10,studystudy,experienced,-0.7,18
ppt_11,studystudy,novice,1.6,22
ppt_12,studystudy,novice,-1,14
ppt_13,studystudy,novice,-1.9,6
ppt_14,studystudy,novice,-0.2,3
ppt_15,studystudy,experienced,1.1,3
ppt_16,studystudy,novice,1,15
ppt_17,studystudy,novice,-0.5,8
ppt_18,studystudy,novice,0.4,9
ppt_19,studystudy,novice,-1.2,8
ppt_20,studystudy,novice,-0.5,15
ppt_21,studystudy,novice,-0.8,3
ppt_22,studystudy,experienced,1.6,17
ppt_23,studystudy,novice,0.5,12
ppt_24,studystudy,novice,-1.2,7
ppt_25,studystudy,novice,0.6,2
ppt_26,studystudy,novice,0.9,16
ppt_27,studystudy,novice,1,9
ppt_28,studystudy,novice,-0.3,14
ppt_29,studystudy,novice,-2.4,11
ppt_30,studystudy,novice,1.8,26
ppt_31,studytest,novice,0,11
ppt_32,studytest,novice,-1.2,19
ppt_33,studytest,novice,-0.6,12
ppt_34,studytest,novice,1.8,8
ppt_35,studytest,novice,1.3,23
ppt_36,studytest,experienced,-0.4,18
ppt_37,studytest,novice,-0.4,25
ppt_38,studytest,experienced,0,5
ppt_39,studytest,novice,1.3,16
ppt_40,studytest,novice,0.1,10
ppt_41,studytest,novice,-1.8,18
ppt_42,studytest,novice,-1.8,5
ppt_43,studytest,novice,-0.2,12
ppt_44,studytest,novice,-1.3,15
ppt_45,studytest,novice,-0.8,17
ppt_46,studytest,novice,2.8,5
ppt_47,studytest,novice,-1.4,12
ppt_48,studytest,novice,-1.5,17
ppt_49,studytest,novice,1.5,13
ppt_50,studytest,novice,1.3,25
ppt_51,studytest,novice,0.4,14
ppt_52,studytest,novice,-0.4,28
ppt_53,studytest,experienced,-0.5,5
ppt_54,studytest,novice,-1.1,13
ppt_55,studytest,experienced,0.7,24
ppt_56,studytest,novice,-0.1,18
ppt_57,studytest,experienced,-1.7,26
ppt_58,studytest,novice,0.5,6
ppt_59,studytest,novice,-0.6,20
ppt_60,studytest,novice,0,11
ppt_61,studyimmersion,novice,1.5,26
ppt_62,studyimmersion,novice,-1.1,17
ppt_63,studyimmersion,novice,-0.9,26
ppt_64,studyimmersion,novice,1.6,19
ppt_65,studyimmersion,novice,1.4,13
ppt_66,studyimmersion,novice,-0.3,18
ppt_67,studyimmersion,novice,-0.7,26
ppt_68,studyimmersion,novice,1.1,8
ppt_69,studyimmersion,experienced,0.6,17
ppt_70,studyimmersion,experienced,0.9,11
ppt_71,studyimmersion,novice,-0.4,26
ppt_72,studyimmersion,novice,-0.3,21
ppt_73,studyimmersion,novice,-0.4,21
ppt_74,studyimmersion,novice,0.1,18
ppt_75,studyimmersion,experienced,-2,19
ppt_76,studyimmersion,novice,-0.4,20
ppt_77,studyimmersion,novice,-0.3,21
ppt_78,studyimmersion,novice,0.8,13
ppt_79,studyimmersion,novice,1,19
ppt_80,studyimmersion,experienced,1.6,26
ppt_81,studyimmersion,novice,-0.3,24
ppt_82,studyimmersion,novice,1,14
ppt_83,studyimmersion,novice,-0.1,15
ppt_84,studyimmersion,novice,0.5,15
ppt_85,studyimmersion,novice,-0.6,24
ppt_86,studyimmersion,experienced,0.9,19
ppt_87,studyimmersion,novice,-1.3,22
ppt_88,studyimmersion,novice,0.7,8
ppt_89,studyimmersion,experienced,-1.1,17
ppt_90,studyimmersion,novice,1.7,19
