commun,probl_solv,logical,learn,physical,appearance
12,52,20,44,48,16
12,57,25,45,50,16
12,54,21,45,50,16
13,52,21,46,51,17
14,54,24,46,51,17
14,48,20,47,51,18
15,53,27,47,52,18
15,56,28,47,52,18
15,54,23,48,52,18
15,55,23,48,52,18
15,54,23,48,52,18
15,54,28,48,52,19
16,54,22,48,52,19
16,51,26,48,53,19
16,55,22,49,53,19
17,54,23,49,53,19
17,52,24,49,53,20
17,54,22,49,53,20
17,53,24,49,53,20
17,57,20,49,54,20
17,56,26,50,54,20
18,53,22,50,54,20
18,59,20,50,54,20
18,53,26,50,54,21
18,51,24,50,54,21
18,58,27,50,54,21
18,57,24,51,54,21
18,53,26,51,54,21
18,58,27,51,54,22
18,54,21,51,54,22
19,56,28,51,55,22
19,51,23,52,55,22
19,52,25,52,55,22
19,56,25,52,56,22
19,50,23,52,56,22
19,52,22,52,56,23
19,56,26,52,56,23
20,54,27,52,56,23
20,56,24,52,56,23
20,54,23,53,56,23
20,52,25,53,56,23
20,56,22,53,56,24
20,56,25,53,57,24
20,59,31,54,57,24
21,53,23,54,57,24
21,50,20,54,57,26
22,52,25,54,58,26
22,56,26,55,58,27
22,57,25,55,59,28
24,55,24,56,59,28
