"jobsat","income","autonomy","age","parentincome"
22,39,17,55,47
29,35,58,51,43
69,38,45,52,49
67,27,52,43,44
54,14,36,35,40
25,25,39,48,44
41,36,6,52,46
1,23,7,47,45
37,31,27,45,48
38,31,62,53,44
53,49,47,55,47
60,38,63,53,46
53,35,42,50,46
56,33,15,57,41
56,28,37,43,44
62,36,29,57,44
73,43,51,58,46
33,28,36,45,41
50,29,18,51,41
42,31,36,55,45
80,31,72,51,40
46,29,16,39,52
27,49,24,54,53
71,38,29,48,51
21,36,29,55,49
66,32,53,49,43
40,37,33,55,45
47,33,32,47,42
9,37,27,48,50
15,40,52,66,46
77,35,68,49,45
47,40,26,54,48
20,40,66,61,46
68,48,87,56,47
48,47,47,59,52
39,37,66,49,45
66,28,16,42,41
46,22,41,48,37
57,28,23,46,42
51,44,57,53,50
50,39,75,60,37
65,27,36,40,43
51,31,40,45,48
42,39,61,54,43
54,30,55,45,40
66,37,61,45,49
53,39,62,50,44
84,38,41,40,52
52,29,16,49,45
62,39,58,57,45
