department_name,dept,virtual,role,seniority,employment_length,wp
UK Statistics Authority,UKSA,1,A,1,9,32.91
UK Statistics Authority,UKSA,1,B,6,20,26.66
UK Statistics Authority,UKSA,1,B,6,14,31.88
UK Statistics Authority,UKSA,1,A,1,9,33.44
UK Statistics Authority,UKSA,1,A,4,6,34.37
UK Statistics Authority,UKSA,1,A,2,11,31
UK Statistics Authority,UKSA,1,B,5,15,31.07
UK Statistics Authority,UKSA,1,A,1,13,27.42
UK Statistics Authority,UKSA,1,B,9,9,34.77
UK Statistics Authority,UKSA,1,A,2,8,36.32
UK Statistics Authority,UKSA,1,A,2,7,31.58
UK Statistics Authority,UKSA,1,C,13,13,31.66
UK Statistics Authority,UKSA,1,B,8,11,30.82
UK Statistics Authority,UKSA,1,A,3,11,32.46
UK Statistics Authority,UKSA,1,A,1,8,30.2
UK Statistics Authority,UKSA,1,A,1,6,35.47
UK Statistics Authority,UKSA,1,B,9,17,28.79
UK Statistics Authority,UKSA,1,A,3,10,30.7
UK Statistics Authority,UKSA,1,A,3,10,30.23
UK Statistics Authority,UKSA,1,A,0,2,38.46
UK Statistics Authority,UKSA,1,B,8,14,29.98
UK Statistics Authority,UKSA,1,A,2,9,30.74
UK Statistics Authority,UKSA,1,B,8,9,36.92
UK Statistics Authority,UKSA,1,A,2,14,28.93
UK Statistics Authority,UKSA,1,A,1,14,27.92
UK Statistics Authority,UKSA,1,A,0,19,23.57
UK Statistics Authority,UKSA,1,A,0,6,34.58
UK Statistics Authority,UKSA,1,B,8,10,34.45
UK Statistics Authority,UKSA,1,B,5,13,30.87
UK Statistics Authority,UKSA,1,B,5,9,34.09
UK Statistics Authority,UKSA,1,A,4,9,32.18
UK Statistics Authority,UKSA,1,B,6,17,27.51
UK Statistics Authority,UKSA,1,A,2,9,31.55
UK Statistics Authority,UKSA,1,B,9,16,28.56
UK Statistics Authority,UKSA,1,A,0,8,34.25
UK Statistics Authority,UKSA,1,A,1,11,29.35
UK Statistics Authority,UKSA,1,A,2,11,29.48
UK Statistics Authority,UKSA,1,A,2,6,37.06
UK Statistics Authority,UKSA,1,A,1,13,26.35
UK Statistics Authority,UKSA,1,A,4,6,34.27
UK Statistics Authority,UKSA,1,A,3,9,30.18
UK Statistics Authority,UKSA,1,A,3,13,30.12
UK Statistics Authority,UKSA,1,B,5,15,29.33
UK Statistics Authority,UKSA,1,A,4,10,32.5
UK Statistics Authority,UKSA,1,B,7,13,32.38
Food Standards Agency,FSA,1,A,3,7,30.91
Food Standards Agency,FSA,1,A,2,10,29.26
Food Standards Agency,FSA,1,A,4,10,25.59
Food Standards Agency,FSA,1,A,4,10,29.32
Food Standards Agency,FSA,1,A,4,5,34.74
Food Standards Agency,FSA,1,A,0,8,32.87
Food Standards Agency,FSA,1,A,1,8,32.83
Food Standards Agency,FSA,1,A,4,16,23.51
Food Standards Agency,FSA,1,A,4,5,35.83
Food Standards Agency,FSA,1,B,8,16,29.26
Food Standards Agency,FSA,1,B,5,4,38.07
Food Standards Agency,FSA,1,B,5,15,30.72
Food Standards Agency,FSA,1,B,9,14,29.18
Food Standards Agency,FSA,1,B,9,12,32.62
Food Standards Agency,FSA,1,B,6,9,35.36
Food Standards Agency,FSA,1,B,6,18,26.6
Food Standards Agency,FSA,1,B,7,13,30.81
Food Standards Agency,FSA,1,C,10,16,31.02
Food Standards Agency,FSA,1,C,13,21,26.18
Food Standards Agency,FSA,1,C,14,18,29.36
Food Standards Agency,FSA,1,C,12,16,30.64
Food Standards Agency,FSA,1,C,11,13,35.53
Food Standards Agency,FSA,1,C,11,20,28.05
Food Standards Agency,FSA,1,C,11,17,28.58
Food Standards Agency,FSA,1,C,13,17,32.07
Crown Prosecution Service,CPS,0,A,1,11,28.75
Crown Prosecution Service,CPS,0,A,1,8,33.17
Crown Prosecution Service,CPS,0,A,0,15,23.54
Crown Prosecution Service,CPS,0,A,1,16,22.01
Crown Prosecution Service,CPS,0,B,8,10,28.23
Crown Prosecution Service,CPS,0,B,5,17,18.24
Crown Prosecution Service,CPS,0,B,6,9,29.2
Crown Prosecution Service,CPS,0,B,8,16,22.23
Crown Prosecution Service,CPS,0,C,14,14,25.89
Crown Prosecution Service,CPS,0,C,11,18,22.1
Crown Prosecution Service,CPS,0,C,13,12,25.26
Crown Prosecution Service,CPS,0,C,12,16,22.94
Crown Prosecution Service,CPS,0,C,12,15,24.38
Charity Commission for England and Wales,ACE,0,A,0,11,24.38
Charity Commission for England and Wales,ACE,0,A,0,10,25.46
Charity Commission for England and Wales,ACE,0,A,1,9,27.54
Charity Commission for England and Wales,ACE,0,A,1,9,28.86
Charity Commission for England and Wales,ACE,0,A,3,8,29.31
Charity Commission for England and Wales,ACE,0,B,9,15,24.76
Charity Commission for England and Wales,ACE,0,B,8,12,26.56
Charity Commission for England and Wales,ACE,0,B,6,10,28.77
Charity Commission for England and Wales,ACE,0,B,7,16,21.76
Charity Commission for England and Wales,ACE,0,B,9,19,20.83
Charity Commission for England and Wales,ACE,0,C,11,20,21.24
Charity Commission for England and Wales,ACE,0,C,11,18,22.09
Charity Commission for England and Wales,ACE,0,C,10,17,21.27
Charity Commission for England and Wales,ACE,0,C,11,17,23.88
Charity Commission for England and Wales,ACE,0,C,14,19,21.44
Charity Commission for England and Wales,ACE,0,C,13,19,24.34
Charity Commission for England and Wales,ACE,0,C,14,14,27.54
HM Revenue & Customs,HMRC,0,A,1,14,20.81
HM Revenue & Customs,HMRC,0,A,0,4,28.61
HM Revenue & Customs,HMRC,0,A,4,13,23.26
HM Revenue & Customs,HMRC,0,A,2,9,25.64
HM Revenue & Customs,HMRC,0,A,3,7,27.4
HM Revenue & Customs,HMRC,0,B,9,9,24.36
HM Revenue & Customs,HMRC,0,B,6,13,20.67
HM Revenue & Customs,HMRC,0,B,6,15,18.27
HM Revenue & Customs,HMRC,0,B,5,13,22.32
HM Revenue & Customs,HMRC,0,B,5,18,19.97
HM Revenue & Customs,HMRC,0,C,13,14,20.55
HM Revenue & Customs,HMRC,0,C,10,18,19.97
HM Revenue & Customs,HMRC,0,C,14,13,21.24
HM Revenue & Customs,HMRC,0,C,12,14,22.72
HM Revenue & Customs,HMRC,0,C,13,12,23.91
