"subject_nr","hand_resp","trial_nr","condition","item","prime","modality","strength","congruence","rtime","response","correct"
1,"Left-Handed",1,"speech-weak","wipe_wipe_scrub_sc_gw","wipe","speech","weak","incongruent",1067,"z",1
1,"Left-Handed",3,"baseline","wipe_wipe_wipe_sc_gc","wipe","baseline","baseline","congruent",1567,"z",1
1,"Left-Handed",4,"speech-weak","saw_saw_slice_sc_gw","saw","speech","weak","incongruent",1234,"z",1
1,"Left-Handed",5,"gesture-weak","scrub_wipe_scrub_sw_gc","scrub","gesture","weak","incongruent",1034,"z",1
1,"Left-Handed",6,"gesture-strong","scrub_dial_scrub_ss_gc","scrub","gesture","strong","incongruent",1001,"z",1
1,"Left-Handed",7,"gesture-weak","type_dial_type_sw_gc","type","gesture","weak","incongruent",1001,"z",1
1,"Left-Handed",10,"speech-strong","chop_chop_twist_sc_gs","chop","speech","strong","incongruent",1201,"z",1
1,"Left-Handed",12,"gesture-weak","shake_stir_shake_sw_gc","shake","gesture","weak","incongruent",1267,"z",1
1,"Left-Handed",13,"baseline","squeeze_squeeze_squeeze_sc_gc","squeeze","baseline","baseline","congruent",1101,"z",1
1,"Left-Handed",18,"speech-strong","wipe_wipe_type_sc_gs","wipe","speech","strong","incongruent",1001,"z",1
1,"Left-Handed",20,"gesture-weak","knock_hammer_knock_sw_gc","knock","gesture","weak","incongruent",1001,"z",1
1,"Left-Handed",25,"gesture-weak","stir_shake_stir_sw_gc","stir","gesture","weak","incongruent",1167,"z",1
1,"Left-Handed",26,"baseline","saw_saw_saw_sc_gc","saw","baseline","baseline","congruent",1167,"z",1
1,"Left-Handed",30,"speech-weak","hammer_hammer_knock_sc_gw","hammer","speech","weak","incongruent",1434,"z",1
1,"Left-Handed",33,"speech-weak","turn_turn_twist_sc_gw","turn","speech","weak","incongruent",1367,"z",1
1,"Left-Handed",34,"speech-strong","turn_turn_cut_sc_gs","turn","speech","strong","incongruent",1334,"z",1
1,"Left-Handed",35,"gesture-weak","dial_type_dial_sw_gc","dial","gesture","weak","incongruent",1167,"z",1
1,"Left-Handed",36,"baseline","scrub_scrub_scrub_sc_gc","scrub","baseline","baseline","congruent",1034,"z",1
1,"Left-Handed",38,"speech-weak","chop_chop_cut_sc_gw","chop","speech","weak","incongruent",1134,"z",1
1,"Left-Handed",40,"speech-weak","type_type_dial_sc_gw","type","speech","weak","incongruent",1401,"z",1
1,"Left-Handed",42,"baseline","knock_knock_knock_sc_gc","knock","baseline","baseline","congruent",934,"z",1
1,"Left-Handed",45,"gesture-strong","stir_slice_stir_ss_gc","stir","gesture","strong","incongruent",967,"z",1
1,"Left-Handed",46,"speech-strong","hammer_hammer_wring_sc_gs","hammer","speech","strong","incongruent",1134,"z",1
