test_score,medium,study
47.47811902,Laptop,No
50.41772293,Laptop,No
49.88762601,Laptop,No
48.47961153,Laptop,No
48.44368099,Laptop,No
48.02715282,Laptop,No
50.15725701,Laptop,No
50.79200834,Laptop,No
45.22455685,Laptop,No
44.85646155,Laptop,No
46.63445407,Laptop,No
45.51218941,Laptop,No
45.69575289,Laptop,No
51.16357095,Laptop,No
46.65976916,Laptop,No
49.25706992,Laptop,No
48.37884339,Laptop,No
50.2245016,Laptop,No
46.15676761,Laptop,No
48.95288392,Laptop,No
55.26930841,Laptop,Minimal
58.87615013,Laptop,Minimal
57.32733705,Laptop,Minimal
54.82951934,Laptop,Minimal
54.64298024,Laptop,Minimal
54.73423289,Laptop,Minimal
60.10209852,Laptop,Minimal
57.99477,Laptop,Minimal
56.50714967,Laptop,Minimal
52.06761755,Laptop,Minimal
55.80352976,Laptop,Minimal
53.54693412,Laptop,Minimal
54.71639116,Laptop,Minimal
57.58098375,Laptop,Minimal
53.76679772,Laptop,Minimal
55.34445393,Laptop,Minimal
53.71518914,Laptop,Minimal
54.7880561,Laptop,Minimal
56.12410256,Laptop,Minimal
53.66239798,Laptop,Minimal
59.01743859,Laptop,Moderate
60.52179081,Laptop,Moderate
62.76022021,Laptop,Moderate
57.85004845,Laptop,Moderate
60.14136784,Laptop,Moderate
61.70965611,Laptop,Moderate
59.81664101,Laptop,Moderate
56.78865464,Laptop,Moderate
58.44561483,Laptop,Moderate
58.380199,Laptop,Moderate
58.70724253,Laptop,Moderate
57.82664584,Laptop,Moderate
55.76632314,Laptop,Moderate
62.23592591,Laptop,Moderate
58.73689975,Laptop,Moderate
60.12747304,Laptop,Moderate
62.9829004,Laptop,Moderate
58.99981975,Laptop,Moderate
58.47936509,Laptop,Moderate
56.70577305,Laptop,Moderate
64.22805531,Laptop,Extensive
60.96523731,Laptop,Extensive
59.30708051,Laptop,Extensive
59.2124039,Laptop,Extensive
64.32105569,Laptop,Extensive
59.87985003,Laptop,Extensive
61.7428093,Laptop,Extensive
63.08499644,Laptop,Extensive
59.22544789,Laptop,Extensive
56.92717297,Laptop,Extensive
60.80031109,Laptop,Extensive
61.57948122,Laptop,Extensive
59.40378175,Laptop,Extensive
58.99264436,Laptop,Extensive
60.33683433,Laptop,Extensive
61.97734447,Laptop,Extensive
62.34193868,Laptop,Extensive
63.04028183,Laptop,Extensive
62.06507852,Laptop,Extensive
63.76819441,Laptop,Extensive
48.10983986,Longhand,No
54.92235329,Longhand,No
52.37525049,Longhand,No
49.55371032,Longhand,No
53.40233768,Longhand,No
48.69106498,Longhand,No
52.92641791,Longhand,No
49.38826823,Longhand,No
49.8420916,Longhand,No
52.88297106,Longhand,No
49.32586496,Longhand,No
50.19652584,Longhand,No
50.89250525,Longhand,No
52.05571111,Longhand,No
51.89154129,Longhand,No
50.09353239,Longhand,No
53.69214215,Longhand,No
49.71087246,Longhand,No
48.02312998,Longhand,No
52.42386915,Longhand,No
57.83891544,Longhand,Minimal
59.68908764,Longhand,Minimal
65.2922708,Longhand,Minimal
60.54086627,Longhand,Minimal
63.30711084,Longhand,Minimal
60.61381182,Longhand,Minimal
58.8939514,Longhand,Minimal
60.98300338,Longhand,Minimal
59.14043107,Longhand,Minimal
61.377854,Longhand,Minimal
62.48563338,Longhand,Minimal
61.16248396,Longhand,Minimal
60.79919185,Longhand,Minimal
61.62619915,Longhand,Minimal
61.64360693,Longhand,Minimal
62.24365454,Longhand,Minimal
59.81296049,Longhand,Minimal
57.88581725,Longhand,Minimal
64.2777728,Longhand,Minimal
58.58537699,Longhand,Minimal
77.42569785,Longhand,Moderate
78.84240118,Longhand,Moderate
78.58071081,Longhand,Moderate
82.4356995,Longhand,Moderate
81.10506301,Longhand,Moderate
80.28163808,Longhand,Moderate
80.97367638,Longhand,Moderate
81.23969574,Longhand,Moderate
76.3414993,Longhand,Moderate
80.87917788,Longhand,Moderate
84.63562827,Longhand,Moderate
82.0939216,Longhand,Moderate
83.41873875,Longhand,Moderate
80.46690203,Longhand,Moderate
82.25994029,Longhand,Moderate
78.5921133,Longhand,Moderate
81.29014203,Longhand,Moderate
79.84958324,Longhand,Moderate
81.13042264,Longhand,Moderate
81.95734812,Longhand,Moderate
87.28709387,Longhand,Extensive
88.83986407,Longhand,Extensive
87.75613081,Longhand,Extensive
90.88895491,Longhand,Extensive
94.32085299,Longhand,Extensive
89.45233155,Longhand,Extensive
92.48527093,Longhand,Extensive
92.43753401,Longhand,Extensive
91.36676091,Longhand,Extensive
89.76837457,Longhand,Extensive
86.82248199,Longhand,Extensive
89.09449346,Longhand,Extensive
89.36661284,Longhand,Extensive
92.31066341,Longhand,Extensive
92.1982093,Longhand,Extensive
90.86449177,Longhand,Extensive
90.21476921,Longhand,Extensive
92.5542738,Longhand,Extensive
91.83661861,Longhand,Extensive
91.73421698,Longhand,Extensive
